Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.10,0.11,0.13,0.17,0.33,10,0.00,0.00
1,16,100,0.08,0.15,0.15,0.28,0.28,100,0.00,0.00
1,16,1000,0.07,0.14,0.21,0.34,0.35,1000,0.01,0.01
1,16,5000,0.09,0.28,0.29,0.30,0.31,4998,0.07,0.07
1,16,10000,0.08,0.21,0.34,0.34,0.36,9994,0.15,0.15
1,16,50000,0.08,0.25,0.35,0.38,0.47,49867,0.76,0.76
1,16,100000,0.12,0.45,0.56,0.60,0.94,99486,1.51,1.51
1,16,250000,0.10,0.46,0.51,0.67,6.26,246402,3.75,3.75
1,16,500000,0.12,0.84,0.97,3.41,25.87,484984,7.40,7.39
2,16,10,0.10,0.16,0.17,0.18,0.20,10,0.00,0.00
2,16,100,0.08,0.10,0.21,0.35,0.35,100,0.00,0.00
2,16,1000,0.08,0.09,0.09,0.10,0.14,1000,0.01,0.01
2,16,5000,0.08,0.10,0.11,0.12,0.17,4998,0.07,0.07
2,16,10000,0.08,0.29,0.30,0.31,0.33,9995,0.15,0.15
2,16,50000,0.08,0.23,0.28,0.37,0.43,49867,0.76,0.76
2,16,100000,0.11,0.42,0.55,0.60,0.99,99472,1.51,1.51
2,16,250000,0.12,0.54,0.64,0.84,6.29,246407,3.75,3.75
2,16,500000,0.21,0.99,1.21,4.54,26.32,485049,7.40,7.40
3,16,10,0.10,0.16,0.17,0.22,0.23,10,0.00,0.00
3,16,100,0.08,0.09,0.09,0.11,0.15,100,0.00,0.00
3,16,1000,0.07,0.10,0.15,0.34,0.35,1000,0.01,0.01
3,16,5000,0.15,0.28,0.29,0.30,0.31,4998,0.07,0.07
3,16,10000,0.08,0.21,0.34,0.35,0.36,9995,0.15,0.15
3,16,50000,0.08,0.24,0.33,0.38,0.42,49869,0.76,0.76
3,16,100000,0.15,0.54,0.58,0.61,1.20,99463,1.51,1.51
3,16,250000,0.11,0.67,0.75,0.88,6.46,246407,3.75,3.75
3,16,500000,0.22,1.00,1.27,4.44,26.82,484841,7.39,7.39
1,64,10,0.15,0.28,0.28,0.29,0.33,10,0.00,0.00
1,64,100,0.08,0.09,0.10,0.15,0.16,100,0.00,0.00
1,64,1000,0.08,0.15,0.15,0.16,0.17,1000,0.06,0.06
1,64,5000,0.08,0.15,0.21,0.34,0.35,4998,0.30,0.30
1,64,10000,0.08,0.21,0.33,0.35,0.36,9995,0.61,0.61
1,64,50000,0.08,0.33,0.34,0.37,0.55,49868,3.04,3.04
1,64,100000,0.11,0.40,0.44,0.48,1.02,99465,6.07,6.07
1,64,250000,0.11,0.67,0.75,0.95,6.72,246450,15.04,15.04
1,64,500000,0.20,1.10,1.36,4.32,24.89,485539,29.63,29.63
2,64,10,0.09,0.11,0.13,0.16,0.20,10,0.00,0.00
2,64,100,0.08,0.10,0.21,0.34,0.35,100,0.00,0.00
2,64,1000,0.08,0.10,0.15,0.16,0.17,1000,0.06,0.06
2,64,5000,0.08,0.21,0.34,0.35,0.36,4998,0.30,0.30
2,64,10000,0.08,0.21,0.33,0.35,0.36,9994,0.60,0.60
2,64,50000,0.08,0.36,0.37,0.39,0.57,49863,3.04,3.04
2,64,100000,0.11,0.41,0.44,0.48,1.22,99472,6.07,6.07
2,64,250000,0.21,0.60,0.76,0.89,6.26,246470,15.04,15.04
2,64,500000,0.14,0.96,1.29,3.96,25.10,485439,29.62,29.62
3,64,10,0.09,0.10,0.12,0.15,0.17,10,0.00,0.00
3,64,100,0.08,0.09,0.15,0.16,0.17,100,0.00,0.00
3,64,1000,0.08,0.28,0.28,0.29,0.30,1000,0.06,0.06
3,64,5000,0.08,0.10,0.14,0.34,0.35,4999,0.30,0.30
3,64,10000,0.08,0.21,0.34,0.34,0.36,9993,0.60,0.60
3,64,50000,0.09,0.25,0.35,0.39,0.46,49869,3.04,3.04
3,64,100000,0.12,0.33,0.38,0.54,1.11,99455,6.07,6.07
3,64,250000,0.12,0.52,0.62,0.84,5.81,246537,15.04,15.04
3,64,500000,0.11,1.10,1.38,4.30,25.03,485492,29.63,29.63
1,256,10,0.09,0.11,0.14,0.17,0.18,10,0.00,0.00
1,256,100,0.09,0.28,0.28,0.28,0.29,100,0.02,0.02
1,256,1000,0.08,0.10,0.22,0.34,0.35,1000,0.24,0.24
1,256,5000,0.08,0.11,0.12,0.16,0.18,4998,1.22,1.22
1,256,10000,0.08,0.17,0.33,0.35,0.37,9995,2.44,2.44
