Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.26,0.34,0.35,0.39,0.44,10,0.00,0.00
1,16,100,0.21,0.30,0.32,0.34,0.37,100,0.00,0.00
1,16,1000,0.14,0.22,0.25,0.41,0.52,1000,0.01,0.01
1,16,5000,0.15,0.34,0.35,0.41,0.60,4997,0.07,0.07
1,16,10000,0.15,0.35,0.41,0.49,0.67,9993,0.15,0.15
1,16,50000,0.15,0.54,0.59,0.73,1.59,49882,0.76,0.76
1,16,100000,0.15,0.67,0.69,0.76,1.10,99474,1.51,1.51
1,16,250000,0.19,0.94,1.04,1.20,6.26,246820,3.76,3.76
1,16,500000,0.23,21.09,57.65,79.70,94.37,489459,7.46,7.43
2,16,10,0.25,0.34,0.35,0.37,0.39,10,0.00,0.00
2,16,100,0.17,0.30,0.32,0.35,0.47,100,0.00,0.00
2,16,1000,0.15,0.21,0.24,0.33,0.67,1000,0.01,0.01
2,16,5000,0.15,0.35,0.41,0.42,0.42,4998,0.07,0.07
2,16,10000,0.15,0.35,0.41,0.42,0.67,9994,0.15,0.15
2,16,50000,0.15,0.41,0.48,0.67,1.18,49856,0.76,0.76
2,16,100000,0.16,0.74,0.76,0.83,1.14,99490,1.51,1.51
2,16,250000,0.26,1.06,1.16,1.37,7.07,246816,3.76,3.76
2,16,500000,0.43,1.66,2.32,46.80,66.27,488199,7.44,7.44
3,16,10,0.26,0.41,0.52,0.55,0.57,10,0.00,0.00
3,16,100,0.17,0.35,0.49,0.52,0.59,100,0.00,0.00
3,16,1000,0.15,0.24,0.27,0.34,0.44,1000,0.01,0.01
3,16,5000,0.15,0.23,0.27,0.31,0.38,4998,0.07,0.07
3,16,10000,0.14,0.26,0.29,0.36,0.75,9995,0.15,0.15
3,16,50000,0.15,0.38,0.41,0.50,1.18,49878,0.76,0.76
3,16,100000,0.15,0.61,0.67,0.73,0.99,99500,1.51,1.51
3,16,250000,0.29,0.96,1.07,1.29,7.23,246814,3.76,3.76
3,16,500000,0.42,3.42,56.58,70.18,80.49,488848,7.45,7.45
1,64,10,0.27,0.34,0.35,0.37,0.38,10,0.00,0.00
1,64,100,0.16,0.29,0.31,0.34,0.40,100,0.00,0.00
1,64,1000,0.15,0.22,0.25,0.34,0.69,1000,0.06,0.06
1,64,5000,0.15,0.22,0.24,0.29,0.35,4998,0.30,0.30
