Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.17,0.22,0.23,0.24,0.25,10,0.00,0.00
1,16,100,0.13,0.15,0.17,0.18,0.20,100,0.00,0.00
1,16,1000,0.12,0.16,0.38,0.40,0.41,1000,0.01,0.01
1,16,5000,0.12,0.19,0.22,0.38,0.40,4998,0.07,0.07
1,16,10000,0.11,0.17,0.19,0.21,0.24,9992,0.15,0.15
1,16,50000,0.10,0.21,0.25,0.42,0.51,49800,0.75,0.75
1,16,100000,0.13,0.35,0.44,0.69,2.61,99183,1.51,1.51
1,16,250000,0.11,0.19,0.24,8.52,52.47,236017,3.60,3.60
1,16,500000,0.11,0.81,5.78,38.82,69.67,441674,6.73,6.73
2,16,10,0.15,0.18,0.19,0.20,0.26,10,0.00,0.00
2,16,100,0.13,0.14,0.15,0.16,0.20,100,0.00,0.00
2,16,1000,0.12,0.14,0.17,0.22,0.22,1000,0.01,0.01
2,16,5000,0.12,0.19,0.20,0.24,0.27,4998,0.07,0.07
2,16,10000,0.12,0.23,0.34,0.41,0.43,9993,0.15,0.15
2,16,50000,0.11,0.22,0.25,0.43,0.53,49801,0.75,0.75
2,16,100000,0.14,0.32,0.36,0.54,2.60,99246,1.51,1.51
2,16,250000,0.11,0.18,0.23,7.24,41.33,233739,3.56,3.56
2,16,500000,0.13,1.75,6.84,25.00,51.61,479224,7.31,7.31
3,16,10,0.16,0.19,0.20,0.22,0.24,10,0.00,0.00
3,16,100,0.13,0.15,0.15,0.17,0.19,100,0.00,0.00
3,16,1000,0.12,0.15,0.19,0.37,0.39,1000,0.01,0.01
3,16,5000,0.11,0.19,0.20,0.21,0.25,4998,0.07,0.07
3,16,10000,0.11,0.22,0.29,0.41,0.42,9993,0.15,0.15
3,16,50000,0.14,0.40,0.44,0.48,0.62,49814,0.76,0.76
3,16,100000,0.12,0.38,0.50,0.80,6.34,99176,1.51,1.51
3,16,250000,0.14,0.34,0.41,3.83,19.26,225855,3.44,3.44
3,16,500000,0.13,0.50,4.99,32.59,69.62,476599,7.27,7.27
1,64,10,0.15,0.19,0.19,0.21,0.22,10,0.00,0.00
1,64,100,0.13,0.14,0.14,0.16,0.18,100,0.00,0.00
1,64,1000,0.12,0.17,0.18,0.28,0.41,1000,0.06,0.06
1,64,5000,0.11,0.17,0.19,0.22,0.25,4998,0.30,0.30
1,64,10000,0.12,0.19,0.21,0.38,0.41,9992,0.60,0.60
1,64,50000,0.12,0.23,0.26,0.45,0.57,49811,3.04,3.04
1,64,100000,0.14,0.29,0.37,1.16,3.45,99252,6.05,6.05
1,64,250000,0.17,0.55,0.67,1.48,11.23,245173,14.96,14.96
1,64,500000,0.13,5.82,10.00,21.77,35.89,482923,29.47,29.46
2,64,10,0.16,0.20,0.20,0.22,0.23,10,0.00,0.00
2,64,100,0.12,0.15,0.17,0.18,0.20,100,0.00,0.00
2,64,1000,0.11,0.14,0.18,0.22,0.22,1000,0.06,0.06
2,64,5000,0.12,0.20,0.21,0.24,0.27,4998,0.30,0.30
2,64,10000,0.11,0.18,0.19,0.22,0.25,9992,0.60,0.60
2,64,50000,0.12,0.23,0.29,0.44,0.59,49804,3.03,3.03
2,64,100000,0.12,0.30,0.41,0.91,3.42,99205,6.05,6.05
2,64,250000,0.19,0.56,0.66,1.58,10.97,245214,14.96,14.96
2,64,500000,0.12,0.20,0.40,7.60,32.32,271069,16.54,16.54
3,64,10,0.17,0.19,0.19,0.21,0.22,10,0.00,0.00
3,64,100,0.14,0.15,0.15,0.16,0.19,100,0.00,0.00
3,64,1000,0.11,0.13,0.18,0.19,0.20,1000,0.06,0.06
3,64,5000,0.12,0.20,0.21,0.22,0.25,4998,0.30,0.30
3,64,10000,0.12,0.25,0.28,0.30,0.32,9993,0.60,0.60
3,64,50000,0.14,0.43,0.47,0.53,0.73,49810,3.04,3.04
3,64,100000,0.12,0.29,0.35,1.13,4.25,99233,6.05,6.05
3,64,250000,0.12,0.55,0.76,27.63,62.31,245379,14.97,14.97
3,64,500000,0.12,0.35,2.92,17.50,42.07,455768,27.81,27.81
1,256,10,0.17,0.21,0.22,0.23,0.26,10,0.00,0.00
1,256,100,0.13,0.15,0.15,0.17,0.19,100,0.02,0.02
1,256,1000,0.11,0.15,0.37,0.39,0.40,1000,0.24,0.24
1,256,5000,0.12,0.20,0.38,0.42,0.45,4998,1.22,1.22
1,256,10000,0.11,0.22,0.31,0.40,0.44,9993,2.43,2.43
1,256,50000,0.13,0.27,0.37,0.51,2.94,49812,12.16,12.16
1,256,100000,0.14,0.41,0.52,0.95,5.37,99232,24.22,24.22
1,256,250000,0.12,0.54,0.80,5.61,18.54,233005,56.88,56.88
2,256,10,0.16,0.19,0.20,0.21,0.23,10,0.00,0.00
2,256,100,0.13,0.14,0.15,0.16,0.19,100,0.02,0.02
2,256,1000,0.12,0.13,0.14,0.21,0.22,1000,0.24,0.24
2,256,5000,0.12,0.19,0.21,0.27,0.31,4998,1.22,1.22
2,256,10000,0.11,0.19,0.20,0.24,0.35,9993,2.43,2.43
2,256,50000,0.11,0.25,0.28,0.38,3.05,49810,12.16,12.16
2,256,100000,0.14,0.32,0.40,1.45,5.30,99232,24.22,24.22
2,256,250000,0.13,0.69,0.91,11.67,51.49,245239,59.87,59.87
3,256,10,0.18,0.22,0.22,0.25,0.26,10,0.00,0.00
3,256,100,0.13,0.15,0.16,0.18,0.20,100,0.02,0.02
3,256,1000,0.12,0.16,0.38,0.39,0.40,1000,0.24,0.24
3,256,5000,0.11,0.20,0.21,0.25,0.28,4998,1.22,1.22
3,256,10000,0.12,0.20,0.25,0.41,0.45,9992,2.43,2.43
3,256,50000,0.12,0.25,0.31,0.48,3.06,49812,12.16,12.16
3,256,100000,0.14,0.38,0.51,0.94,5.32,99195,24.21,24.21
3,256,250000,0.15,0.68,0.83,5.14,11.73,245260,59.87,59.87
1,512,10,0.16,0.20,0.21,0.23,0.25,10,0.00,0.00
1,512,100,0.13,0.15,0.15,0.17,0.21,100,0.04,0.04
1,512,1000,0.12,0.17,0.22,0.23,0.24,1000,0.48,0.48
1,512,5000,0.11,0.18,0.20,0.24,0.30,4998,2.44,2.44
1,512,10000,0.12,0.21,0.24,0.29,0.44,9993,4.87,4.87
1,512,50000,0.11,0.29,0.33,0.57,4.79,49805,24.31,24.31
1,512,100000,0.16,0.48,0.54,2.28,6.78,99255,48.46,48.46
2,512,10,0.16,0.24,0.25,0.26,0.28,10,0.00,0.00
2,512,100,0.12,0.14,0.14,0.16,0.22,100,0.04,0.04
2,512,1000,0.12,0.13,0.18,0.22,0.24,1000,0.48,0.48
2,512,5000,0.11,0.19,0.20,0.24,0.29,4998,2.44,2.44
2,512,10000,0.12,0.20,0.22,0.26,0.41,9992,4.87,4.87
2,512,50000,0.12,0.27,0.32,0.50,4.88,49811,24.32,24.32
2,512,100000,0.18,0.34,0.39,2.06,6.05,99221,48.44,48.44
3,512,10,0.20,0.23,0.24,0.25,0.28,10,0.00,0.00
3,512,100,0.12,0.14,0.15,0.16,0.19,100,0.04,0.04
3,512,1000,0.12,0.17,0.19,0.22,0.24,1000,0.48,0.48
3,512,5000,0.11,0.18,0.20,0.24,0.32,4998,2.44,2.44
3,512,10000,0.11,0.39,0.40,0.44,0.60,9993,4.87,4.87
3,512,50000,0.11,0.27,0.32,0.55,4.36,49803,24.31,24.31
3,512,100000,0.13,0.43,0.73,2.32,6.57,99199,48.43,48.43
1,1024,10,0.16,0.20,0.21,0.23,0.27,10,0.00,0.00
1,1024,100,0.14,0.15,0.16,0.17,0.21,100,0.09,0.09
1,1024,1000,0.12,0.18,0.38,0.39,0.41,1000,0.97,0.97
1,1024,5000,0.11,0.24,0.38,0.42,0.48,4998,4.88,4.88
1,1024,10000,0.11,0.25,0.34,0.45,0.78,9992,9.75,9.75
1,1024,50000,0.13,0.49,0.54,0.82,5.30,49815,48.64,48.64
2,1024,10,0.17,0.21,0.22,0.24,0.26,10,0.00,0.00
2,1024,100,0.12,0.14,0.15,0.16,0.21,100,0.09,0.09
2,1024,1000,0.11,0.13,0.14,0.19,0.25,1000,0.97,0.97
2,1024,5000,0.11,0.26,0.38,0.43,0.50,4998,4.88,4.88
2,1024,10000,0.12,0.23,0.25,0.30,0.85,9992,9.75,9.75
2,1024,50000,0.14,0.35,0.48,0.82,5.24,49806,48.63,48.63
3,1024,10,0.17,0.22,0.23,0.25,0.27,10,0.00,0.00
3,1024,100,0.13,0.17,0.18,0.19,0.21,100,0.09,0.09
3,1024,1000,0.13,0.14,0.15,0.20,0.26,1000,0.97,0.97
3,1024,5000,0.14,0.20,0.22,0.26,0.43,4998,4.88,4.88
3,1024,10000,0.12,0.30,0.41,0.47,0.75,9993,9.75,9.75
3,1024,50000,0.13,0.30,0.36,0.76,5.22,49808,48.64,48.63
1,4096,10,0.18,0.25,0.26,0.28,0.36,10,0.03,0.03
1,4096,100,0.15,0.17,0.19,0.22,0.26,100,0.39,0.39
1,4096,1000,0.13,0.15,0.19,0.23,0.38,1000,3.90,3.90
1,4096,5000,0.13,0.25,0.28,0.35,2.95,4998,19.52,19.52
1,4096,10000,0.13,0.47,0.51,0.67,5.10,9993,39.03,39.02
2,4096,10,0.18,0.23,0.24,0.29,0.31,10,0.03,0.03
2,4096,100,0.15,0.19,0.19,0.23,0.28,100,0.39,0.39
2,4096,1000,0.14,0.19,0.23,0.25,0.40,1000,3.90,3.90
2,4096,5000,0.14,0.30,0.44,0.51,3.09,4998,19.52,19.52
2,4096,10000,0.13,0.45,0.50,0.67,5.10,9993,39.03,39.01
3,4096,10,0.22,0.25,0.26,0.29,0.32,10,0.03,0.03
3,4096,100,0.14,0.16,0.17,0.22,0.25,100,0.39,0.39
3,4096,1000,0.13,0.15,0.19,0.27,0.41,1000,3.90,3.90
3,4096,5000,0.14,0.25,0.28,0.34,2.95,4998,19.52,19.52
3,4096,10000,0.12,0.42,0.48,0.64,5.12,9992,39.03,39.03
1,16384,10,0.27,0.30,0.31,0.38,0.40,10,0.15,0.15
1,16384,100,0.20,0.26,0.28,0.33,0.45,100,1.56,1.56
1,16384,1000,0.15,0.34,0.46,0.52,2.81,1000,15.62,15.62
1,16384,5000,0.18,119.31,124.49,253.36,360.03,4482,70.03,69.65
2,16384,10,0.25,0.33,0.36,0.45,0.53,10,0.15,0.15
2,16384,100,0.18,0.25,0.27,0.32,0.46,100,1.56,1.56
2,16384,1000,0.15,0.33,0.44,0.52,2.84,1000,15.62,15.62
2,16384,5000,0.20,11.62,117.68,121.92,124.37,4449,69.51,69.25
3,16384,10,0.24,0.29,0.31,0.36,0.41,10,0.15,0.15
3,16384,100,0.17,0.26,0.28,0.33,0.46,100,1.56,1.56
3,16384,1000,0.17,0.35,0.46,0.53,2.86,1000,15.62,15.62
3,16384,5000,0.20,9.85,116.11,119.38,122.23,4466,69.78,69.57
1,65536,10,0.38,0.48,0.51,0.59,0.82,10,0.62,0.62
1,65536,100,0.29,0.40,0.44,0.53,0.67,100,6.25,6.25
1,65536,1000,0.28,0.49,0.60,1.40,6.76,1000,62.50,62.50
2,65536,10,0.36,0.46,0.50,0.60,0.81,10,0.62,0.62
2,65536,100,0.29,0.38,0.40,0.48,0.59,100,6.25,6.25
2,65536,1000,0.27,0.39,0.44,1.31,6.65,1000,62.50,62.50
3,65536,10,0.38,0.46,0.49,0.61,0.71,10,0.62,0.62
3,65536,100,0.28,0.38,0.41,0.50,0.60,100,6.25,6.25
3,65536,1000,0.28,0.40,0.44,1.36,6.66,1000,62.50,62.50
