Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,359358,179694,5.48,2.74
1,64,354004,176996,21.60,10.80
1,256,333705,166597,81.47,40.67
1,512,318166,159296,155.35,77.78
1,1024,329760,165261,322.03,161.38
2,16,345672,172839,5.27,2.63
2,64,335076,167626,20.45,10.23
2,256,334139,166919,81.57,40.75
2,512,325652,162835,159.00,79.50
2,1024,329858,165391,322.12,161.51
3,16,348798,174398,5.32,2.66
3,64,334712,167350,20.42,10.21
3,256,337026,168524,82.28,41.14
3,512,298858,149487,145.92,72.99
3,1024,313630,156724,306.27,153.05
