Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,344378,172576,5.25,2.63
1,64,337488,168749,20.59,10.29
1,256,321696,160353,78.53,39.14
1,512,323816,161920,158.11,79.06
1,1024,333910,166991,326.08,163.07
2,16,333652,166806,5.09,2.54
2,64,332134,166006,20.27,10.13
2,256,328044,164022,80.08,40.04
2,512,316536,158273,154.55,77.28
2,1024,320628,160468,313.11,156.70
3,16,327860,163951,5.00,2.50
3,64,331172,165904,20.21,10.12
3,256,317392,158692,77.48,38.74
3,512,315945,157926,154.27,77.11
3,1024,319416,159748,311.92,156.00
