Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,351806,175912,5.36,2.68
1,64,361172,250485,22.04,15.28
1,256,336432,165941,82.13,40.51
1,512,339020,170688,165.53,83.34
1,1024,285902,142872,279.20,139.52
2,16,353458,231787,5.39,3.53
2,64,352056,226955,21.48,13.85
2,256,352084,176085,85.95,42.98
2,512,316244,157833,154.41,77.06
2,1024,329430,164641,321.70,160.78
3,16,343702,222469,5.24,3.39
3,64,364296,227520,22.23,13.88
3,256,336016,168014,82.03,41.01
3,512,337276,171942,164.68,83.95
3,1024,329400,164427,321.67,160.57
