Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,997582,997263,15.22,15.21
1,64,950445,950213,58.01,57.99
1,256,799004,798742,195.06,195.00
1,512,672656,672533,328.44,328.38
1,1024,526300,526188,513.96,513.85
1,4096,149443,149136,583.76,582.56
1,16384,37743,37723,589.73,589.42
1,65536,9461,9459,591.31,591.18
2,16,988569,988254,15.08,15.07
2,64,955192,954788,58.30,58.27
2,256,797516,797293,194.70,194.65
2,512,689345,689156,336.59,336.50
2,1024,509457,509367,497.51,497.42
2,4096,149465,149163,583.84,582.66
2,16384,37748,37726,589.81,589.46
2,65536,9461,9459,591.31,591.18
3,16,999863,999570,15.25,15.25
3,64,936744,936522,57.17,57.16
3,256,797580,797435,194.72,194.68
3,512,679396,679235,331.73,331.65
3,1024,527165,527037,514.80,514.68
3,4096,149464,149161,583.84,582.66
3,16384,37749,37727,589.82,589.48
3,65536,9461,9459,591.31,591.18
