Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.23,0.38,0.39,0.43,0.46,10,0.00,0.00
1,16,100,0.14,0.31,0.36,0.44,0.49,100,0.00,0.00
1,16,1000,0.07,0.26,0.28,0.31,0.35,1000,0.01,0.01
1,16,5000,0.08,0.25,0.27,0.31,0.33,4998,0.07,0.07
1,16,10000,0.08,0.27,0.30,0.34,0.36,9993,0.15,0.15
1,16,50000,0.08,0.30,0.34,0.44,0.56,49815,0.76,0.76
1,16,100000,0.09,0.36,0.48,0.78,0.96,99177,1.51,1.51
1,16,250000,0.08,0.58,1.16,41.33,78.84,244883,3.73,3.73
1,16,500000,0.08,1.22,6.60,26.94,59.54,480325,7.32,7.32
2,16,10,0.15,0.39,0.40,0.43,0.48,10,0.00,0.00
2,16,100,0.13,0.29,0.32,0.35,0.38,100,0.00,0.00
2,16,1000,0.08,0.27,0.29,0.33,0.36,1000,0.01,0.01
2,16,5000,0.08,0.29,0.32,0.39,0.45,4998,0.07,0.07
2,16,10000,0.08,0.26,0.28,0.32,0.38,9993,0.15,0.15
2,16,50000,0.08,0.31,0.34,0.42,0.55,49816,0.76,0.76
2,16,100000,0.09,0.26,0.32,0.47,0.65,99263,1.51,1.51
2,16,250000,0.08,0.53,0.72,18.79,53.08,245037,3.73,3.73
2,16,500000,0.08,0.88,5.19,32.19,61.91,480596,7.33,7.33
3,16,10,0.12,0.39,0.40,0.44,0.52,10,0.00,0.00
3,16,100,0.13,0.28,0.29,0.34,0.39,100,0.00,0.00
3,16,1000,0.08,0.26,0.29,0.32,0.37,1000,0.01,0.01
3,16,5000,0.08,0.25,0.28,0.31,0.36,4998,0.07,0.07
3,16,10000,0.07,0.27,0.29,0.33,0.38,9993,0.15,0.15
3,16,50000,0.08,0.28,0.33,0.40,0.50,49820,0.76,0.76
3,16,100000,0.08,0.31,0.41,0.79,1.53,99244,1.51,1.51
3,16,250000,0.10,0.54,0.68,0.84,11.22,245132,3.74,3.74
3,16,500000,0.08,1.30,5.08,21.75,41.11,481834,7.35,7.35
1,64,10,0.16,0.37,0.39,0.43,0.46,10,0.00,0.00
1,64,100,0.14,0.29,0.31,0.34,0.38,100,0.00,0.00
1,64,1000,0.11,0.25,0.27,0.31,0.35,1000,0.06,0.06
1,64,5000,0.08,0.27,0.28,0.32,0.37,4998,0.30,0.30
1,64,10000,0.10,0.26,0.28,0.33,0.39,9992,0.60,0.60
1,64,50000,0.08,0.31,0.36,0.45,0.55,49814,3.04,3.04
1,64,100000,0.08,0.29,0.38,0.69,1.43,99248,6.05,6.05
1,64,250000,0.08,0.54,0.79,35.94,71.78,245179,14.96,14.96
1,64,500000,0.08,1.86,9.07,32.91,61.89,480997,29.35,29.35
2,64,10,0.15,0.38,0.40,0.44,0.47,10,0.00,0.00
2,64,100,0.13,0.29,0.31,0.35,0.41,100,0.00,0.00
2,64,1000,0.08,0.26,0.27,0.31,0.32,1000,0.06,0.06
2,64,5000,0.08,0.28,0.30,0.33,0.36,4998,0.30,0.30
2,64,10000,0.08,0.27,0.30,0.34,0.39,9993,0.60,0.60
2,64,50000,0.08,0.29,0.34,0.41,0.49,49817,3.04,3.04
2,64,100000,0.09,0.29,0.39,0.74,1.66,99240,6.05,6.05
2,64,250000,0.08,0.14,0.16,3.23,33.85,221035,13.49,13.49
2,64,500000,0.09,0.18,0.22,39.51,63.77,437879,26.72,26.72
3,64,10,0.13,0.36,0.38,0.41,0.43,10,0.00,0.00
3,64,100,0.13,0.28,0.29,0.33,0.36,100,0.00,0.00
3,64,1000,0.08,0.27,0.29,0.33,0.34,1000,0.06,0.06
3,64,5000,0.08,0.26,0.28,0.33,0.36,4998,0.30,0.30
3,64,10000,0.07,0.27,0.29,0.33,0.37,9993,0.60,0.60
3,64,50000,0.09,0.29,0.35,0.43,0.54,49809,3.04,3.03
3,64,100000,0.09,0.28,0.38,1.14,1.86,99271,6.05,6.05
3,64,250000,0.08,0.57,0.81,29.78,60.57,245402,14.97,14.97
3,64,500000,0.08,0.48,6.18,27.55,48.49,482041,29.42,29.41
1,256,10,0.15,0.38,0.39,0.44,0.46,10,0.00,0.00
1,256,100,0.13,0.28,0.30,0.35,0.39,100,0.02,0.02
1,256,1000,0.08,0.26,0.27,0.31,0.36,1000,0.24,0.24
1,256,5000,0.08,0.26,0.28,0.33,0.36,4998,1.22,1.22
1,256,10000,0.10,0.28,0.30,0.34,0.41,9993,2.43,2.43
1,256,50000,0.09,0.21,0.29,0.39,0.51,49814,12.16,12.16
1,256,100000,0.09,0.34,0.45,1.15,2.28,99217,24.22,24.22
1,256,250000,0.08,0.66,0.93,13.97,63.55,245093,59.83,59.83
2,256,10,0.17,0.40,0.41,0.45,0.47,10,0.00,0.00
2,256,100,0.14,0.28,0.30,0.33,0.35,100,0.02,0.02
2,256,1000,0.08,0.26,0.28,0.33,0.39,1000,0.24,0.24
2,256,5000,0.08,0.27,0.30,0.34,0.42,4998,1.22,1.22
2,256,10000,0.08,0.27,0.29,0.34,0.41,9993,2.43,2.43
2,256,50000,0.09,0.30,0.34,0.43,0.57,49816,12.16,12.16
2,256,100000,0.09,0.29,0.36,0.70,2.19,99225,24.22,24.22
2,256,250000,0.08,1.13,2.68,18.51,31.86,245006,59.81,59.78
3,256,10,0.16,0.37,0.39,0.43,0.51,10,0.00,0.00
3,256,100,0.14,0.28,0.29,0.33,0.38,100,0.02,0.02
3,256,1000,0.08,0.27,0.28,0.33,0.37,1000,0.24,0.24
3,256,5000,0.08,0.27,0.29,0.33,0.37,4998,1.22,1.22
3,256,10000,0.08,0.27,0.29,0.34,0.41,9993,2.43,2.43
3,256,50000,0.09,0.29,0.38,0.47,0.58,49808,12.16,12.16
3,256,100000,0.09,0.42,0.56,0.87,2.40,99157,24.20,24.20
3,256,250000,0.08,0.24,1.39,41.12,77.17,243958,59.56,59.54
1,512,10,0.14,0.39,0.41,0.45,0.48,10,0.00,0.00
1,512,100,0.13,0.30,0.41,0.44,0.51,100,0.04,0.04
1,512,1000,0.08,0.26,0.27,0.32,0.36,1000,0.48,0.48
1,512,5000,0.08,0.28,0.31,0.35,0.43,4998,2.44,2.44
1,512,10000,0.08,0.27,0.30,0.37,0.42,9993,4.87,4.87
1,512,50000,0.09,0.32,0.37,0.49,0.66,49816,24.32,24.32
1,512,100000,0.09,0.34,0.41,1.26,2.28,99250,48.46,48.45
2,512,10,0.14,0.37,0.38,0.40,0.46,10,0.00,0.00
2,512,100,0.13,0.28,0.30,0.34,0.38,100,0.04,0.04
