Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.15,0.28,0.28,0.29,0.30,10,0.00,0.00
1,16,100,0.06,0.06,0.07,0.08,0.10,100,0.00,0.00
1,16,1000,0.05,0.08,0.08,0.09,0.10,1000,0.01,0.01
1,16,5000,0.05,0.10,0.11,0.14,0.15,4999,0.07,0.07
1,16,10000,0.05,0.14,0.21,0.24,0.27,9995,0.15,0.15
1,16,50000,0.07,0.20,0.22,0.26,0.33,49874,0.76,0.76
1,16,100000,0.09,0.32,0.34,0.38,0.52,99478,1.51,1.51
1,16,250000,0.10,0.58,0.64,0.70,5.12,246676,3.76,3.76
1,16,500000,0.10,0.95,1.06,2.77,21.51,486768,7.42,7.42
2,16,10,0.08,0.15,0.16,0.16,0.17,10,0.00,0.00
2,16,100,0.05,0.06,0.07,0.07,0.09,100,0.00,0.00
2,16,1000,0.05,0.08,0.10,0.21,0.34,1000,0.01,0.01
2,16,5000,0.05,0.14,0.15,0.33,0.34,4999,0.07,0.07
2,16,10000,0.05,0.14,0.20,0.21,0.21,9995,0.15,0.15
2,16,50000,0.07,0.21,0.25,0.28,0.38,49874,0.76,0.76
2,16,100000,0.12,0.52,0.55,0.57,0.75,99476,1.51,1.51
2,16,250000,0.15,0.58,0.64,0.71,5.21,246698,3.76,3.76
2,16,500000,0.15,0.95,1.08,3.14,20.90,486890,7.42,7.42
3,16,10,0.15,0.28,0.28,0.29,0.30,10,0.00,0.00
3,16,100,0.06,0.09,0.31,0.32,0.33,100,0.00,0.00
3,16,1000,0.05,0.10,0.22,0.34,0.35,1000,0.01,0.01
3,16,5000,0.05,0.13,0.18,0.31,0.32,4998,0.07,0.07
3,16,10000,0.05,0.14,0.18,0.18,0.20,9995,0.15,0.15
3,16,50000,0.07,0.21,0.22,0.26,0.35,49872,0.76,0.76
3,16,100000,0.13,0.45,0.46,0.48,0.74,99466,1.51,1.51
3,16,250000,0.14,0.58,0.66,0.80,4.92,246691,3.76,3.76
3,16,500000,0.20,0.93,1.05,3.34,21.25,486835,7.42,7.42
1,64,10,0.07,0.09,0.10,0.16,0.16,10,0.00,0.00
1,64,100,0.08,0.28,0.28,0.28,0.29,100,0.00,0.00
1,64,1000,0.05,0.12,0.31,0.32,0.32,1000,0.06,0.06
1,64,5000,0.05,0.13,0.18,0.31,0.32,4999,0.30,0.30
1,64,10000,0.05,0.15,0.33,0.34,0.39,9994,0.60,0.60
1,64,50000,0.06,0.20,0.22,0.27,0.34,49875,3.04,3.04
1,64,100000,0.12,0.34,0.40,0.58,0.75,99485,6.07,6.07
1,64,250000,0.14,0.65,0.73,0.81,4.88,246746,15.06,15.06
1,64,500000,0.07,1.04,1.11,3.12,21.45,486775,29.71,29.70
2,64,10,0.08,0.15,0.16,0.16,0.17,10,0.00,0.00
2,64,100,0.05,0.06,0.06,0.07,0.08,100,0.00,0.00
2,64,1000,0.05,0.06,0.10,0.12,0.18,1000,0.06,0.06
2,64,5000,0.05,0.11,0.18,0.31,0.32,4999,0.30,0.30
2,64,10000,0.05,0.12,0.15,0.19,0.20,9995,0.61,0.61
2,64,50000,0.07,0.29,0.31,0.32,0.46,49874,3.04,3.04
2,64,100000,0.09,0.48,0.53,0.57,0.79,99477,6.07,6.07
2,64,250000,0.10,0.57,0.72,0.80,5.05,246722,15.05,15.05
2,64,500000,0.18,1.01,1.09,3.34,21.54,486840,29.71,29.71
3,64,10,0.18,0.21,0.32,0.34,0.35,10,0.00,0.00
3,64,100,0.05,0.06,0.07,0.07,0.09,100,0.00,0.00
3,64,1000,0.05,0.06,0.07,0.12,0.12,1000,0.06,0.06
3,64,5000,0.05,0.15,0.18,0.31,0.32,4999,0.30,0.30
3,64,10000,0.05,0.12,0.17,0.19,0.20,9995,0.61,0.61
3,64,50000,0.07,0.22,0.24,0.28,0.38,49869,3.04,3.04
3,64,100000,0.12,0.33,0.37,0.58,0.74,99485,6.07,6.07
3,64,250000,0.14,0.58,0.63,0.75,5.39,246674,15.05,15.05
3,64,500000,0.17,0.97,1.09,3.35,21.90,486853,29.71,29.71
1,256,10,0.06,0.08,0.09,0.12,0.16,10,0.00,0.00
1,256,100,0.05,0.14,0.31,0.31,0.32,100,0.02,0.02
1,256,1000,0.05,0.10,0.21,0.34,0.34,1000,0.24,0.24
1,256,5000,0.05,0.17,0.19,0.31,0.32,4999,1.22,1.22
1,256,10000,0.05,0.13,0.18,0.32,0.34,9994,2.43,2.43
1,256,50000,0.07,0.27,0.31,0.41,0.47,49874,12.17,12.17
1,256,100000,0.08,0.47,0.55,0.58,1.09,99498,24.29,24.28
1,256,250000,0.15,0.62,0.67,0.84,5.68,246640,60.21,60.21
2,256,10,0.07,0.08,0.09,0.12,0.17,10,0.00,0.00
2,256,100,0.05,0.07,0.07,0.08,0.09,100,0.02,0.02
2,256,1000,0.05,0.18,0.31,0.32,0.33,1000,0.24,0.24
2,256,5000,0.05,0.13,0.19,0.32,0.33,4999,1.22,1.22
2,256,10000,0.05,0.15,0.19,0.22,0.28,9995,2.44,2.44
2,256,50000,0.07,0.31,0.32,0.38,0.54,49871,12.17,12.17
2,256,100000,0.14,0.44,0.51,0.55,1.41,99497,24.29,24.29
2,256,250000,0.24,0.75,0.82,0.92,5.42,246682,60.22,60.22
3,256,10,0.07,0.08,0.09,0.11,0.13,10,0.00,0.00
3,256,100,0.06,0.07,0.12,0.12,0.19,100,0.02,0.02
3,256,1000,0.05,0.06,0.10,0.10,0.12,1000,0.24,0.24
3,256,5000,0.05,0.11,0.12,0.15,0.19,4999,1.22,1.22
3,256,10000,0.05,0.12,0.13,0.16,0.21,9995,2.44,2.44
3,256,50000,0.07,0.28,0.41,0.47,0.54,49878,12.17,12.17
3,256,100000,0.09,0.38,0.48,0.55,0.95,99491,24.28,24.28
3,256,250000,0.15,0.65,0.71,0.85,5.89,246689,60.22,60.22
1,512,10,0.27,0.28,0.28,0.29,0.30,10,0.00,0.00
1,512,100,0.06,0.06,0.07,0.08,0.10,100,0.04,0.04
1,512,1000,0.05,0.08,0.21,0.34,0.35,1000,0.48,0.48
1,512,5000,0.05,0.11,0.13,0.19,0.33,4998,2.44,2.44
1,512,10000,0.05,0.15,0.20,0.34,0.41,9995,4.88,4.88
1,512,50000,0.09,0.31,0.40,0.43,0.56,49873,24.35,24.35
1,512,100000,0.09,0.51,0.53,0.64,1.62,99467,48.56,48.56
2,512,10,0.10,0.28,0.28,0.29,0.30,10,0.00,0.00
2,512,100,0.06,0.07,0.07,0.09,0.12,100,0.04,0.04
2,512,1000,0.05,0.12,0.18,0.32,0.33,1000,0.48,0.48
2,512,5000,0.05,0.18,0.19,0.24,0.31,4998,2.44,2.44
2,512,10000,0.05,0.14,0.15,0.21,0.33,9995,4.88,4.88
2,512,50000,0.09,0.32,0.35,0.53,0.64,49871,24.35,24.34
2,512,100000,0.15,0.53,0.55,0.61,1.53,99459,48.56,48.56
3,512,10,0.07,0.08,0.10,0.12,0.14,10,0.00,0.00
3,512,100,0.06,0.14,0.32,0.32,0.33,100,0.04,0.04
3,512,1000,0.05,0.08,0.10,0.15,0.34,1000,0.48,0.48
3,512,5000,0.05,0.15,0.15,0.27,0.28,4999,2.44,2.44
3,512,10000,0.05,0.15,0.18,0.21,0.28,9995,4.88,4.88
3,512,50000,0.09,0.31,0.33,0.51,0.57,49872,24.35,24.35
3,512,100000,0.15,0.42,0.49,0.63,1.51,99497,48.58,48.57
1,1024,10,0.14,0.28,0.28,0.29,0.31,10,0.00,0.00
1,1024,100,0.06,0.09,0.09,0.15,0.16,100,0.09,0.09
1,1024,1000,0.05,0.10,0.12,0.31,0.32,1000,0.97,0.97
1,1024,5000,0.05,0.15,0.20,0.27,0.29,4999,4.88,4.88
1,1024,10000,0.05,0.18,0.21,0.34,0.41,9995,9.76,9.76
1,1024,50000,0.09,0.46,0.51,0.57,1.04,49875,48.70,48.70
2,1024,10,0.07,0.14,0.15,0.17,0.18,10,0.00,0.00
2,1024,100,0.06,0.07,0.07,0.09,0.14,100,0.09,0.09
2,1024,1000,0.05,0.10,0.12,0.20,0.32,1000,0.97,0.97
2,1024,5000,0.05,0.12,0.14,0.18,0.26,4999,4.88,4.88
2,1024,10000,0.05,0.21,0.31,0.33,0.45,9995,9.76,9.76
2,1024,50000,0.11,0.46,0.51,0.59,1.31,49874,48.70,48.70
3,1024,10,0.07,0.32,0.33,0.35,0.36,10,0.00,0.00
3,1024,100,0.06,0.18,0.31,0.32,0.32,100,0.09,0.09
3,1024,1000,0.05,0.08,0.15,0.34,0.35,1000,0.97,0.97
3,1024,5000,0.05,0.18,0.19,0.31,0.32,4999,4.88,4.88
3,1024,10000,0.05,0.18,0.23,0.32,0.38,9995,9.76,9.75
3,1024,50000,0.09,0.44,0.50,0.56,1.27,49869,48.70,48.70
1,4096,10,0.08,0.10,0.12,0.15,0.20,10,0.03,0.03
1,4096,100,0.06,0.18,0.31,0.32,0.34,100,0.39,0.39
1,4096,1000,0.06,0.09,0.12,0.32,0.33,1000,3.90,3.90
1,4096,5000,0.06,0.20,0.21,0.35,0.44,4998,19.52,19.52
1,4096,10000,0.06,0.26,0.32,0.40,0.51,9995,39.04,39.03
2,4096,10,0.09,0.17,0.18,0.20,0.30,10,0.03,0.03
2,4096,100,0.06,0.07,0.08,0.12,0.17,100,0.39,0.39
2,4096,1000,0.06,0.12,0.19,0.32,0.35,1000,3.90,3.90
2,4096,5000,0.06,0.19,0.21,0.31,0.36,4999,19.52,19.52
2,4096,10000,0.06,0.28,0.35,0.42,0.56,9995,39.04,39.04
3,4096,10,0.15,0.28,0.29,0.29,0.32,10,0.03,0.03
3,4096,100,0.06,0.09,0.09,0.15,0.17,100,0.39,0.39
3,4096,1000,0.06,0.09,0.11,0.15,0.22,1000,3.90,3.90
3,4096,5000,0.06,0.20,0.22,0.42,0.47,4999,19.52,19.52
3,4096,10000,0.06,0.27,0.34,0.44,0.56,9994,39.03,39.03
1,16384,10,0.24,0.37,0.37,0.40,0.56,10,0.15,0.15
1,16384,100,0.10,0.18,0.20,0.27,0.33,100,1.56,1.56
