Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.14,0.21,0.22,0.35,0.39,10,0.00,0.00
1,16,100,0.09,0.28,0.28,0.28,0.30,100,0.00,0.00
1,16,1000,0.06,0.13,0.32,0.33,0.33,1000,0.01,0.01
1,16,5000,0.07,0.10,0.10,0.12,0.16,4998,0.07,0.07
1,16,10000,0.06,0.10,0.21,0.34,0.34,9995,0.15,0.15
1,16,50000,0.07,0.19,0.21,0.24,0.38,49866,0.76,0.76
1,16,100000,0.11,0.34,0.37,0.41,0.61,99458,1.51,1.51
1,16,250000,0.20,0.56,0.66,0.83,6.33,246430,3.76,3.76
1,16,500000,0.07,0.93,1.14,3.43,25.88,484722,7.39,7.39
2,16,10,0.13,0.21,0.22,0.34,0.35,10,0.00,0.00
2,16,100,0.07,0.08,0.13,0.20,0.33,100,0.00,0.00
2,16,1000,0.07,0.15,0.28,0.28,0.29,1000,0.01,0.01
2,16,5000,0.06,0.20,0.32,0.33,0.34,4998,0.07,0.07
2,16,10000,0.06,0.17,0.30,0.31,0.32,9994,0.15,0.15
2,16,50000,0.08,0.30,0.32,0.33,0.45,49869,0.76,0.76
2,16,100000,0.09,0.33,0.41,0.46,0.68,99472,1.51,1.51
2,16,250000,0.13,0.48,0.61,0.80,6.65,246357,3.75,3.75
2,16,500000,0.20,0.85,1.04,3.18,26.73,484441,7.39,7.39
3,16,10,0.14,0.21,0.24,0.34,0.35,10,0.00,0.00
3,16,100,0.07,0.09,0.14,0.28,0.28,100,0.00,0.00
3,16,1000,0.06,0.20,0.32,0.33,0.33,1000,0.01,0.01
3,16,5000,0.06,0.09,0.10,0.14,0.17,4998,0.07,0.07
3,16,10000,0.07,0.17,0.30,0.31,0.32,9995,0.15,0.15
3,16,50000,0.08,0.21,0.23,0.25,0.40,49868,0.76,0.76
3,16,100000,0.14,0.41,0.52,0.57,0.75,99492,1.51,1.51
3,16,250000,0.21,0.56,0.66,0.82,6.37,246460,3.76,3.76
3,16,500000,0.16,0.99,1.15,3.28,24.16,485761,7.41,7.41
1,64,10,0.07,0.09,0.09,0.11,0.15,10,0.00,0.00
1,64,100,0.07,0.07,0.08,0.10,0.12,100,0.00,0.00
1,64,1000,0.06,0.20,0.20,0.33,0.33,1000,0.06,0.06
1,64,5000,0.06,0.19,0.32,0.33,0.34,4998,0.30,0.30
1,64,10000,0.07,0.16,0.17,0.30,0.31,9994,0.60,0.60
1,64,50000,0.08,0.23,0.34,0.37,0.47,49871,3.04,3.04
1,64,100000,0.10,0.27,0.30,0.38,0.70,99445,6.06,6.06
1,64,250000,0.12,0.47,0.51,0.71,6.22,246399,15.03,15.03
1,64,500000,0.11,0.94,1.23,3.22,24.81,485363,29.62,29.62
2,64,10,0.08,0.15,0.16,0.16,0.21,10,0.00,0.00
2,64,100,0.07,0.08,0.09,0.11,0.15,100,0.00,0.00
2,64,1000,0.06,0.09,0.09,0.15,0.16,1000,0.06,0.06
2,64,5000,0.07,0.09,0.10,0.10,0.13,4998,0.30,0.30
2,64,10000,0.07,0.20,0.32,0.33,0.34,9995,0.61,0.61
2,64,50000,0.08,0.25,0.36,0.38,0.54,49868,3.04,3.04
2,64,100000,0.14,0.32,0.42,0.55,0.89,99465,6.07,6.07
2,64,250000,0.11,0.49,0.60,0.84,6.80,246371,15.03,15.03
2,64,500000,0.26,1.02,1.33,3.86,26.20,485023,29.60,29.60
3,64,10,0.08,0.09,0.09,0.12,0.15,10,0.00,0.00
3,64,100,0.07,0.08,0.08,0.09,0.13,100,0.00,0.00
3,64,1000,0.06,0.07,0.08,0.09,0.10,1000,0.06,0.06
3,64,5000,0.06,0.09,0.09,0.10,0.12,4999,0.30,0.30
3,64,10000,0.07,0.13,0.19,0.32,0.33,9994,0.60,0.60
3,64,50000,0.08,0.31,0.32,0.34,0.52,49866,3.04,3.04
3,64,100000,0.08,0.30,0.38,0.45,0.85,99480,6.07,6.07
3,64,250000,0.10,0.59,0.65,0.79,6.71,246369,15.03,15.03
3,64,500000,0.17,1.08,1.41,4.32,26.47,485082,29.60,29.60
1,256,10,0.08,0.15,0.20,0.22,0.23,10,0.00,0.00
1,256,100,0.07,0.08,0.09,0.09,0.14,100,0.02,0.02
1,256,1000,0.06,0.09,0.10,0.15,0.16,1000,0.24,0.24
1,256,5000,0.07,0.15,0.32,0.33,0.34,4998,1.22,1.22
1,256,10000,0.07,0.11,0.13,0.15,0.21,9995,2.44,2.44
1,256,50000,0.09,0.25,0.36,0.40,0.59,49866,12.17,12.17
1,256,100000,0.18,0.49,0.56,0.61,1.73,99435,24.27,24.27
1,256,250000,0.13,0.53,0.59,1.04,7.83,246234,60.11,60.11
2,256,10,0.08,0.09,0.09,0.12,0.17,10,0.00,0.00
2,256,100,0.07,0.08,0.13,0.14,0.19,100,0.02,0.02
2,256,1000,0.08,0.15,0.15,0.16,0.17,1000,0.24,0.24
2,256,5000,0.07,0.10,0.16,0.17,0.18,4999,1.22,1.22
2,256,10000,0.07,0.17,0.18,0.19,0.30,9994,2.43,2.43
2,256,50000,0.09,0.32,0.33,0.36,0.58,49861,12.17,12.17
2,256,100000,0.09,0.34,0.42,0.51,1.41,99464,24.28,24.28
2,256,250000,0.24,0.62,0.76,1.18,6.96,246414,60.15,60.15
3,256,10,0.09,0.16,0.28,0.29,0.30,10,0.00,0.00
3,256,100,0.07,0.13,0.32,0.33,0.35,100,0.02,0.02
3,256,1000,0.06,0.14,0.32,0.33,0.34,1000,0.24,0.24
3,256,5000,0.06,0.32,0.33,0.34,0.35,4998,1.22,1.22
3,256,10000,0.07,0.30,0.30,0.31,0.33,9995,2.44,2.44
3,256,50000,0.09,0.31,0.33,0.35,0.56,49862,12.17,12.17
3,256,100000,0.09,0.43,0.46,0.51,1.68,99448,24.27,24.27
3,256,250000,0.08,0.64,0.75,1.19,7.66,246261,60.12,60.12
1,512,10,0.08,0.10,0.14,0.15,0.16,10,0.00,0.00
1,512,100,0.07,0.09,0.13,0.18,0.20,100,0.04,0.04
1,512,1000,0.07,0.15,0.15,0.16,0.28,1000,0.48,0.48
1,512,5000,0.07,0.13,0.13,0.15,0.20,4998,2.44,2.44
1,512,10000,0.07,0.12,0.13,0.16,0.30,9994,4.87,4.87
1,512,50000,0.10,0.39,0.40,0.45,0.80,49869,24.35,24.35
1,512,100000,0.22,0.54,0.58,0.84,2.68,99447,48.55,48.55
2,512,10,0.08,0.09,0.11,0.13,0.18,10,0.00,0.00
2,512,100,0.07,0.08,0.09,0.15,0.20,100,0.04,0.04
2,512,1000,0.06,0.09,0.16,0.29,0.29,1000,0.48,0.48
2,512,5000,0.07,0.32,0.33,0.34,0.36,4998,2.44,2.44
2,512,10000,0.06,0.32,0.33,0.34,0.45,9994,4.87,4.87
2,512,50000,0.11,0.32,0.34,0.43,0.76,49861,24.34,24.34
2,512,100000,0.10,0.48,0.52,0.70,2.57,99450,48.55,48.55
3,512,10,0.14,0.15,0.23,0.34,0.34,10,0.00,0.00
3,512,100,0.07,0.08,0.09,0.09,0.13,100,0.04,0.04
3,512,1000,0.06,0.08,0.09,0.10,0.15,1000,0.48,0.48
3,512,5000,0.06,0.10,0.10,0.14,0.16,4998,2.44,2.44
3,512,10000,0.07,0.30,0.31,0.32,0.42,9995,4.88,4.88
3,512,50000,0.10,0.37,0.40,0.45,0.72,49863,24.34,24.34
3,512,100000,0.10,0.37,0.46,0.56,2.38,99456,48.56,48.56
1,1024,10,0.09,0.16,0.28,0.29,0.33,10,0.00,0.00
1,1024,100,0.07,0.08,0.08,0.10,0.13,100,0.09,0.09
1,1024,1000,0.06,0.30,0.32,0.33,0.34,1000,0.97,0.97
1,1024,5000,0.07,0.19,0.33,0.34,0.37,4998,4.88,4.88
1,1024,10000,0.07,0.32,0.33,0.35,0.49,9994,9.75,9.75
1,1024,50000,0.12,0.42,0.44,0.61,1.23,49858,48.68,48.68
2,1024,10,0.09,0.15,0.16,0.17,0.22,10,0.00,0.00
2,1024,100,0.07,0.08,0.08,0.09,0.14,100,0.09,0.09
2,1024,1000,0.07,0.08,0.13,0.19,0.27,1000,0.97,0.97
2,1024,5000,0.07,0.18,0.30,0.31,0.36,4998,4.88,4.88
2,1024,10000,0.11,0.18,0.23,0.32,0.41,9995,9.76,9.76
2,1024,50000,0.14,0.35,0.56,0.62,1.50,49862,48.69,48.69
3,1024,10,0.09,0.28,0.29,0.30,0.34,10,0.00,0.00
3,1024,100,0.07,0.09,0.10,0.16,0.28,100,0.09,0.09
3,1024,1000,0.07,0.09,0.10,0.16,0.17,1000,0.97,0.97
3,1024,5000,0.07,0.17,0.17,0.27,0.33,4998,4.88,4.88
3,1024,10000,0.07,0.15,0.20,0.39,0.43,9994,9.75,9.75
3,1024,50000,0.13,0.41,0.44,0.60,1.40,49864,48.69,48.69
1,4096,10,0.14,0.34,0.35,0.36,0.38,10,0.03,0.03
1,4096,100,0.08,0.09,0.14,0.14,0.20,100,0.39,0.39
1,4096,1000,0.14,0.29,0.29,0.30,0.36,1000,3.90,3.90
1,4096,5000,0.08,0.34,0.35,0.40,0.67,4998,19.52,19.52
1,4096,10000,0.08,0.35,0.36,0.51,0.66,9993,39.03,39.03
2,4096,10,0.16,0.16,0.17,0.21,0.33,10,0.03,0.03
2,4096,100,0.08,0.09,0.09,0.13,0.16,100,0.39,0.39
2,4096,1000,0.08,0.15,0.16,0.29,0.30,1000,3.90,3.90
2,4096,5000,0.08,0.23,0.34,0.40,0.65,4998,19.52,19.52
2,4096,10000,0.08,0.34,0.35,0.50,0.69,9995,39.04,39.04
3,4096,10,0.14,0.16,0.16,0.20,0.23,10,0.03,0.03
3,4096,100,0.09,0.10,0.14,0.14,0.18,100,0.39,0.39
3,4096,1000,0.08,0.10,0.10,0.15,0.35,1000,3.90,3.90
3,4096,5000,0.10,0.32,0.32,0.36,0.55,4999,19.52,19.52
3,4096,10000,0.09,0.35,0.36,0.50,0.67,9993,39.03,39.03
1,16384,10,0.14,0.19,0.20,0.26,0.35,10,0.15,0.15
1,16384,100,0.17,0.30,0.31,0.33,0.51,100,1.56,1.56
1,16384,1000,0.11,0.31,0.32,0.34,0.51,1000,15.62,15.62
1,16384,5000,0.16,0.36,0.49,0.60,2.41,4998,78.09,78.09
2,16384,10,0.17,0.31,0.32,0.34,0.40,10,0.15,0.15
2,16384,100,0.14,0.35,0.36,0.39,0.53,100,1.56,1.56
2,16384,1000,0.12,0.24,0.35,0.38,0.54,1000,15.62,15.62
2,16384,5000,0.14,0.43,0.50,0.63,2.35,4998,78.09,78.09
3,16384,10,0.17,0.31,0.32,0.36,0.53,10,0.15,0.15
3,16384,100,0.18,0.35,0.35,0.38,0.53,100,1.56,1.56
3,16384,1000,0.11,0.23,0.30,0.44,0.66,1000,15.62,15.62
3,16384,5000,0.11,0.40,0.44,0.61,2.33,4998,78.09,78.09
1,65536,10,0.34,0.36,0.38,0.60,0.89,10,0.62,0.62
1,65536,100,0.33,0.35,0.36,0.50,0.60,100,6.25,6.25
1,65536,1000,0.24,0.39,0.41,0.58,2.60,1000,62.50,62.50
2,65536,10,0.23,0.36,0.38,0.58,0.89,10,0.62,0.62
2,65536,100,0.22,0.29,0.33,0.41,0.51,100,6.25,6.25
2,65536,1000,0.24,0.39,0.41,0.57,2.60,1000,62.50,62.50
3,65536,10,0.38,0.40,0.42,0.59,0.65,10,0.62,0.62
3,65536,100,0.27,0.39,0.40,0.53,0.62,100,6.25,6.25
3,65536,1000,0.24,0.39,0.41,0.56,2.42,1000,62.50,62.50
