Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,270894,135488,4.13,2.06
1,64,248796,124397,15.18,7.59
1,256,252130,126036,61.55,30.77
1,512,233782,117282,114.15,57.26
1,1024,228908,112934,223.54,110.28
2,16,299744,150437,4.57,2.29
2,64,280150,138697,17.09,8.46
2,256,298686,149250,72.92,36.43
2,512,191456,95728,93.48,46.74
2,1024,273090,138016,266.68,134.78
3,16,206013,102918,3.14,1.57
3,64,279810,139921,17.07,8.54
3,256,213540,105924,52.13,25.86
3,512,241306,120840,117.82,59.00
3,1024,254758,126805,248.78,123.83
