Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,248041,123974,3.78,1.89
1,64,214904,107891,13.11,6.58
1,256,209656,106100,51.18,25.90
1,512,289616,145091,141.41,70.84
1,1024,286502,143510,279.78,140.14
2,16,215354,107674,3.28,1.64
2,64,272680,136532,16.64,8.33
2,256,180684,90342,44.11,22.05
2,512,251786,125949,122.94,61.49
2,1024,291580,145749,284.74,142.33
3,16,276696,138356,4.22,2.11
3,64,268426,134564,16.38,8.21
3,256,297714,149291,72.68,36.44
3,512,259588,129758,126.75,63.35
3,1024,274163,137178,267.73,133.96
