Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,366248,182848,5.58,2.79
1,64,355538,177731,21.70,10.84
1,256,332450,166246,81.16,40.58
1,512,345160,172478,168.53,84.21
1,1024,323808,162109,316.21,158.30
2,16,357414,178738,5.45,2.72
2,64,340278,170133,20.76,10.38
2,256,322838,161522,78.81,39.43
2,512,335296,168008,163.71,82.03
2,1024,327204,163568,319.53,159.73
3,16,344892,172446,5.26,2.63
3,64,334618,167372,20.42,10.21
3,256,314586,157214,76.80,38.38
3,512,324444,162307,158.41,79.25
3,1024,342523,171300,334.49,167.28
