Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,356830,232357,5.44,3.54
1,64,356242,199552,21.74,12.17
1,256,318192,159288,77.68,38.88
1,512,350514,172762,171.14,84.35
1,1024,312610,155995,305.28,152.33
2,16,344334,172193,5.25,2.62
2,64,336694,168337,20.55,10.27
2,256,343208,177650,83.79,43.37
2,512,330006,165736,161.13,80.92
2,1024,291380,145675,284.55,142.26
3,16,356412,180402,5.43,2.75
3,64,317724,158649,19.39,9.68
3,256,361900,170947,88.35,41.73
3,512,338072,177113,165.07,86.48
3,1024,303854,150308,296.73,146.78
