Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,332491,161689,5.07,2.46
1,64,334172,167767,20.39,10.23
1,256,336432,175483,82.13,42.84
1,512,339898,173526,165.96,84.72
1,1024,325674,163422,318.04,159.59
2,16,331730,165637,5.06,2.52
2,64,324652,162353,19.81,9.90
2,256,342252,171038,83.55,41.75
2,512,325410,160778,158.89,78.50
2,1024,306334,153530,299.15,149.93
3,16,357816,179679,5.45,2.74
3,64,313684,156837,19.14,9.57
3,256,349748,175202,85.38,42.77
3,512,333462,166715,162.82,81.40
3,1024,309844,153980,302.58,150.37
