Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,711456,711452,10.85,10.85
1,64,670946,670576,40.95,40.92
1,256,593730,593727,144.95,144.95
1,512,543906,543895,265.57,265.57
1,1024,415332,415322,405.59,405.58
1,4096,146838,146718,573.58,573.11
1,16384,28450,28448,444.53,444.50
1,65536,9455,9454,590.93,590.87
2,16,710543,710512,10.84,10.84
2,64,682020,682002,41.62,41.62
2,256,588996,588559,143.79,143.69
2,512,550800,550797,268.94,268.94
2,1024,429772,429656,419.69,419.58
2,4096,148896,148848,581.62,581.43
2,16384,27851,27849,435.17,435.14
2,65536,9460,9457,591.25,591.06
3,16,698354,698351,10.65,10.65
3,64,660344,660342,40.30,40.30
3,256,598327,598324,146.07,146.07
3,512,526281,526264,256.97,256.96
3,1024,408917,408851,399.33,399.26
3,4096,144134,144096,563.02,562.87
3,16384,28152,28149,439.87,439.82
3,65536,9457,9456,591.06,591.00
