Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,697361,697356,10.64,10.64
1,64,676766,676762,41.30,41.30
1,256,604847,604843,147.66,147.66
1,512,537643,537641,262.52,262.52
1,1024,392703,392470,383.49,383.27
1,4096,100075,100047,390.91,390.80
1,16384,25158,25153,393.09,393.01
1,65536,6301,6298,393.81,393.62
2,16,697029,696783,10.63,10.63
2,64,680148,680144,41.51,41.51
2,256,599866,599291,146.45,146.31
2,512,537446,537323,262.42,262.36
2,1024,392508,392206,383.30,383.01
2,4096,100092,100072,390.98,390.90
2,16384,25158,25152,393.09,393.00
2,65536,6300,6299,393.75,393.68
3,16,705214,705211,10.76,10.76
3,64,666652,666649,40.68,40.68
3,256,635810,635619,155.22,155.18
3,512,545352,545336,266.28,266.27
3,1024,391392,391256,382.21,382.08
3,4096,100084,100064,390.95,390.87
3,16384,25161,25158,393.14,393.09
3,65536,6300,6298,393.75,393.62
