Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,1013057,1012547,15.45,15.45
1,64,951734,951281,58.08,58.06
1,256,805625,805399,196.68,196.63
1,512,658666,658469,321.61,321.51
1,1024,398966,398878,389.61,389.52
1,4096,100088,100067,390.96,390.88
1,16384,25343,25153,395.98,393.01
1,65536,6361,6296,397.56,393.50
2,16,982341,982138,14.98,14.98
2,64,938686,938466,57.29,57.27
2,256,790020,789924,192.87,192.85
2,512,655196,655023,319.91,319.83
2,1024,399029,398933,389.67,389.58
2,4096,100090,100064,390.97,390.87
2,16384,25445,25149,397.57,392.95
2,65536,6345,6295,396.56,393.43
3,16,990530,990143,15.11,15.10
3,64,940340,940025,57.39,57.37
3,256,788273,788127,192.44,192.41
3,512,655670,655459,320.15,320.04
3,1024,398965,398885,389.61,389.53
3,4096,100102,100075,391.02,390.91
3,16384,25393,25150,396.76,392.96
3,65536,6449,6296,403.06,393.50
