Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,192,0,0,0
1,64,382237,382064,23.32,23.31
1,256,650786,650686,158.88,158.85
1,512,514055,514013,251.00,250.98
1,1024,372026,372003,363.30,363.28
1,4096,149042,149021,582.19,582.11
1,16384,37709,37705,589.20,589.14
1,65536,9462,9459,591.37,591.18
2,16,816400,816184,12.45,12.45
2,64,774622,774448,47.27,47.26
2,256,648616,648520,158.35,158.33
2,512,538915,538867,263.14,263.11
2,1024,388255,388227,379.15,379.12
2,4096,144490,144480,564.41,564.37
2,16384,37706,37703,589.15,589.10
2,65536,9459,9457,591.18,591.06
3,16,825923,825763,12.60,12.60
3,64,778049,777914,47.48,47.48
3,256,645030,644972,157.47,157.46
3,512,520250,520200,254.02,254.00
3,1024,375229,375200,366.43,366.40
3,4096,139468,139459,544.79,544.76
3,16384,17027,17020,266.04,265.93
3,65536,9461,9459,591.31,591.18
