Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,763935,763750,11.65,11.65
1,64,790799,790687,48.26,48.25
1,256,674648,674546,164.70,164.68
1,512,534914,534839,261.18,261.15
1,1024,404031,404002,394.56,394.53
1,4096,149238,149154,582.96,582.63
1,16384,37702,37683,589.09,588.79
1,65536,9461,9459,591.31,591.18
2,16,834384,834138,12.73,12.72
2,64,804134,804027,49.08,49.07
2,256,678221,678160,165.58,165.56
2,512,542951,542866,265.11,265.07
2,1024,405263,405212,395.76,395.71
2,4096,11995,11980,46.85,46.79
2,16384,12159,12150,189.98,189.84
2,65536,9461,9459,591.31,591.18
3,16,835546,835386,12.74,12.74
3,64,778986,778816,47.54,47.53
3,256,95685,95611,23.36,23.34
3,512,524792,524731,256.24,256.21
3,1024,394472,394445,385.22,385.20
3,4096,141256,141219,551.78,551.63
3,16384,37747,37724,589.79,589.43
3,65536,9461,9459,591.31,591.18
