Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.08,0.09,0.15,0.16,0.18,10,0.00,0.00
1,16,100,0.06,0.07,0.13,0.13,0.14,100,0.00,0.00
1,16,1000,0.06,0.07,0.12,0.13,0.32,1000,0.01,0.01
1,16,5000,0.06,0.14,0.21,0.34,0.40,4999,0.07,0.07
1,16,10000,0.05,0.31,0.31,0.32,0.38,9995,0.15,0.15
1,16,50000,0.07,0.20,0.28,0.41,0.43,49871,0.76,0.76
1,16,100000,0.12,0.31,0.36,0.53,0.57,99464,1.51,1.51
1,16,250000,0.20,0.49,0.54,0.70,5.30,246644,3.76,3.76
1,16,500000,0.21,0.85,0.97,1.48,20.60,486965,7.43,7.42
2,16,10,0.07,0.14,0.14,0.20,0.20,10,0.00,0.00
2,16,100,0.06,0.07,0.07,0.07,0.08,100,0.00,0.00
2,16,1000,0.05,0.07,0.12,0.14,0.32,1000,0.01,0.01
2,16,5000,0.05,0.19,0.32,0.33,0.41,4999,0.07,0.07
2,16,10000,0.05,0.19,0.25,0.32,0.32,9995,0.15,0.15
2,16,50000,0.07,0.31,0.31,0.32,0.35,49861,0.76,0.76
2,16,100000,0.12,0.29,0.32,0.53,0.56,99462,1.51,1.51
2,16,250000,0.12,0.47,0.53,0.67,5.34,246648,3.76,3.76
2,16,500000,0.13,0.87,1.00,1.41,21.39,486758,7.42,7.42
3,16,10,0.07,0.08,0.08,0.09,0.10,10,0.00,0.00
3,16,100,0.09,0.28,0.28,0.28,0.28,100,0.00,0.00
3,16,1000,0.05,0.08,0.12,0.15,0.34,1000,0.01,0.01
3,16,5000,0.06,0.14,0.14,0.34,0.40,4999,0.07,0.07
3,16,10000,0.06,0.21,0.27,0.38,0.41,9995,0.15,0.15
3,16,50000,0.06,0.20,0.21,0.23,0.27,49870,0.76,0.76
3,16,100000,0.09,0.35,0.46,0.73,0.75,99489,1.51,1.51
3,16,250000,0.09,0.50,0.55,0.63,5.50,246620,3.76,3.76
3,16,500000,0.21,0.82,0.95,1.33,21.38,486643,7.42,7.42
1,64,10,0.07,0.09,0.09,0.10,0.11,10,0.00,0.00
1,64,100,0.06,0.08,0.32,0.33,0.33,100,0.00,0.00
1,64,1000,0.06,0.08,0.21,0.34,0.34,1000,0.06,0.06
1,64,5000,0.06,0.19,0.32,0.32,0.33,4998,0.30,0.30
1,64,10000,0.05,0.21,0.33,0.34,0.35,9995,0.61,0.61
1,64,50000,0.07,0.31,0.32,0.33,0.50,49864,3.04,3.04
1,64,100000,0.12,0.32,0.33,0.39,0.58,99480,6.07,6.07
1,64,250000,0.20,0.56,0.61,0.84,5.04,246739,15.05,15.05
1,64,500000,0.09,0.76,0.87,1.68,21.84,486445,29.69,29.68
2,64,10,0.07,0.08,0.08,0.09,0.10,10,0.00,0.00
2,64,100,0.06,0.08,0.19,0.20,0.20,100,0.00,0.00
2,64,1000,0.05,0.08,0.12,0.15,0.21,1000,0.06,0.06
2,64,5000,0.06,0.19,0.31,0.33,0.33,4999,0.30,0.30
2,64,10000,0.05,0.14,0.14,0.20,0.34,9995,0.61,0.61
2,64,50000,0.07,0.29,0.42,0.44,0.48,49874,3.04,3.04
2,64,100000,0.10,0.30,0.36,0.45,0.60,99479,6.07,6.07
2,64,250000,0.21,0.55,0.65,0.77,4.99,246722,15.05,15.05
