Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,346968,173489,5.29,2.64
1,64,347254,173613,21.19,10.59
1,256,333352,166681,81.38,40.69
1,512,327578,163795,159.95,79.97
1,1024,325818,162910,318.18,159.09
2,16,351450,175712,5.36,2.68
2,64,347572,173782,21.21,10.60
2,256,339844,169787,82.96,41.45
2,512,325738,162635,159.05,79.41
2,1024,330574,165270,322.82,161.39
3,16,358108,179039,5.46,2.73
3,64,331922,165958,20.25,10.12
3,256,332812,166393,81.25,40.62
3,512,322578,161294,157.50,78.75
3,1024,306636,153266,299.44,149.67
