Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,575605,575453,8.78,8.78
1,64,526120,526012,32.11,32.10
1,256,423167,423052,103.31,103.28
1,512,338553,338515,165.30,165.29
1,1024,215116,215101,210.07,210.05
1,4096,78016,78010,304.75,304.72
1,16384,21715,21713,339.29,339.26
1,65536,6557,6556,409.81,409.75
2,16,583288,582970,8.90,8.89
2,64,529266,529196,32.30,32.29
2,256,412708,412633,100.75,100.74
2,512,315741,315672,154.17,154.13
2,1024,216094,216066,211.02,211.00
2,4096,78553,78545,306.84,306.81
2,16384,16727,16724,261.35,261.31
2,65536,121,123,7.56,7.68
3,16,593496,593251,9.05,9.05
3,64,116509,116158,7.11,7.08
3,256,409597,275074,99.99,67.15
3,512,14720,14842,7.18,7.24
3,1024,7336,7315,7.16,7.14
3,4096,1962,1957,7.66,7.64
3,16384,479,486,7.48,7.59
3,65536,121,122,7.56,7.62
