Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,583643,583465,8.90,8.90
1,64,533208,533136,32.54,32.54
1,256,443449,443410,108.26,108.25
1,512,320115,320080,156.30,156.28
1,1024,214789,214770,209.75,209.73
1,4096,78675,78668,307.32,307.29
1,16384,21554,21551,336.78,336.73
1,65536,6407,6406,400.43,400.37
2,16,580659,580461,8.86,8.85
2,64,531489,531400,32.43,32.43
2,256,404876,404839,98.84,98.83
2,512,320379,320349,156.43,156.42
2,1024,220229,220207,215.06,215.04
2,4096,78742,78734,307.58,307.55
2,16384,22335,22333,348.98,348.95
2,65536,6478,6477,404.87,404.81
3,16,580566,580370,8.85,8.85
3,64,503811,503721,30.75,30.74
3,256,409617,409576,100.00,99.99
3,512,323317,323278,157.86,157.85
3,1024,220337,220319,215.17,215.15
3,4096,79046,79041,308.77,308.75
3,16384,23544,23543,367.87,367.85
3,65536,4671,4044,291.93,252.75
