Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.15,0.17,0.18,0.19,0.21,10,0.00,0.00
1,16,100,0.07,0.09,0.12,0.13,0.14,100,0.00,0.00
1,16,1000,0.05,0.07,0.08,0.12,0.12,1000,0.01,0.01
1,16,5000,0.04,0.10,0.10,0.12,0.15,4998,0.07,0.07
1,16,10000,0.04,0.11,0.14,0.15,0.19,9993,0.15,0.15
1,16,50000,0.07,0.14,0.16,0.18,0.24,49809,0.76,0.76
1,16,100000,0.06,0.23,0.31,0.70,0.88,99239,1.51,1.51
1,16,250000,0.05,0.12,0.13,1.45,16.98,217398,3.31,3.31
1,16,500000,0.05,1.51,5.54,44.06,80.19,480947,7.33,7.33
2,16,10,0.10,0.18,0.19,0.20,0.21,10,0.00,0.00
2,16,100,0.07,0.09,0.10,0.13,0.14,100,0.00,0.00
2,16,1000,0.05,0.07,0.08,0.12,0.12,1000,0.01,0.01
2,16,5000,0.05,0.10,0.12,0.14,0.18,4998,0.07,0.07
2,16,10000,0.05,0.11,0.14,0.15,0.20,9993,0.15,0.15
2,16,50000,0.06,0.16,0.22,0.38,0.45,49806,0.75,0.75
2,16,100000,0.06,0.25,0.33,1.13,1.58,99267,1.51,1.51
2,16,250000,0.05,0.46,0.68,0.92,13.22,242531,3.70,3.70
2,16,500000,0.04,0.15,0.18,13.75,40.64,475011,7.24,7.24
3,16,10,0.14,0.18,0.19,0.21,0.23,10,0.00,0.00
3,16,100,0.07,0.09,0.09,0.10,0.12,100,0.00,0.00
3,16,1000,0.05,0.07,0.12,0.12,0.12,1000,0.01,0.01
3,16,5000,0.05,0.10,0.13,0.14,0.16,4998,0.07,0.07
3,16,10000,0.05,0.10,0.12,0.14,0.17,9993,0.15,0.15
3,16,50000,0.05,0.16,0.20,0.48,0.65,49812,0.76,0.76
3,16,100000,0.06,0.25,0.35,1.27,1.64,99228,1.51,1.51
3,16,250000,0.04,0.49,0.75,27.66,70.04,244753,3.73,3.73
3,16,500000,0.06,1.38,3.54,32.69,78.04,482642,7.36,7.36
1,64,10,0.11,0.19,0.19,0.20,0.21,10,0.00,0.00
1,64,100,0.07,0.11,0.12,0.13,0.14,100,0.00,0.00
1,64,1000,0.05,0.07,0.11,0.12,0.12,1000,0.06,0.06
1,64,5000,0.05,0.10,0.12,0.14,0.17,4998,0.30,0.30
1,64,10000,0.05,0.10,0.13,0.15,0.17,9993,0.60,0.60
1,64,50000,0.06,0.15,0.17,0.20,0.38,49808,3.04,3.04
1,64,100000,0.05,0.35,0.50,0.87,1.42,99178,6.05,6.05
1,64,250000,0.05,0.54,0.85,28.35,75.57,244857,14.94,14.93
1,64,500000,0.05,0.15,1.04,28.89,56.67,479836,29.28,29.28
2,64,10,0.09,0.18,0.19,0.20,0.21,10,0.00,0.00
2,64,100,0.07,0.09,0.12,0.12,0.13,100,0.00,0.00
2,64,1000,0.05,0.07,0.12,0.12,0.13,1000,0.06,0.06
2,64,5000,0.05,0.09,0.11,0.14,0.15,4998,0.30,0.30
2,64,10000,0.05,0.11,0.14,0.15,0.18,9993,0.60,0.60
2,64,50000,0.05,0.19,0.26,0.40,0.47,49803,3.03,3.03
2,64,100000,0.09,0.23,0.29,0.35,0.69,99234,6.05,6.05
2,64,250000,0.04,0.56,1.14,29.26,63.60,244418,14.91,14.91
2,64,500000,0.06,0.13,0.20,9.84,26.36,328438,20.04,20.04
3,64,10,0.18,0.28,0.29,0.30,0.33,10,0.00,0.00
3,64,100,0.17,0.19,0.20,0.21,0.22,100,0.00,0.00
3,64,1000,0.11,0.15,0.16,0.17,0.18,1000,0.06,0.06
3,64,5000,0.12,0.16,0.17,0.21,0.22,4998,0.30,0.30
3,64,10000,0.13,0.18,0.19,0.23,0.24,9992,0.60,0.60
3,64,50000,0.13,0.21,0.23,0.26,0.44,49810,3.04,3.03
3,64,100000,0.11,0.31,0.39,1.18,2.47,99212,6.05,6.05
3,64,250000,0.09,0.69,1.46,54.86,82.59,244938,14.94,14.94
3,64,500000,0.09,0.24,2.36,35.84,70.71,480242,29.31,29.30
1,256,10,0.13,0.18,0.19,0.20,0.23,10,0.00,0.00
1,256,100,0.07,0.09,0.12,0.14,0.15,100,0.02,0.02
1,256,1000,0.05,0.09,0.10,0.12,0.12,1000,0.24,0.24
1,256,5000,0.05,0.10,0.13,0.15,0.16,4998,1.22,1.22
1,256,10000,0.05,0.13,0.14,0.16,0.19,9993,2.43,2.43
1,256,50000,0.06,0.16,0.19,0.23,0.38,49809,12.16,12.16
1,256,100000,0.07,0.38,0.50,0.83,1.22,99162,24.20,24.20
1,256,250000,0.05,0.71,1.13,30.69,77.35,245129,59.84,59.84
2,256,10,0.09,0.18,0.20,0.22,0.23,10,0.00,0.00
2,256,100,0.08,0.10,0.11,0.12,0.13,100,0.02,0.02
2,256,1000,0.05,0.09,0.10,0.11,0.13,1000,0.24,0.24
2,256,5000,0.05,0.13,0.14,0.15,0.17,4998,1.22,1.22
2,256,10000,0.05,0.12,0.13,0.16,0.19,9993,2.43,2.43
2,256,50000,0.07,0.22,0.30,0.44,0.51,49796,12.15,12.15
2,256,100000,0.05,0.28,0.35,1.13,1.79,99246,24.22,24.22
2,256,250000,0.04,0.74,1.20,25.86,79.15,245380,59.90,59.90
3,256,10,0.13,0.22,0.23,0.26,0.27,10,0.00,0.00
3,256,100,0.10,0.13,0.14,0.15,0.16,100,0.02,0.02
3,256,1000,0.07,0.12,0.14,0.17,0.17,1000,0.24,0.24
3,256,5000,0.07,0.12,0.15,0.20,0.20,4998,1.22,1.22
3,256,10000,0.08,0.15,0.16,0.19,0.23,9992,2.43,2.43
3,256,50000,0.09,0.19,0.21,0.27,0.44,49817,12.16,12.16
3,256,100000,0.08,0.30,0.37,1.29,1.64,99220,24.22,24.22
3,256,250000,0.11,0.67,0.81,1.34,12.41,245180,59.85,59.85
