Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.08,0.09,0.09,0.10,0.16,10,0.00,0.00
1,16,100,0.07,0.08,0.09,0.09,0.10,100,0.00,0.00
1,16,1000,0.05,0.07,0.12,0.15,0.15,1000,0.01,0.01
1,16,5000,0.06,0.14,0.15,0.28,0.41,4998,0.07,0.07
1,16,10000,0.05,0.25,0.32,0.38,0.57,9995,0.15,0.15
1,16,50000,0.07,0.40,0.40,0.41,0.45,49870,0.76,0.76
1,16,100000,0.12,0.28,0.31,0.53,0.55,99473,1.51,1.51
1,16,250000,0.29,0.66,0.76,0.86,4.64,246719,3.76,3.76
1,16,500000,0.17,0.94,1.07,1.83,20.98,486784,7.42,7.42
2,16,10,0.13,0.19,0.20,0.20,0.21,10,0.00,0.00
2,16,100,0.07,0.07,0.07,0.08,0.08,100,0.00,0.00
2,16,1000,0.05,0.07,0.13,0.13,0.14,1000,0.01,0.01
2,16,5000,0.06,0.19,0.19,0.32,0.32,4999,0.07,0.07
2,16,10000,0.06,0.19,0.20,0.32,0.33,9994,0.15,0.15
2,16,50000,0.07,0.57,0.58,0.59,0.65,49862,0.76,0.76
2,16,100000,0.10,0.28,0.33,0.52,0.58,99473,1.51,1.51
2,16,250000,0.09,0.50,0.58,0.65,5.33,246653,3.76,3.76
2,16,500000,0.17,0.82,0.97,1.74,21.12,486794,7.42,7.42
3,16,10,0.26,0.33,0.33,0.34,0.34,10,0.00,0.00
3,16,100,0.14,0.28,0.28,0.28,0.29,100,0.00,0.00
3,16,1000,0.06,0.13,0.19,0.32,0.33,1000,0.01,0.01
3,16,5000,0.06,0.31,0.32,0.44,0.45,4998,0.07,0.07
3,16,10000,0.06,0.37,0.38,0.39,0.40,9994,0.15,0.15
3,16,50000,0.07,0.31,0.31,0.32,0.44,49860,0.76,0.76
3,16,100000,0.08,0.57,0.58,0.60,0.79,99442,1.51,1.51
3,16,250000,0.15,0.52,0.67,0.73,4.94,246686,3.76,3.76
3,16,500000,0.32,0.92,1.05,1.95,21.27,486791,7.42,7.42
1,64,10,0.07,0.33,0.33,0.34,0.34,10,0.00,0.00
1,64,100,0.09,0.28,0.28,0.28,0.29,100,0.00,0.00
1,64,1000,0.06,0.08,0.22,0.34,0.44,1000,0.06,0.06
1,64,5000,0.05,0.32,0.38,0.39,0.41,4999,0.30,0.30
1,64,10000,0.06,0.19,0.31,0.32,0.33,9994,0.60,0.60
1,64,50000,0.07,0.41,0.44,0.67,0.68,49867,3.04,3.04
1,64,100000,0.12,0.30,0.33,0.45,0.58,99472,6.07,6.07
1,64,250000,0.21,0.57,0.67,0.88,5.04,246734,15.05,15.05
1,64,500000,0.22,0.93,1.07,2.43,21.46,486737,29.70,29.70
2,64,10,0.08,0.14,0.20,0.21,0.21,10,0.00,0.00
2,64,100,0.08,0.15,0.15,0.16,0.28,100,0.00,0.00
2,64,1000,0.06,0.07,0.13,0.20,0.33,1000,0.06,0.06
2,64,5000,0.06,0.21,0.33,0.38,0.39,4999,0.30,0.30
2,64,10000,0.06,0.14,0.20,0.21,0.28,9994,0.60,0.60
2,64,50000,0.07,0.28,0.42,0.48,0.67,49876,3.04,3.04
2,64,100000,0.12,0.33,0.52,0.55,0.74,99472,6.07,6.07
2,64,250000,0.11,0.57,0.66,0.86,5.40,246722,15.05,15.05
2,64,500000,0.18,0.73,0.82,2.31,22.40,486354,29.68,29.68
3,64,10,0.07,0.07,0.08,0.09,0.10,10,0.00,0.00
3,64,100,0.06,0.07,0.07,0.08,0.09,100,0.00,0.00
3,64,1000,0.06,0.09,0.15,0.34,0.34,1000,0.06,0.06
3,64,5000,0.05,0.19,0.31,0.32,0.33,4999,0.30,0.30
3,64,10000,0.06,0.21,0.34,0.39,0.45,9995,0.61,0.61
3,64,50000,0.07,0.27,0.31,0.41,0.46,49870,3.04,3.04
3,64,100000,0.09,0.30,0.37,0.51,0.60,99488,6.07,6.07
3,64,250000,0.18,0.53,0.62,0.75,5.28,246722,15.05,15.05
3,64,500000,0.09,0.75,0.86,2.29,22.05,486611,29.70,29.70
1,256,10,0.15,0.17,0.28,0.29,0.33,10,0.00,0.00
1,256,100,0.06,0.07,0.13,0.19,0.20,100,0.02,0.02
1,256,1000,0.06,0.09,0.15,0.22,0.35,1000,0.24,0.24
1,256,5000,0.06,0.15,0.21,0.21,0.28,4999,1.22,1.22
1,256,10000,0.06,0.20,0.28,0.41,0.44,9994,2.43,2.43
1,256,50000,0.07,0.32,0.33,0.54,0.59,49863,12.17,12.17
1,256,100000,0.15,0.34,0.38,0.57,0.83,99475,24.28,24.28
1,256,250000,0.28,0.71,0.78,1.03,5.83,246669,60.22,60.22
2,256,10,0.08,0.21,0.33,0.34,0.34,10,0.00,0.00
2,256,100,0.07,0.07,0.13,0.13,0.14,100,0.02,0.02
2,256,1000,0.06,0.12,0.13,0.20,0.32,1000,0.24,0.24
2,256,5000,0.05,0.19,0.31,0.33,0.44,4999,1.22,1.22
2,256,10000,0.06,0.15,0.21,0.27,0.28,9995,2.44,2.44
2,256,50000,0.08,0.45,0.48,0.67,0.69,49872,12.17,12.17
2,256,100000,0.14,0.54,0.55,0.70,1.06,99446,24.27,24.27
2,256,250000,0.09,0.61,0.66,0.89,6.02,246593,60.20,60.19
3,256,10,0.07,0.14,0.14,0.19,0.20,10,0.00,0.00
3,256,100,0.07,0.08,0.13,0.14,0.14,100,0.02,0.02
3,256,1000,0.06,0.19,0.32,0.33,0.33,1000,0.24,0.24
3,256,5000,0.06,0.14,0.19,0.32,0.33,4998,1.22,1.22
3,256,10000,0.06,0.15,0.20,0.27,0.28,9995,2.44,2.44
3,256,50000,0.07,0.32,0.33,0.41,1.95,49864,12.17,12.17
3,256,100000,0.09,0.52,0.57,0.75,1.08,99485,24.28,24.28
3,256,250000,0.15,0.64,0.71,0.97,5.02,246712,60.23,60.23
1,512,10,0.07,0.14,0.20,0.20,0.21,10,0.00,0.00
1,512,100,0.06,0.08,0.09,0.09,0.15,100,0.04,0.04
1,512,1000,0.06,0.19,0.32,0.33,0.33,1000,0.48,0.48
1,512,5000,0.06,0.19,0.31,0.32,0.34,4998,2.44,2.44
1,512,10000,0.05,0.16,0.20,0.35,0.39,9994,4.87,4.87
1,512,50000,0.09,0.32,0.33,0.40,0.57,49868,24.34,24.34
1,512,100000,0.10,0.69,0.77,0.82,2.22,99449,48.55,48.55
2,512,10,0.11,0.21,0.33,0.34,0.36,10,0.00,0.00
2,512,100,0.07,0.07,0.08,0.08,0.10,100,0.04,0.04
2,512,1000,0.07,0.08,0.09,0.34,0.34,1000,0.48,0.48
2,512,5000,0.06,0.20,0.33,0.34,0.36,4998,2.44,2.44
2,512,10000,0.05,0.25,0.32,0.34,0.58,9995,4.88,4.88
2,512,50000,0.09,0.33,0.47,0.59,0.77,49868,24.34,24.34
2,512,100000,0.15,0.60,0.62,0.79,2.25,99466,48.56,48.56
3,512,10,0.19,0.33,0.33,0.34,0.34,10,0.00,0.00
3,512,100,0.07,0.09,0.33,0.33,0.34,100,0.04,0.04
3,512,1000,0.06,0.08,0.20,0.33,0.33,1000,0.48,0.48
3,512,5000,0.06,0.15,0.21,0.40,0.41,4998,2.44,2.44
3,512,10000,0.06,0.15,0.16,0.18,0.28,9995,4.88,4.88
3,512,50000,0.09,0.47,0.48,0.66,0.72,49871,24.35,24.35
3,512,100000,0.14,0.62,0.70,0.81,2.29,99488,48.57,48.57
1,1024,10,0.07,0.08,0.09,0.10,0.11,10,0.00,0.00
1,1024,100,0.06,0.07,0.07,0.08,0.10,100,0.09,0.09
1,1024,1000,0.06,0.09,0.09,0.21,0.34,1000,0.97,0.97
1,1024,5000,0.06,0.19,0.32,0.33,0.38,4999,4.88,4.88
1,1024,10000,0.06,0.25,0.38,0.45,0.51,9994,9.75,9.75
1,1024,50000,0.11,0.30,0.36,0.52,0.73,49870,48.70,48.70
2,1024,10,0.07,0.09,0.09,0.15,0.19,10,0.00,0.00
2,1024,100,0.07,0.09,0.09,0.09,0.11,100,0.09,0.09
2,1024,1000,0.06,0.09,0.15,0.28,0.34,1000,0.97,0.97
2,1024,5000,0.06,0.32,0.32,0.34,0.39,4998,4.88,4.88
2,1024,10000,0.06,0.28,0.40,0.44,0.52,9994,9.75,9.75
2,1024,50000,0.11,0.43,0.51,0.59,0.88,49865,48.69,48.69
3,1024,10,0.15,0.28,0.29,0.29,0.30,10,0.00,0.00
3,1024,100,0.09,0.28,0.28,0.29,0.29,100,0.09,0.09
3,1024,1000,0.06,0.08,0.14,0.15,0.21,1000,0.97,0.97
3,1024,5000,0.06,0.15,0.16,0.21,0.28,4999,4.88,4.88
3,1024,10000,0.06,0.20,0.26,0.39,0.42,9995,9.76,9.76
3,1024,50000,0.11,0.41,0.47,0.52,0.80,49865,48.69,48.69
1,4096,10,0.13,0.14,0.15,0.16,0.24,10,0.03,0.03
1,4096,100,0.07,0.08,0.09,0.10,0.12,100,0.39,0.39
1,4096,1000,0.07,0.09,0.15,0.22,0.26,1000,3.90,3.90
1,4096,5000,0.07,0.29,0.42,0.46,0.61,4998,19.52,19.52
1,4096,10000,0.07,0.41,0.45,0.51,0.68,9995,39.04,39.03
2,4096,10,0.12,0.34,0.34,0.35,0.37,10,0.03,0.03
2,4096,100,0.10,0.28,0.28,0.29,0.31,100,0.39,0.39
2,4096,1000,0.07,0.14,0.14,0.20,0.25,1000,3.90,3.90
2,4096,5000,0.07,0.34,0.35,0.59,0.62,4999,19.52,19.52
2,4096,10000,0.07,0.29,0.42,0.45,0.59,9994,39.03,39.03
3,4096,10,0.20,0.34,0.34,0.35,0.38,10,0.03,0.03
3,4096,100,0.07,0.09,0.13,0.15,0.21,100,0.39,0.39
3,4096,1000,0.07,0.09,0.34,0.35,0.36,1000,3.90,3.90
3,4096,5000,0.07,0.27,0.39,0.45,0.59,4998,19.52,19.52
3,4096,10000,0.07,0.39,0.42,0.45,0.62,9995,39.04,39.04
1,16384,10,0.21,0.35,0.36,0.38,0.57,10,0.15,0.15
1,16384,100,0.10,0.22,0.23,0.25,0.35,100,1.56,1.56
1,16384,1000,0.10,0.30,0.43,0.48,0.61,1000,15.62,15.62
1,16384,5000,0.20,0.47,0.50,0.63,2.10,4999,78.10,78.10
2,16384,10,0.23,0.36,0.37,0.40,0.46,10,0.15,0.15
2,16384,100,0.16,0.36,0.36,0.38,0.55,100,1.56,1.56
2,16384,1000,0.09,0.29,0.42,0.46,0.59,1000,15.62,15.62
2,16384,5000,0.10,0.49,0.51,0.66,2.05,4999,78.10,78.09
3,16384,10,0.10,0.17,0.18,0.25,0.30,10,0.15,0.15
3,16384,100,0.12,0.24,0.26,0.29,0.43,100,1.56,1.56
3,16384,1000,0.10,0.42,0.47,0.60,0.65,1000,15.62,15.62
3,16384,5000,0.17,0.51,0.57,0.68,2.09,4998,78.09,78.09
1,65536,10,0.28,0.46,0.47,0.55,0.74,10,0.62,0.62
1,65536,100,0.36,0.51,0.52,0.69,0.77,100,6.25,6.25
1,65536,1000,0.19,0.49,0.52,0.67,2.09,1000,62.50,62.50
2,65536,10,0.46,0.47,0.50,0.67,0.81,10,0.62,0.62
2,65536,100,0.24,0.37,0.50,0.63,0.79,100,6.25,6.25
2,65536,1000,0.22,0.42,0.51,0.65,1.96,1000,62.50,62.50
3,65536,10,0.27,0.36,0.41,0.45,0.52,10,0.62,0.62
3,65536,100,0.26,0.43,0.50,0.64,0.91,100,6.25,6.25
3,65536,1000,0.23,0.47,0.48,0.64,2.05,1000,62.50,62.50
