Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.24,0.32,0.33,0.35,0.37,10,0.00,0.00
1,16,100,0.15,0.27,0.29,0.31,0.34,100,0.00,0.00
1,16,1000,0.15,0.22,0.24,0.31,0.36,1000,0.01,0.01
1,16,5000,0.14,0.25,0.29,0.37,0.49,4998,0.07,0.07
1,16,10000,0.14,0.28,0.29,0.41,0.41,9994,0.15,0.15
1,16,50000,0.14,0.44,0.47,0.66,0.70,49876,0.76,0.76
1,16,100000,0.14,0.56,0.58,0.65,0.84,99479,1.51,1.51
1,16,250000,0.18,0.90,0.97,1.10,5.55,246749,3.76,3.76
1,16,500000,0.28,1.66,2.26,6.40,19.27,487915,7.44,7.44
2,16,10,0.29,0.54,0.55,0.56,0.57,10,0.00,0.00
2,16,100,0.16,0.32,0.46,0.49,0.52,100,0.00,0.00
2,16,1000,0.14,0.25,0.34,0.35,0.36,1000,0.01,0.01
2,16,5000,0.14,0.41,0.41,0.41,0.42,4998,0.07,0.07
2,16,10000,0.15,0.27,0.30,0.43,0.48,9993,0.15,0.15
2,16,50000,0.16,0.42,0.46,0.65,0.71,49877,0.76,0.76
2,16,100000,0.14,0.75,0.77,0.81,1.02,99479,1.51,1.51
2,16,250000,0.27,0.92,1.03,1.13,5.46,246771,3.76,3.76
2,16,500000,0.45,2.31,22.91,40.29,45.66,481707,7.35,7.33
3,16,10,0.20,0.35,0.36,0.38,0.39,10,0.00,0.00
3,16,100,0.19,0.29,0.31,0.33,0.36,100,0.00,0.00
3,16,1000,0.14,0.20,0.22,0.26,0.29,1000,0.01,0.01
3,16,5000,0.14,0.22,0.25,0.29,0.34,4998,0.07,0.07
3,16,10000,0.14,0.26,0.30,0.37,0.45,9995,0.15,0.15
3,16,50000,0.21,0.65,0.66,0.67,0.69,49863,0.76,0.76
3,16,100000,0.16,0.72,0.74,0.93,1.03,99473,1.51,1.51
3,16,250000,0.24,0.93,1.01,1.16,5.65,246783,3.76,3.76
3,16,500000,0.26,1.55,2.19,5.74,19.92,487714,7.44,7.44
1,64,10,0.19,0.31,0.32,0.35,0.39,10,0.00,0.00
1,64,100,0.17,0.29,0.30,0.33,0.36,100,0.00,0.00
1,64,1000,0.15,0.21,0.24,0.28,0.34,1000,0.06,0.06
1,64,5000,0.14,0.22,0.24,0.30,0.35,4997,0.30,0.30
1,64,10000,0.15,0.25,0.28,0.32,0.40,9994,0.60,0.60
1,64,50000,0.15,0.43,0.47,0.58,0.65,49876,3.04,3.04
1,64,100000,0.16,0.61,0.66,0.75,0.96,99487,6.07,6.07
1,64,250000,0.23,0.96,1.08,1.19,5.50,246822,15.06,15.06
1,64,500000,0.60,19.16,22.92,26.22,34.43,480834,29.34,29.31
2,64,10,0.25,0.29,0.30,0.32,0.34,10,0.00,0.00
2,64,100,0.15,0.27,0.28,0.30,0.32,100,0.00,0.00
2,64,1000,0.15,0.24,0.34,0.35,0.37,1000,0.06,0.06
2,64,5000,0.15,0.25,0.27,0.30,0.34,4998,0.30,0.30
2,64,10000,0.15,0.41,0.41,0.42,0.51,9994,0.60,0.60
2,64,50000,0.15,0.42,0.46,0.66,0.69,49870,3.04,3.04
