Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.28,0.34,0.35,0.40,0.46,10,0.00,0.00
1,16,100,0.19,0.28,0.29,0.31,0.34,100,0.00,0.00
1,16,1000,0.15,0.21,0.23,0.26,0.30,1000,0.01,0.01
1,16,5000,0.14,0.28,0.28,0.32,0.35,4998,0.07,0.07
1,16,10000,0.15,0.27,0.29,0.33,0.37,9994,0.15,0.15
1,16,50000,0.15,0.39,0.42,0.47,0.57,49875,0.76,0.76
1,16,100000,0.15,0.58,0.61,0.67,0.95,99480,1.51,1.51
1,16,250000,0.23,1.10,1.20,1.32,5.49,246805,3.76,3.76
1,16,500000,0.47,2.54,6.23,10.78,19.42,488630,7.45,7.45
2,16,10,0.27,0.29,0.30,0.33,0.36,10,0.00,0.00
2,16,100,0.18,0.30,0.31,0.33,0.34,100,0.00,0.00
2,16,1000,0.14,0.23,0.27,0.31,0.34,1000,0.01,0.01
2,16,5000,0.14,0.24,0.27,0.30,0.34,4998,0.07,0.07
2,16,10000,0.15,0.28,0.30,0.34,0.38,9994,0.15,0.15
2,16,50000,0.14,0.41,0.43,0.47,0.56,49873,0.76,0.76
2,16,100000,0.15,0.73,0.76,0.82,1.25,99498,1.51,1.51
2,16,250000,0.23,0.99,1.12,1.22,5.55,246724,3.76,3.76
2,16,500000,1.74,17.36,21.25,28.20,32.54,489445,7.46,7.45
3,16,10,0.26,0.30,0.30,0.34,0.38,10,0.00,0.00
3,16,100,0.18,0.30,0.31,0.33,0.34,100,0.00,0.00
3,16,1000,0.15,0.20,0.22,0.25,0.28,1000,0.01,0.01
3,16,5000,0.14,0.23,0.26,0.30,0.45,4998,0.07,0.07
3,16,10000,0.15,0.27,0.30,0.34,0.42,9994,0.15,0.15
3,16,50000,0.16,0.42,0.45,0.49,0.57,49873,0.76,0.76
3,16,100000,0.15,0.75,0.77,0.82,1.19,99483,1.51,1.51
3,16,250000,0.23,0.96,1.06,1.20,6.24,246698,3.76,3.76
3,16,500000,0.28,1.55,2.19,5.64,19.50,487728,7.44,7.44
1,64,10,0.25,0.31,0.32,0.35,0.39,10,0.00,0.00
1,64,100,0.17,0.29,0.30,0.32,0.33,100,0.00,0.00
1,64,1000,0.14,0.24,0.26,0.31,0.36,1000,0.06,0.06
1,64,5000,0.15,0.41,0.41,0.42,0.42,4998,0.30,0.30
1,64,10000,0.16,0.28,0.32,0.44,0.48,9995,0.61,0.61
1,64,50000,0.15,0.42,0.45,0.59,0.71,49875,3.04,3.04
1,64,100000,0.16,0.60,0.66,0.73,0.94,99484,6.07,6.07
1,64,250000,0.18,1.03,1.11,1.26,5.35,246834,15.06,15.06
1,64,500000,0.97,17.41,18.87,22.41,32.54,474219,28.94,28.91
2,64,10,0.23,0.31,0.32,0.35,0.39,10,0.00,0.00
2,64,100,0.20,0.31,0.33,0.35,0.38,100,0.00,0.00
2,64,1000,0.15,0.26,0.29,0.32,0.36,1000,0.06,0.06
2,64,5000,0.17,0.41,0.41,0.42,0.42,4998,0.30,0.30
2,64,10000,0.20,0.40,0.41,0.41,0.44,9994,0.60,0.60
2,64,50000,0.16,0.47,0.51,0.70,0.75,49876,3.04,3.04
2,64,100000,0.15,0.61,0.67,0.73,0.99,99486,6.07,6.07
2,64,250000,0.22,1.07,1.18,1.32,5.72,246821,15.06,15.06
2,64,500000,0.57,22.19,31.32,36.22,39.96,489319,29.86,29.85
3,64,10,0.23,0.30,0.31,0.33,0.36,10,0.00,0.00
3,64,100,0.21,0.30,0.31,0.33,0.35,100,0.00,0.00
3,64,1000,0.16,0.24,0.26,0.29,0.33,1000,0.06,0.06
3,64,5000,0.16,0.28,0.29,0.33,0.37,4998,0.30,0.30
3,64,10000,0.15,0.27,0.30,0.33,0.37,9994,0.60,0.60
3,64,50000,0.15,0.44,0.49,0.67,0.69,49873,3.04,3.04
3,64,100000,0.15,0.69,0.73,0.80,1.14,99501,6.07,6.07
3,64,250000,0.22,1.05,1.15,1.30,5.41,246826,15.06,15.06
3,64,500000,0.60,34.27,41.76,45.81,50.96,481026,29.35,29.30
1,256,10,0.28,0.33,0.34,0.36,0.38,10,0.00,0.00
1,256,100,0.21,0.31,0.32,0.35,0.39,100,0.02,0.02
1,256,1000,0.16,0.27,0.31,0.35,0.39,1000,0.24,0.24
1,256,5000,0.15,0.26,0.29,0.33,0.37,4998,1.22,1.22
1,256,10000,0.15,0.29,0.31,0.35,0.40,9994,2.43,2.43
1,256,50000,0.17,0.67,0.69,0.75,0.95,49871,12.17,12.17
1,256,100000,0.17,0.79,0.83,1.01,1.81,99486,24.28,24.28
1,256,250000,0.22,1.19,1.31,2.18,5.75,246782,60.24,60.24
2,256,10,0.31,0.42,0.54,0.55,0.56,10,0.00,0.00
2,256,100,0.18,0.28,0.29,0.31,0.34,100,0.02,0.02
2,256,1000,0.15,0.24,0.27,0.35,0.35,1000,0.24,0.24
2,256,5000,0.15,0.29,0.31,0.35,0.38,4998,1.22,1.22
2,256,10000,0.15,0.30,0.32,0.43,0.49,9994,2.43,2.43
2,256,50000,0.16,0.55,0.67,0.74,0.86,49875,12.17,12.17
2,256,100000,0.15,0.71,0.85,0.93,1.82,99497,24.29,24.29
2,256,250000,0.19,1.26,1.38,1.74,5.76,246856,60.26,60.26
3,256,10,0.19,0.35,0.39,0.41,0.42,10,0.00,0.00
3,256,100,0.19,0.30,0.31,0.34,0.39,100,0.02,0.02
3,256,1000,0.15,0.23,0.26,0.29,0.33,1000,0.24,0.24
3,256,5000,0.15,0.27,0.30,0.34,0.38,4998,1.22,1.22
3,256,10000,0.16,0.29,0.34,0.40,0.46,9995,2.44,2.44
3,256,50000,0.15,0.65,0.68,0.72,0.87,49874,12.17,12.17
3,256,100000,0.15,0.80,0.87,0.95,2.04,99508,24.29,24.29
3,256,250000,0.22,1.30,1.45,2.10,5.59,246860,60.26,60.26
1,512,10,0.29,0.49,0.50,0.53,0.54,10,0.00,0.00
1,512,100,0.21,0.30,0.32,0.34,0.38,100,0.04,0.04
1,512,1000,0.15,0.23,0.26,0.30,0.36,1000,0.48,0.48
1,512,5000,0.21,0.40,0.41,0.42,0.43,4998,2.44,2.44
1,512,10000,0.15,0.33,0.40,0.45,0.52,9994,4.87,4.87
1,512,50000,0.16,0.59,0.68,0.74,0.91,49874,24.35,24.35
1,512,100000,0.18,0.88,0.94,1.09,2.13,99483,48.57,48.57
2,512,10,0.21,0.34,0.34,0.37,0.38,10,0.00,0.00
2,512,100,0.20,0.31,0.33,0.35,0.37,100,0.04,0.04
2,512,1000,0.15,0.24,0.26,0.30,0.33,1000,0.48,0.48
2,512,5000,0.17,0.29,0.31,0.36,0.41,4998,2.44,2.44
2,512,10000,0.15,0.41,0.41,0.58,0.67,9994,4.87,4.87
2,512,50000,0.15,0.54,0.64,0.77,0.96,49878,24.35,24.35
2,512,100000,0.18,0.95,1.00,1.17,2.17,99486,48.57,48.57
3,512,10,0.27,0.33,0.35,0.37,0.41,10,0.00,0.00
3,512,100,0.21,0.31,0.32,0.35,0.37,100,0.04,0.04
3,512,1000,0.15,0.24,0.27,0.31,0.36,1000,0.48,0.48
3,512,5000,0.17,0.28,0.30,0.35,0.39,4998,2.44,2.44
3,512,10000,0.16,0.34,0.42,0.47,0.53,9994,4.87,4.87
3,512,50000,0.16,0.64,0.69,0.76,0.95,49875,24.35,24.35
3,512,100000,0.18,0.89,0.98,1.13,2.18,99500,48.58,48.57
1,1024,10,0.21,0.51,0.52,0.53,0.58,10,0.00,0.00
1,1024,100,0.27,0.31,0.54,0.54,0.55,100,0.09,0.09
1,1024,1000,0.16,0.34,0.35,0.35,0.38,1000,0.97,0.97
1,1024,5000,0.21,0.41,0.41,0.47,0.67,4998,4.88,4.88
1,1024,10000,0.17,0.38,0.42,0.47,0.57,9994,9.75,9.75
1,1024,50000,0.17,0.69,0.77,0.87,1.51,49873,48.70,48.70
2,1024,10,0.26,0.32,0.34,0.38,0.41,10,0.00,0.00
2,1024,100,0.19,0.29,0.31,0.33,0.35,100,0.09,0.09
2,1024,1000,0.15,0.22,0.25,0.28,0.32,1000,0.97,0.97
2,1024,5000,0.16,0.28,0.31,0.35,0.42,4998,4.88,4.88
2,1024,10000,0.16,0.45,0.47,0.57,0.71,9994,9.75,9.75
2,1024,50000,0.16,0.78,0.93,1.03,1.59,49873,48.70,48.70
3,1024,10,0.28,0.34,0.36,0.39,0.41,10,0.00,0.00
3,1024,100,0.23,0.33,0.54,0.54,0.55,100,0.09,0.09
3,1024,1000,0.15,0.34,0.35,0.36,0.41,1000,0.97,0.97
3,1024,5000,0.17,0.32,0.35,0.40,0.49,4998,4.88,4.88
3,1024,10000,0.18,0.39,0.44,0.52,0.61,9994,9.75,9.75
3,1024,50000,0.17,0.71,0.76,0.95,1.73,49873,48.70,48.70
1,4096,10,0.27,0.36,0.38,0.40,0.43,10,0.03,0.03
1,4096,100,0.22,0.34,0.35,0.38,0.45,100,0.39,0.39
1,4096,1000,0.19,0.27,0.30,0.35,0.44,1000,3.90,3.90
1,4096,5000,0.28,0.42,0.59,0.68,0.71,4998,19.52,19.52
1,4096,10000,0.18,0.55,0.64,0.77,0.92,9993,39.03,39.03
2,4096,10,0.29,0.41,0.43,0.46,0.51,10,0.03,0.03
2,4096,100,0.22,0.33,0.35,0.37,0.42,100,0.39,0.39
2,4096,1000,0.17,0.26,0.28,0.33,0.40,1000,3.90,3.90
2,4096,5000,0.19,0.45,0.47,0.69,0.75,4998,19.52,19.52
2,4096,10000,0.22,0.56,0.69,0.76,0.91,9994,39.03,39.03
3,4096,10,0.27,0.48,0.53,0.55,0.58,10,0.03,0.03
3,4096,100,0.24,0.34,0.36,0.39,0.43,100,0.39,0.39
3,4096,1000,0.19,0.29,0.32,0.37,0.44,1000,3.90,3.90
3,4096,5000,0.17,0.44,0.47,0.70,0.77,4998,19.52,19.52
3,4096,10000,0.22,0.52,0.58,0.73,0.87,9994,39.03,39.03
1,16384,10,0.36,0.63,0.64,0.65,0.66,10,0.15,0.15
1,16384,100,0.32,0.42,0.45,0.50,0.56,100,1.56,1.56
1,16384,1000,0.25,0.43,0.48,0.69,0.74,1000,15.62,15.62
1,16384,5000,0.26,0.69,0.75,0.88,1.76,4998,78.09,78.09
2,16384,10,0.39,0.49,0.50,0.56,0.70,10,0.15,0.15
2,16384,100,0.29,0.43,0.45,0.50,0.58,100,1.56,1.56
2,16384,1000,0.24,0.47,0.51,0.65,0.75,1000,15.62,15.62
2,16384,5000,0.26,0.76,0.85,1.03,1.80,4998,78.09,78.09
3,16384,10,0.32,0.47,0.50,0.55,0.60,10,0.15,0.15
3,16384,100,0.30,0.43,0.44,0.56,0.60,100,1.56,1.56
3,16384,1000,0.21,0.43,0.44,0.58,0.71,1000,15.62,15.62
3,16384,5000,0.30,0.78,0.84,1.05,1.83,4998,78.09,78.09
1,65536,10,0.51,0.60,0.67,0.83,0.97,10,0.62,0.62
1,65536,100,0.46,0.73,0.77,0.87,1.00,100,6.25,6.25
1,65536,1000,0.44,0.73,0.78,0.98,1.79,1000,62.50,62.50
2,65536,10,0.59,0.72,0.77,0.90,1.02,10,0.62,0.62
2,65536,100,0.44,0.61,0.71,0.74,1.03,100,6.25,6.25
2,65536,1000,0.40,0.60,0.75,0.95,1.65,1000,62.50,62.50
3,65536,10,0.55,0.63,0.66,0.76,0.97,10,0.62,0.62
3,65536,100,0.46,0.62,0.71,0.75,1.00,100,6.25,6.25
3,65536,1000,0.39,0.61,0.68,0.82,1.65,1000,62.50,62.50
