Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,355092,177548,5.41,2.70
1,64,325656,162753,19.87,9.93
1,256,337046,168481,82.28,41.13
1,512,331162,165508,161.70,80.81
1,1024,334906,167452,327.05,163.52
2,16,325768,163655,4.97,2.49
2,64,327052,163634,19.96,9.98
2,256,324342,162092,79.18,39.57
2,512,340870,170411,166.44,83.20
2,1024,318758,159411,311.28,155.67
3,16,334238,167092,5.10,2.54
3,64,341902,170906,20.86,10.43
3,256,332736,166388,81.23,40.62
3,512,328412,164223,160.35,80.18
3,1024,318610,159262,311.14,155.52
