Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,220226,110076,3.36,1.67
1,64,203334,101660,12.41,6.20
1,256,274135,136696,66.92,33.37
1,512,214942,107479,104.95,52.47
1,1024,251846,125915,245.94,122.96
2,16,249654,124716,3.80,1.90
2,64,257170,128604,15.69,7.84
2,256,265666,132848,64.85,32.43
2,512,265404,132679,129.59,64.78
2,1024,257835,128846,251.79,125.82
3,16,294294,147138,4.49,2.24
3,64,226602,113473,13.83,6.92
3,256,243692,121124,59.49,29.57
3,512,203762,101949,99.49,49.77
3,1024,270490,135286,264.15,132.11
