Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,793592,793426,12.10,12.10
1,64,736067,735999,44.92,44.92
1,256,575761,575714,140.56,140.55
1,512,435260,435239,212.52,212.51
1,1024,313727,313712,306.37,306.35
1,4096,115230,115224,450.11,450.09
1,16384,32327,32326,505.10,505.09
1,65536,7313,7313,457.06,457.06
2,16,784168,784045,11.96,11.96
2,64,731646,731537,44.65,44.64
2,256,507799,507759,123.97,123.96
2,512,439838,439815,214.76,214.75
2,1024,289955,289942,283.15,283.14
2,4096,115160,115154,449.84,449.82
2,16384,29595,29594,462.42,462.40
2,65536,8669,8668,541.81,541.75
3,16,781044,780910,11.91,11.91
3,64,729861,729696,44.54,44.53
3,256,577382,577344,140.96,140.95
3,512,452147,452114,220.77,220.75
3,1024,214376,150938,209.35,147.40
3,4096,40260,19075,157.26,74.51
3,16384,5969,5226,93.26,81.65
3,65536,1446,1447,90.37,90.43
