Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,559988,559748,8.54,8.54
1,64,513605,513471,31.34,31.33
1,256,411572,411508,100.48,100.46
1,512,319273,319216,155.89,155.86
1,1024,215518,215497,210.46,210.44
1,4096,76412,76404,298.48,298.45
1,16384,22174,22172,346.46,346.43
1,65536,6527,6526,407.93,407.87
2,16,557410,557211,8.50,8.50
2,64,492090,491976,30.03,30.02
2,256,409677,409601,100.01,100.00
2,512,322860,322809,157.64,157.62
2,1024,218778,218747,213.65,213.62
2,4096,78124,78115,305.17,305.13
2,16384,24186,24182,377.90,377.84
2,65536,5975,5974,373.43,373.37
3,16,555167,554973,8.47,8.46
3,64,511817,511653,31.23,31.22
3,256,403095,402988,98.41,98.38
3,512,310127,310091,151.42,151.41
3,1024,214650,214631,209.61,209.60
3,4096,77439,77433,302.49,302.47
3,16384,23524,23520,367.56,367.50
3,65536,6515,6514,407.18,407.12
