Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,672058,672054,10.25,10.25
1,64,666468,666225,40.67,40.66
1,256,246972,246793,60.29,60.25
1,512,128124,127975,62.56,62.48
1,1024,65865,65845,64.32,64.30
1,4096,16809,16800,65.66,65.62
1,16384,4224,4222,66.00,65.96
1,65536,1056,1056,66.00,66.00
2,16,695030,695026,10.60,10.60
2,64,675951,675945,41.25,41.25
2,256,247146,246930,60.33,60.28
2,512,128145,128051,62.57,62.52
2,1024,65837,65802,64.29,64.25
2,4096,16803,16796,65.63,65.60
2,16384,4224,4223,66.00,65.98
2,65536,1056,1056,66.00,66.00
3,16,682995,682985,10.42,10.42
3,64,686329,686323,41.89,41.88
3,256,247243,247106,60.36,60.32
3,512,128027,127973,62.51,62.48
3,1024,65845,65822,64.30,64.27
3,4096,16804,16800,65.64,65.62
3,16384,4225,4223,66.01,65.98
3,65536,1056,1056,66.00,66.00
