Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.18,0.22,0.23,0.24,0.25,10,0.00,0.00
1,16,100,0.11,0.13,0.15,0.16,0.17,100,0.00,0.00
1,16,1000,0.09,0.11,0.13,0.14,0.18,1000,0.01,0.01
1,16,5000,0.09,0.13,0.15,0.19,0.20,4998,0.07,0.07
1,16,10000,0.09,0.16,0.19,0.20,0.22,9993,0.15,0.15
1,16,50000,0.10,0.20,0.25,0.42,0.49,49803,0.75,0.75
1,16,100000,0.11,0.26,0.30,0.46,0.92,99210,1.51,1.51
1,16,250000,0.09,0.50,0.75,24.23,64.41,244758,3.73,3.73
1,16,500000,0.10,0.35,1.73,14.05,43.08,480464,7.33,7.33
2,16,10,0.15,0.23,0.23,0.24,0.26,10,0.00,0.00
2,16,100,0.11,0.13,0.13,0.14,0.15,100,0.00,0.00
2,16,1000,0.09,0.12,0.14,0.17,0.17,1000,0.01,0.01
2,16,5000,0.09,0.13,0.15,0.20,0.20,4998,0.07,0.07
2,16,10000,0.09,0.15,0.17,0.20,0.22,9993,0.15,0.15
2,16,50000,0.09,0.20,0.25,0.45,0.53,49806,0.75,0.75
2,16,100000,0.13,0.25,0.29,0.33,0.82,99231,1.51,1.51
2,16,250000,0.09,0.49,0.69,15.13,54.76,245090,3.73,3.73
2,16,500000,0.11,3.07,4.34,9.76,33.54,481952,7.35,7.35
3,16,10,0.13,0.22,0.23,0.24,0.25,10,0.00,0.00
3,16,100,0.11,0.13,0.13,0.14,0.16,100,0.00,0.00
3,16,1000,0.09,0.12,0.14,0.17,0.17,1000,0.01,0.01
3,16,5000,0.09,0.13,0.16,0.20,0.21,4998,0.07,0.07
3,16,10000,0.09,0.15,0.18,0.20,0.21,9993,0.15,0.15
3,16,50000,0.09,0.21,0.25,0.46,0.56,49812,0.76,0.76
3,16,100000,0.09,0.30,0.47,1.48,1.74,99247,1.51,1.51
3,16,250000,0.09,0.50,0.69,33.46,71.21,245338,3.74,3.74
3,16,500000,0.09,0.24,1.20,23.52,53.85,478853,7.30,7.30
1,64,10,0.14,0.22,0.23,0.25,0.26,10,0.00,0.00
1,64,100,0.11,0.13,0.14,0.15,0.16,100,0.00,0.00
1,64,1000,0.09,0.12,0.13,0.17,0.17,1000,0.06,0.06
1,64,5000,0.09,0.14,0.16,0.20,0.20,4998,0.30,0.30
1,64,10000,0.09,0.15,0.17,0.19,0.22,9993,0.60,0.60
1,64,50000,0.10,0.19,0.22,0.34,0.46,49808,3.04,3.04
1,64,100000,0.11,0.30,0.42,0.78,1.20,99198,6.05,6.05
1,64,250000,0.10,0.42,0.66,1.82,41.37,244647,14.93,14.93
1,64,500000,0.13,4.52,6.76,12.99,34.94,482281,29.43,29.42
2,64,10,0.18,0.22,0.22,0.24,0.26,10,0.00,0.00
2,64,100,0.11,0.14,0.15,0.16,0.17,100,0.00,0.00
2,64,1000,0.09,0.13,0.14,0.15,0.18,1000,0.06,0.06
2,64,5000,0.09,0.15,0.19,0.20,0.21,4998,0.30,0.30
2,64,10000,0.09,0.14,0.15,0.18,0.20,9993,0.60,0.60
2,64,50000,0.10,0.20,0.23,0.32,0.56,49812,3.04,3.04
2,64,100000,0.09,0.32,0.42,1.44,1.71,99270,6.05,6.05
2,64,250000,0.09,0.50,0.76,35.79,80.25,244676,14.93,14.93
2,64,500000,0.09,0.17,0.20,1.59,25.31,212190,12.95,12.95
3,64,10,0.14,0.22,0.22,0.23,0.26,10,0.00,0.00
3,64,100,0.11,0.15,0.15,0.16,0.17,100,0.00,0.00
3,64,1000,0.09,0.13,0.14,0.14,0.18,1000,0.06,0.06
3,64,5000,0.09,0.15,0.16,0.20,0.20,4998,0.30,0.30
3,64,10000,0.09,0.16,0.17,0.21,0.23,9993,0.60,0.60
3,64,50000,0.09,0.20,0.23,0.44,0.60,49816,3.04,3.04
3,64,100000,0.10,0.30,0.38,1.42,1.77,99215,6.05,6.05
3,64,250000,0.09,0.18,0.24,4.17,34.16,226454,13.82,13.82
3,64,500000,0.09,0.30,0.91,21.04,51.92,459980,28.07,28.07
1,256,10,0.15,0.22,0.22,0.24,0.25,10,0.00,0.00
1,256,100,0.11,0.13,0.14,0.16,0.17,100,0.02,0.02
1,256,1000,0.09,0.12,0.13,0.17,0.17,1000,0.24,0.24
1,256,5000,0.09,0.14,0.16,0.20,0.21,4998,1.22,1.22
1,256,10000,0.09,0.17,0.19,0.22,0.25,9993,2.43,2.43
1,256,50000,0.10,0.25,0.29,0.48,0.58,49815,12.16,12.16
1,256,100000,0.15,0.31,0.34,0.39,1.27,99241,24.22,24.22
1,256,250000,0.09,0.67,0.92,19.54,61.06,244701,59.74,59.72
2,256,10,0.16,0.22,0.23,0.24,0.26,10,0.00,0.00
2,256,100,0.11,0.13,0.14,0.16,0.17,100,0.02,0.02
2,256,1000,0.09,0.12,0.16,0.17,0.18,1000,0.24,0.24
2,256,5000,0.09,0.13,0.14,0.18,0.21,4998,1.22,1.22
2,256,10000,0.09,0.16,0.18,0.20,0.23,9993,2.43,2.43
2,256,50000,0.13,0.23,0.26,0.31,0.47,49813,12.16,12.16
2,256,100000,0.12,0.41,0.53,0.94,1.50,99172,24.21,24.21
2,256,250000,0.13,0.64,0.79,1.02,12.51,245171,59.85,59.85
3,256,10,0.17,0.23,0.23,0.26,0.28,10,0.00,0.00
3,256,100,0.11,0.13,0.14,0.16,0.17,100,0.02,0.02
3,256,1000,0.09,0.11,0.13,0.14,0.17,1000,0.24,0.24
3,256,5000,0.09,0.14,0.15,0.17,0.20,4998,1.22,1.22
