Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.07,0.14,0.20,0.21,0.22,10,0.00,0.00
1,16,100,0.07,0.08,0.09,0.09,0.15,100,0.00,0.00
1,16,1000,0.06,0.12,0.13,0.15,0.21,1000,0.01,0.01
1,16,5000,0.05,0.18,0.19,0.20,0.26,4998,0.07,0.07
1,16,10000,0.05,0.25,0.31,0.32,30.88,9995,0.15,0.15
1,16,50000,0.07,0.32,0.33,0.57,0.59,49870,0.76,0.76
1,16,100000,0.13,0.33,0.37,0.55,0.67,99488,1.51,1.51
1,16,250000,0.09,0.67,0.73,0.98,4.87,246780,3.76,3.76
1,16,500000,0.15,1.05,1.15,2.20,20.74,486888,7.42,7.42
2,16,10,0.15,0.15,0.15,0.16,0.16,10,0.00,0.00
2,16,100,0.08,0.14,0.15,0.15,0.15,100,0.00,0.00
2,16,1000,0.06,0.09,0.15,0.34,0.34,1000,0.01,0.01
2,16,5000,0.06,0.19,0.26,0.32,0.33,4999,0.07,0.07
2,16,10000,0.06,0.20,0.21,0.28,0.28,9995,0.15,0.15
2,16,50000,0.07,0.27,0.40,0.41,0.43,49867,0.76,0.76
2,16,100000,0.12,0.33,0.36,0.41,0.61,99479,1.51,1.51
2,16,250000,0.10,0.67,0.77,0.93,5.10,246746,3.76,3.76
2,16,500000,0.18,0.97,1.09,2.18,21.03,486951,7.43,7.43
3,16,10,0.07,0.08,0.08,0.10,0.12,10,0.00,0.00
3,16,100,0.10,0.28,0.28,0.28,0.28,100,0.00,0.00
3,16,1000,0.06,0.07,0.20,0.32,0.39,1000,0.01,0.01
3,16,5000,0.05,0.19,0.31,0.32,0.33,4999,0.07,0.07
3,16,10000,0.06,0.21,0.27,0.28,0.41,9994,0.15,0.15
3,16,50000,0.07,0.45,0.46,0.48,0.60,49868,0.76,0.76
3,16,100000,0.09,0.44,0.47,0.71,0.75,99488,1.51,1.51
3,16,250000,0.13,0.59,0.63,0.80,5.42,246691,3.76,3.76
3,16,500000,0.17,0.99,1.12,2.25,20.80,486966,7.43,7.42
1,64,10,0.08,0.15,0.15,0.16,0.17,10,0.00,0.00
1,64,100,0.06,0.08,0.08,0.09,0.09,100,0.00,0.00
1,64,1000,0.05,0.07,0.13,0.14,0.19,1000,0.06,0.06
1,64,5000,0.06,0.27,0.39,0.45,0.46,4999,0.30,0.30
1,64,10000,0.06,0.27,0.40,0.46,0.47,9994,0.60,0.60
1,64,50000,0.07,0.32,0.33,0.50,0.61,49863,3.04,3.04
1,64,100000,0.09,0.38,0.51,0.58,0.76,99495,6.07,6.07
1,64,250000,0.21,0.60,0.62,0.77,5.45,246662,15.05,15.05
1,64,500000,0.07,1.03,1.18,2.46,20.96,486913,29.71,29.71
2,64,10,0.08,0.19,0.20,0.20,0.21,10,0.00,0.00
2,64,100,0.07,0.07,0.08,0.08,0.09,100,0.00,0.00
2,64,1000,0.06,0.08,0.13,0.14,0.14,1000,0.06,0.06
2,64,5000,0.06,0.20,0.32,0.44,0.58,4999,0.30,0.30
2,64,10000,0.06,0.19,0.19,0.30,0.32,9995,0.61,0.61
2,64,50000,0.07,0.37,0.45,0.52,0.71,49879,3.04,3.04
2,64,100000,0.13,0.34,0.39,0.51,0.59,99488,6.07,6.07
2,64,250000,0.18,0.59,0.64,0.71,5.00,246738,15.05,15.05
2,64,500000,0.20,0.98,1.09,2.34,21.32,486838,29.71,29.71
3,64,10,0.08,0.13,0.14,0.14,0.15,10,0.00,0.00
3,64,100,0.06,0.07,0.07,0.08,0.08,100,0.00,0.00
3,64,1000,0.06,0.09,0.13,0.15,0.21,1000,0.06,0.06
3,64,5000,0.06,0.28,0.41,0.41,0.46,4999,0.30,0.30
3,64,10000,0.06,0.20,0.31,0.32,0.33,9994,0.60,0.60
3,64,50000,0.07,0.39,0.40,0.41,0.45,49871,3.04,3.04
3,64,100000,0.07,0.40,0.53,0.65,0.80,99479,6.07,6.07
3,64,250000,0.20,0.78,0.89,1.02,5.17,246815,15.06,15.06
3,64,500000,0.17,1.06,1.20,2.46,20.77,486916,29.71,29.71
1,256,10,0.07,0.13,0.14,0.15,0.20,10,0.00,0.00
1,256,100,0.06,0.08,0.08,0.09,0.10,100,0.02,0.02
1,256,1000,0.06,0.08,0.12,0.13,0.16,1000,0.24,0.24
1,256,5000,0.06,0.27,0.40,0.44,0.45,4999,1.22,1.22
1,256,10000,0.05,0.32,0.44,0.58,0.58,9995,2.44,2.44
1,256,50000,0.07,0.42,0.55,0.66,0.69,49871,12.17,12.17
1,256,100000,0.07,0.42,0.53,0.69,0.86,99487,24.28,24.28
1,256,250000,0.19,0.72,0.81,0.90,5.91,246664,60.22,60.21
2,256,10,0.08,0.28,0.28,0.29,0.30,10,0.00,0.00
2,256,100,0.06,0.07,0.12,0.13,0.13,100,0.02,0.02
2,256,1000,0.06,0.09,0.28,0.33,0.34,1000,0.24,0.24
