Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.12,0.14,0.15,0.16,0.17,10,0.00,0.00
1,16,100,0.09,0.10,0.10,0.11,0.12,100,0.00,0.00
1,16,1000,0.08,0.13,0.13,0.14,0.17,1000,0.01,0.01
1,16,5000,0.08,0.15,0.16,0.20,0.20,4998,0.07,0.07
1,16,10000,0.08,0.14,0.16,0.18,0.21,9993,0.15,0.15
1,16,50000,0.09,0.19,0.23,0.45,0.54,49811,0.76,0.76
1,16,100000,0.09,0.36,0.48,0.82,1.52,99161,1.51,1.51
1,16,250000,0.08,0.54,0.88,34.59,73.63,243526,3.71,3.71
1,16,500000,0.08,0.27,0.66,18.45,59.62,476397,7.26,7.26
2,16,10,0.11,0.13,0.13,0.15,0.16,10,0.00,0.00
2,16,100,0.09,0.12,0.13,0.14,0.15,100,0.00,0.00
2,16,1000,0.08,0.12,0.12,0.14,0.15,1000,0.01,0.01
2,16,5000,0.08,0.15,0.16,0.20,0.20,4998,0.07,0.07
2,16,10000,0.08,0.17,0.19,0.20,0.21,9993,0.15,0.15
2,16,50000,0.09,0.18,0.21,0.42,0.51,49806,0.75,0.75
2,16,100000,0.09,0.28,0.50,1.49,1.74,99230,1.51,1.51
2,16,250000,0.08,0.55,1.12,44.37,85.21,244281,3.72,3.72
2,16,500000,0.08,0.13,0.16,4.53,48.76,232078,3.54,3.54
3,16,10,0.11,0.14,0.14,0.15,0.18,10,0.00,0.00
3,16,100,0.09,0.10,0.10,0.11,0.12,100,0.00,0.00
3,16,1000,0.08,0.10,0.11,0.12,0.12,1000,0.01,0.01
3,16,5000,0.08,0.12,0.14,0.17,0.19,4998,0.07,0.07
3,16,10000,0.08,0.16,0.19,0.20,0.21,9993,0.15,0.15
3,16,50000,0.09,0.18,0.22,0.47,0.59,49813,0.76,0.76
3,16,100000,0.10,0.37,0.50,0.89,1.57,99160,1.51,1.51
3,16,250000,0.08,0.69,1.57,58.99,87.23,245380,3.74,3.74
3,16,500000,0.08,0.14,0.16,2.18,15.92,219565,3.35,3.35
1,64,10,0.11,0.13,0.14,0.15,0.16,10,0.00,0.00
1,64,100,0.09,0.10,0.10,0.11,0.12,100,0.00,0.00
1,64,1000,0.08,0.13,0.13,0.17,0.17,1000,0.06,0.06
1,64,5000,0.08,0.16,0.19,0.21,0.21,4998,0.30,0.30
1,64,10000,0.08,0.14,0.17,0.20,0.21,9993,0.60,0.60
1,64,50000,0.09,0.19,0.23,0.45,0.54,49808,3.04,3.04
1,64,100000,0.09,0.33,0.58,1.38,1.67,99227,6.05,6.05
1,64,250000,0.08,0.14,0.19,2.87,25.85,219375,13.38,13.38
1,64,500000,0.09,0.30,5.63,38.39,63.82,479474,29.26,29.26
2,64,10,0.11,0.14,0.14,0.15,0.17,10,0.00,0.00
2,64,100,0.09,0.10,0.10,0.11,0.12,100,0.00,0.00
2,64,1000,0.08,0.11,0.12,0.14,0.15,1000,0.06,0.06
2,64,5000,0.08,0.14,0.16,0.20,0.20,4998,0.30,0.30
2,64,10000,0.08,0.16,0.17,0.20,0.21,9993,0.60,0.60
2,64,50000,0.09,0.19,0.23,0.44,0.53,49801,3.03,3.03
2,64,100000,0.09,0.27,0.37,1.40,1.77,99251,6.05,6.05
2,64,250000,0.08,0.56,1.34,53.95,85.87,243555,14.86,14.86
2,64,500000,0.10,4.57,7.57,16.06,34.37,482955,29.47,29.45
3,64,10,0.12,0.14,0.16,0.17,0.18,10,0.00,0.00
3,64,100,0.09,0.10,0.10,0.11,0.12,100,0.00,0.00
3,64,1000,0.07,0.13,0.13,0.14,0.17,1000,0.06,0.06
3,64,5000,0.08,0.15,0.16,0.20,0.20,4998,0.30,0.30
3,64,10000,0.07,0.13,0.14,0.16,0.19,9992,0.60,0.60
3,64,50000,0.10,0.18,0.20,0.24,0.41,49812,3.04,3.04
3,64,100000,0.08,0.28,0.47,1.49,1.77,99270,6.05,6.05
3,64,250000,0.11,0.56,0.70,0.88,11.12,245199,14.96,14.96
3,64,500000,0.09,0.19,0.25,32.21,56.72,393369,24.00,24.00
1,256,10,0.13,0.17,0.17,0.18,0.19,10,0.00,0.00
1,256,100,0.09,0.10,0.11,0.12,0.13,100,0.02,0.02
1,256,1000,0.08,0.12,0.13,0.16,0.17,1000,0.24,0.24
1,256,5000,0.07,0.15,0.16,0.20,0.20,4998,1.22,1.22
1,256,10000,0.07,0.13,0.14,0.16,0.20,9993,2.43,2.43
1,256,50000,0.09,0.21,0.33,0.52,0.62,49810,12.16,12.16
1,256,100000,0.08,0.28,0.34,1.31,1.82,99238,24.22,24.22
1,256,250000,0.08,0.17,0.26,4.22,26.29,241393,58.93,58.93
2,256,10,0.14,0.16,0.17,0.18,0.19,10,0.00,0.00
2,256,100,0.09,0.10,0.10,0.11,0.13,100,0.02,0.02
2,256,1000,0.08,0.11,0.12,0.13,0.14,1000,0.24,0.24
