Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.07,0.12,0.13,0.14,0.14,10,0.00,0.00
1,16,100,0.06,0.07,0.07,0.08,0.08,100,0.00,0.00
1,16,1000,0.06,0.07,0.13,0.13,0.14,1000,0.01,0.01
1,16,5000,0.06,0.13,0.19,0.27,0.33,4999,0.07,0.07
1,16,10000,0.05,0.19,0.32,0.39,0.39,9995,0.15,0.15
1,16,50000,0.07,0.30,0.55,0.57,0.61,49870,0.76,0.76
1,16,100000,0.10,0.35,0.42,0.52,0.65,99490,1.51,1.51
1,16,250000,0.19,0.56,0.58,0.71,5.53,246644,3.76,3.76
1,16,500000,0.12,1.03,1.13,2.07,21.08,486806,7.42,7.42
2,16,10,0.07,0.07,0.08,0.08,0.10,10,0.00,0.00
2,16,100,0.06,0.07,0.32,0.32,0.33,100,0.00,0.00
2,16,1000,0.06,0.07,0.08,0.14,0.18,1000,0.01,0.01
2,16,5000,0.06,0.13,0.18,0.24,0.24,4999,0.07,0.07
2,16,10000,0.06,0.14,0.20,0.34,0.35,9994,0.15,0.15
2,16,50000,0.07,0.25,0.42,0.43,0.45,49871,0.76,0.76
2,16,100000,0.12,0.37,0.51,0.54,0.66,99484,1.51,1.51
2,16,250000,0.14,0.52,0.60,0.76,5.03,246677,3.76,3.76
2,16,500000,0.12,0.84,0.94,2.31,21.86,486503,7.42,7.42
3,16,10,0.07,0.08,0.09,0.09,0.11,10,0.00,0.00
3,16,100,0.06,0.07,0.12,0.13,0.19,100,0.00,0.00
3,16,1000,0.07,0.14,0.44,0.44,0.45,1000,0.01,0.01
3,16,5000,0.06,0.14,0.19,0.25,0.26,4998,0.07,0.07
3,16,10000,0.06,0.19,0.31,0.32,0.32,9994,0.15,0.15
3,16,50000,0.07,0.26,0.29,0.31,0.40,49872,0.76,0.76
3,16,100000,0.12,0.31,0.38,0.53,0.59,99483,1.51,1.51
3,16,250000,0.09,0.57,0.64,0.89,4.97,246747,3.76,3.76
3,16,500000,0.09,0.94,1.06,2.38,21.08,486824,7.42,7.42
1,64,10,0.07,0.08,0.08,0.10,0.12,10,0.00,0.00
1,64,100,0.07,0.13,0.32,0.32,0.33,100,0.00,0.00
1,64,1000,0.06,0.08,0.08,0.15,0.20,1000,0.06,0.06
1,64,5000,0.05,0.32,0.37,0.38,0.38,4998,0.30,0.30
1,64,10000,0.06,0.17,0.18,0.20,0.24,9994,0.60,0.60
1,64,50000,0.07,0.24,0.37,0.41,0.46,49868,3.04,3.04
1,64,100000,0.09,0.51,0.53,0.65,0.76,99475,6.07,6.07
1,64,250000,0.12,0.55,0.61,0.72,5.42,246703,15.05,15.05
1,64,500000,0.19,0.98,1.09,2.57,21.67,486604,29.69,29.69
2,64,10,0.14,0.27,0.28,0.28,0.29,10,0.00,0.00
2,64,100,0.06,0.07,0.07,0.08,0.08,100,0.00,0.00
2,64,1000,0.06,0.08,0.21,0.38,0.38,1000,0.06,0.06
2,64,5000,0.06,0.14,0.19,0.27,0.39,4998,0.30,0.30
2,64,10000,0.05,0.19,0.31,0.32,0.33,9995,0.61,0.61
2,64,50000,0.07,0.21,0.23,0.25,0.40,49868,3.04,3.04
2,64,100000,0.13,0.50,0.52,0.60,0.76,99461,6.07,6.07
2,64,250000,0.15,0.62,0.69,0.91,5.04,246755,15.06,15.06
2,64,500000,0.15,0.82,0.95,2.48,21.97,486646,29.70,29.70
3,64,10,0.07,0.08,0.08,0.09,0.11,10,0.00,0.00
3,64,100,0.08,0.27,0.27,0.28,0.28,100,0.00,0.00
3,64,1000,0.06,0.07,0.07,0.12,0.18,1000,0.06,0.06
3,64,5000,0.06,0.32,0.37,0.38,0.38,4999,0.30,0.30
3,64,10000,0.06,0.14,0.14,0.18,0.20,9995,0.61,0.61
3,64,50000,0.07,0.31,0.32,0.37,0.49,49864,3.04,3.04
3,64,100000,0.13,0.52,0.56,0.58,0.79,99482,6.07,6.07
3,64,250000,0.14,0.52,0.60,0.72,4.61,246672,15.05,15.05
3,64,500000,0.15,0.95,1.07,2.58,20.96,486772,29.71,29.70
1,256,10,0.07,0.08,0.09,0.09,0.11,10,0.00,0.00
1,256,100,0.06,0.07,0.07,0.07,0.08,100,0.02,0.02
1,256,1000,0.05,0.06,0.09,0.12,0.19,1000,0.24,0.24
1,256,5000,0.05,0.13,0.14,0.20,0.39,4998,1.22,1.22
1,256,10000,0.06,0.15,0.18,0.20,0.25,9995,2.44,2.44
1,256,50000,0.08,0.30,0.39,0.46,0.54,49867,12.17,12.17
1,256,100000,0.07,0.48,0.52,0.56,1.52,99475,24.28,24.28
1,256,250000,0.21,0.65,0.74,0.98,5.72,246650,60.21,60.21
2,256,10,0.08,0.15,0.15,0.16,0.18,10,0.00,0.00
2,256,100,0.06,0.07,0.07,0.07,0.08,100,0.02,0.02
2,256,1000,0.06,0.08,0.14,0.14,0.14,1000,0.24,0.24
2,256,5000,0.06,0.14,0.20,0.26,0.32,4998,1.22,1.22
2,256,10000,0.06,0.15,0.20,0.21,0.26,9995,2.44,2.43
2,256,50000,0.08,0.43,0.47,0.50,0.65,49870,12.17,12.17
2,256,100000,0.09,0.52,0.62,0.75,1.40,99484,24.28,24.28
2,256,250000,0.10,0.84,0.92,1.19,5.62,246678,60.22,60.22
3,256,10,0.07,0.08,0.08,0.09,0.10,10,0.00,0.00
3,256,100,0.07,0.08,0.13,0.14,0.20,100,0.02,0.02
3,256,1000,0.06,0.07,0.12,0.13,0.19,1000,0.24,0.24
3,256,5000,0.06,0.12,0.13,0.26,0.39,4998,1.22,1.22
3,256,10000,0.06,0.22,0.34,0.35,0.37,9995,2.44,2.44
3,256,50000,0.07,0.26,0.29,0.35,0.47,49872,12.17,12.17
3,256,100000,0.13,0.35,0.40,0.58,1.10,99469,24.28,24.28
3,256,250000,0.20,0.59,0.63,0.96,5.96,246594,60.20,60.19
1,512,10,0.19,0.32,0.32,0.33,0.34,10,0.00,0.00
1,512,100,0.06,0.07,0.12,0.13,0.14,100,0.04,0.04
1,512,1000,0.06,0.08,0.14,0.33,0.34,1000,0.48,0.48
1,512,5000,0.06,0.14,0.19,0.25,0.26,4998,2.44,2.44
