Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.16,0.28,0.28,0.29,0.30,10,0.00,0.00
1,16,100,0.13,0.14,0.14,0.15,0.17,100,0.00,0.00
1,16,1000,0.12,0.15,0.15,0.22,0.22,1000,0.01,0.01
1,16,5000,0.11,0.18,0.24,0.25,0.25,4998,0.07,0.07
1,16,10000,0.12,0.28,0.40,0.41,0.42,9994,0.15,0.15
1,16,50000,0.12,0.29,0.31,0.32,0.38,49868,0.76,0.76
1,16,100000,0.14,0.46,0.47,0.49,0.72,99438,1.51,1.51
1,16,250000,0.25,0.63,0.75,0.87,5.54,246689,3.76,3.76
1,16,500000,0.21,1.09,1.14,1.81,21.86,486513,7.42,7.42
2,16,10,0.14,0.15,0.17,0.21,0.22,10,0.00,0.00
2,16,100,0.13,0.15,0.20,0.21,0.22,100,0.00,0.00
2,16,1000,0.13,0.17,0.18,0.22,0.22,1000,0.01,0.01
2,16,5000,0.13,0.20,0.27,0.40,0.41,4999,0.07,0.07
2,16,10000,0.13,0.24,0.26,0.27,0.28,9994,0.15,0.15
2,16,50000,0.12,0.28,0.29,0.32,0.40,49866,0.76,0.76
2,16,100000,0.13,0.39,0.41,0.45,0.70,99475,1.51,1.51
2,16,250000,0.16,0.61,0.67,0.81,5.10,246674,3.76,3.76
2,16,500000,0.24,0.92,1.04,1.75,21.67,486655,7.42,7.42
3,16,10,0.19,0.21,0.22,0.24,0.25,10,0.00,0.00
3,16,100,0.13,0.14,0.14,0.15,0.17,100,0.00,0.00
3,16,1000,0.13,0.15,0.15,0.19,0.21,1000,0.01,0.01
3,16,5000,0.13,0.20,0.22,0.26,0.27,4999,0.07,0.07
3,16,10000,0.13,0.25,0.26,0.38,0.39,9995,0.15,0.15
3,16,50000,0.12,0.28,0.29,0.31,0.38,49868,0.76,0.76
3,16,100000,0.13,0.42,0.44,0.47,0.71,99470,1.51,1.51
3,16,250000,0.16,0.60,0.64,0.80,5.47,246674,3.76,3.76
3,16,500000,0.21,0.98,1.10,1.78,21.48,486675,7.42,7.42
1,64,10,0.25,0.39,0.39,0.41,0.43,10,0.00,0.00
1,64,100,0.14,0.28,0.28,0.28,0.29,100,0.00,0.00
1,64,1000,0.11,0.18,0.22,0.34,0.35,1000,0.06,0.06
1,64,5000,0.12,0.22,0.28,0.28,0.28,4998,0.30,0.30
1,64,10000,0.13,0.21,0.21,0.28,0.28,9995,0.61,0.60
1,64,50000,0.13,0.30,0.32,0.35,0.48,49869,3.04,3.04
1,64,100000,0.14,0.46,0.47,0.53,0.72,99465,6.07,6.07
