Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.15,0.28,0.28,0.29,0.29,10,0.00,0.00
1,16,100,0.15,0.28,0.28,0.28,0.28,100,0.00,0.00
1,16,1000,0.06,0.10,0.11,0.13,0.20,1000,0.01,0.01
1,16,5000,0.07,0.12,0.15,0.34,0.35,4999,0.07,0.07
1,16,10000,0.07,0.14,0.20,0.21,0.21,9995,0.15,0.15
1,16,50000,0.07,0.23,0.24,0.26,0.34,49874,0.76,0.76
1,16,100000,0.09,0.37,0.39,0.47,0.68,99486,1.51,1.51
1,16,250000,0.14,0.66,0.81,0.85,5.32,246704,3.76,3.76
1,16,500000,0.17,1.09,1.17,3.84,21.66,486807,7.42,7.42
2,16,10,0.09,0.10,0.11,0.13,0.15,10,0.00,0.00
2,16,100,0.07,0.07,0.08,0.08,0.10,100,0.00,0.00
2,16,1000,0.06,0.11,0.13,0.33,0.33,1000,0.01,0.01
2,16,5000,0.06,0.21,0.34,0.34,0.40,4998,0.07,0.07
2,16,10000,0.06,0.20,0.32,0.33,0.33,9995,0.15,0.15
2,16,50000,0.07,0.24,0.24,0.27,0.35,49865,0.76,0.76
2,16,100000,0.12,0.36,0.37,0.41,0.68,99473,1.51,1.51
2,16,250000,0.15,0.63,0.68,0.82,5.57,246599,3.76,3.76
2,16,500000,0.14,1.09,1.16,4.56,21.47,486781,7.42,7.42
3,16,10,0.08,0.10,0.10,0.13,0.15,10,0.00,0.00
3,16,100,0.07,0.12,0.33,0.33,0.34,100,0.00,0.00
3,16,1000,0.06,0.09,0.11,0.13,0.14,1000,0.01,0.01
3,16,5000,0.06,0.13,0.19,0.20,0.20,4999,0.07,0.07
3,16,10000,0.06,0.17,0.21,0.21,0.22,9995,0.15,0.15
3,16,50000,0.07,0.39,0.40,0.41,0.46,49873,0.76,0.76
3,16,100000,0.12,0.56,0.57,0.59,0.84,99480,1.51,1.51
3,16,250000,0.14,0.63,0.69,0.85,5.26,246675,3.76,3.76
3,16,500000,0.12,1.03,1.15,4.23,22.32,486811,7.42,7.42
1,64,10,0.08,0.10,0.11,0.13,0.17,10,0.00,0.00
1,64,100,0.07,0.08,0.09,0.14,0.15,100,0.00,0.00
1,64,1000,0.06,0.11,0.12,0.15,0.21,1000,0.06,0.06
1,64,5000,0.06,0.19,0.31,0.32,0.33,4999,0.30,0.30
1,64,10000,0.07,0.20,0.32,0.33,0.34,9995,0.61,0.61
1,64,50000,0.07,0.32,0.33,0.36,0.51,49865,3.04,3.04
1,64,100000,0.11,0.44,0.58,0.61,0.81,99490,6.07,6.07
1,64,250000,0.23,0.63,0.72,0.86,5.23,246753,15.06,15.05
1,64,500000,0.18,1.06,1.20,3.92,21.20,487042,29.72,29.72
2,64,10,0.15,0.16,0.28,0.29,0.29,10,0.00,0.00
2,64,100,0.07,0.08,0.09,0.11,0.95,100,0.00,0.00
2,64,1000,0.06,0.09,0.12,0.21,0.87,1000,0.06,0.06
2,64,5000,0.06,0.15,0.21,0.40,0.78,4999,0.30,0.30
2,64,10000,0.07,0.14,0.20,0.40,0.87,9995,0.61,0.61
2,64,50000,0.07,0.27,0.28,0.36,1.02,49866,3.04,3.04
2,64,100000,0.08,0.45,0.47,0.56,1.41,99467,6.07,6.07
2,64,250000,0.17,0.62,0.67,1.07,6.00,246745,15.06,15.06
2,64,500000,0.26,1.06,1.30,6.39,20.39,487550,29.75,29.75
3,64,10,0.15,0.20,0.28,0.28,0.29,10,0.00,0.00
3,64,100,0.07,0.08,0.08,0.10,0.15,100,0.00,0.00
3,64,1000,0.06,0.08,0.11,0.13,0.14,1000,0.06,0.06
3,64,5000,0.07,0.12,0.16,0.16,0.17,4999,0.30,0.30
3,64,10000,0.06,0.13,0.19,0.32,0.33,9995,0.61,0.61
3,64,50000,0.07,0.25,0.26,0.29,0.44,49873,3.04,3.04
3,64,100000,0.08,0.36,0.38,0.42,0.77,99472,6.07,6.07
3,64,250000,0.15,0.77,0.81,0.87,5.42,246707,15.05,15.05
3,64,500000,0.28,1.10,1.21,4.64,21.68,486802,29.71,29.71
1,256,10,0.09,0.11,0.15,0.15,0.17,10,0.00,0.00
1,256,100,0.07,0.08,0.08,0.09,0.11,100,0.02,0.02
1,256,1000,0.07,0.08,0.12,0.15,0.21,1000,0.24,0.24
1,256,5000,0.06,0.14,0.19,0.20,0.32,4998,1.22,1.22
1,256,10000,0.07,0.14,0.19,0.20,0.22,9995,2.44,2.44
1,256,50000,0.08,0.32,0.33,0.52,0.57,49869,12.17,12.17
1,256,100000,0.14,0.56,0.58,0.60,1.42,99472,24.28,24.28
1,256,250000,0.16,0.70,0.77,0.96,5.51,246711,60.23,60.23
2,256,10,0.08,0.14,0.16,0.18,0.69,10,0.00,0.00
