Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.07,0.08,0.09,0.10,0.11,10,0.00,0.00
1,16,100,0.07,0.07,0.08,0.08,0.10,100,0.00,0.00
1,16,1000,0.06,0.15,0.32,0.33,0.33,1000,0.01,0.01
1,16,5000,0.06,0.32,0.32,0.33,0.34,4998,0.07,0.07
1,16,10000,0.06,0.20,0.32,0.33,0.34,9994,0.15,0.15
1,16,50000,0.07,0.33,0.34,0.40,0.54,49860,0.76,0.76
1,16,100000,0.09,0.35,0.39,0.51,0.64,99491,1.51,1.51
1,16,250000,0.15,0.69,0.81,0.99,4.83,246792,3.76,3.76
1,16,500000,0.72,46.30,50.75,55.38,60.12,453169,6.91,6.90
2,16,10,0.08,0.09,0.09,0.10,0.11,10,0.00,0.00
2,16,100,0.07,0.07,0.08,0.08,0.09,100,0.00,0.00
2,16,1000,0.06,0.08,0.08,0.15,0.28,1000,0.01,0.01
2,16,5000,0.06,0.20,0.32,0.33,0.34,4999,0.07,0.07
2,16,10000,0.06,0.14,0.21,0.21,0.34,9995,0.15,0.15
2,16,50000,0.07,0.30,0.32,0.34,0.45,49867,0.76,0.76
2,16,100000,0.12,0.37,0.43,0.51,0.98,99477,1.51,1.51
2,16,250000,0.11,0.68,0.81,0.99,4.74,246748,3.76,3.76
2,16,500000,0.15,12.19,27.73,48.87,55.49,489623,7.47,7.46
3,16,10,0.08,0.09,0.15,0.16,0.16,10,0.00,0.00
3,16,100,0.07,0.07,0.07,0.08,0.09,100,0.00,0.00
3,16,1000,0.06,0.20,0.32,0.33,0.33,1000,0.01,0.01
3,16,5000,0.06,0.15,0.21,0.21,0.34,4998,0.07,0.07
3,16,10000,0.06,0.19,0.20,0.33,0.34,9995,0.15,0.15
3,16,50000,0.07,0.27,0.31,0.36,0.48,49868,0.76,0.76
3,16,100000,0.07,0.37,0.45,0.51,0.69,99482,1.51,1.51
3,16,250000,0.14,0.74,0.78,0.91,5.17,246668,3.76,3.76
3,16,500000,0.20,1.17,1.35,5.32,20.01,487527,7.43,7.43
1,64,10,0.20,0.22,0.33,0.34,0.35,10,0.00,0.00
1,64,100,0.07,0.08,0.08,0.09,0.10,100,0.00,0.00
1,64,1000,0.06,0.08,0.08,0.09,0.14,1000,0.06,0.06
1,64,5000,0.06,0.18,0.19,0.20,0.25,4999,0.30,0.30
1,64,10000,0.06,0.16,0.21,0.34,0.34,9995,0.61,0.61
1,64,50000,0.07,0.41,0.42,0.44,0.62,49862,3.04,3.04
1,64,100000,0.09,0.40,0.47,0.54,0.75,99476,6.07,6.07
1,64,250000,0.15,0.72,0.82,0.97,5.00,246747,15.06,15.06
1,64,500000,0.97,34.69,38.72,42.70,47.09,452242,27.60,27.56
2,64,10,0.15,0.28,0.28,0.29,0.29,10,0.00,0.00
2,64,100,0.07,0.08,0.08,0.09,0.10,100,0.00,0.00
2,64,1000,0.06,0.07,0.10,0.13,0.14,1000,0.06,0.06
2,64,5000,0.06,0.20,0.32,0.33,0.34,4999,0.30,0.30
2,64,10000,0.06,0.15,0.20,0.22,0.34,9995,0.61,0.61
2,64,50000,0.07,0.31,0.33,0.35,0.51,49867,3.04,3.04
2,64,100000,0.13,0.35,0.40,0.52,1.13,99482,6.07,6.07
2,64,250000,0.15,0.86,1.04,1.33,5.17,246807,15.06,15.06
2,64,500000,0.62,19.79,21.69,25.35,34.50,482033,29.42,29.38
3,64,10,0.08,0.09,0.09,0.11,0.13,10,0.00,0.00
3,64,100,0.07,0.07,0.07,0.08,0.09,100,0.00,0.00
3,64,1000,0.06,0.07,0.12,0.13,0.14,1000,0.06,0.06
3,64,5000,0.06,0.19,0.32,0.33,0.33,4999,0.30,0.30
3,64,10000,0.06,0.15,0.21,0.28,0.34,9994,0.60,0.60
3,64,50000,0.07,0.32,0.32,0.34,0.52,49867,3.04,3.04
3,64,100000,0.09,0.37,0.42,0.52,1.70,99490,6.07,6.07
3,64,250000,0.19,0.74,0.83,1.08,5.40,246776,15.06,15.06
3,64,500000,0.16,1.39,3.42,6.91,19.69,488238,29.79,29.79
1,256,10,0.09,0.15,0.16,0.16,0.17,10,0.00,0.00
1,256,100,0.07,0.07,0.08,0.09,0.10,100,0.02,0.02
1,256,1000,0.06,0.08,0.08,0.14,0.21,1000,0.24,0.24
1,256,5000,0.06,0.19,0.32,0.33,0.34,4999,1.22,1.22
1,256,10000,0.06,0.15,0.20,0.40,0.41,9994,2.43,2.43
1,256,50000,0.08,0.37,0.40,0.42,0.60,49871,12.17,12.17
1,256,100000,0.09,0.45,0.52,0.58,1.27,99465,24.28,24.28
1,256,250000,0.08,0.71,0.83,1.03,5.41,246737,60.23,60.23
2,256,10,0.08,0.09,0.09,0.12,0.15,10,0.00,0.00
2,256,100,0.27,0.28,0.28,0.28,0.29,100,0.02,0.02
2,256,1000,0.06,0.10,0.12,0.21,0.34,1000,0.24,0.24
2,256,5000,0.06,0.15,0.21,0.40,0.41,4998,1.22,1.22
2,256,10000,0.06,0.21,0.21,0.34,0.36,9995,2.44,2.44
2,256,50000,0.08,0.31,0.33,0.51,0.56,49872,12.17,12.17
2,256,100000,0.15,0.56,0.59,0.72,2.19,99469,24.28,24.28
2,256,250000,0.20,0.79,0.92,1.87,5.48,246741,60.23,60.23
3,256,10,0.08,0.11,0.15,0.16,0.17,10,0.00,0.00
3,256,100,0.07,0.08,0.08,0.09,0.10,100,0.02,0.02
3,256,1000,0.06,0.07,0.10,0.13,0.14,1000,0.24,0.24
3,256,5000,0.06,0.15,0.21,0.34,0.35,4999,1.22,1.22
3,256,10000,0.06,0.32,0.32,0.33,0.35,9995,2.44,2.44
3,256,50000,0.08,0.31,0.32,0.36,0.79,49869,12.17,12.17
3,256,100000,0.09,0.56,0.57,0.61,3.19,99460,24.28,24.28
3,256,250000,0.16,0.71,0.81,2.91,5.52,246738,60.23,60.23
1,512,10,0.08,0.09,0.10,0.12,0.14,10,0.00,0.00
1,512,100,0.07,0.08,0.09,0.10,0.11,100,0.04,0.04
1,512,1000,0.06,0.07,0.11,0.14,0.15,1000,0.48,0.48
1,512,5000,0.06,0.19,0.20,0.32,0.34,4999,2.44,2.44
1,512,10000,0.06,0.31,0.32,0.33,0.38,9995,4.88,4.88
1,512,50000,0.08,0.33,0.35,0.43,0.59,49867,24.34,24.34
1,512,100000,0.10,0.57,0.64,0.76,1.54,99477,48.57,48.56
2,512,10,0.15,0.28,0.28,0.29,0.30,10,0.00,0.00
2,512,100,0.07,0.08,0.09,0.11,0.13,100,0.04,0.04
2,512,1000,0.06,0.08,0.09,0.15,0.33,1000,0.48,0.48
2,512,5000,0.08,0.15,0.21,0.34,0.41,4998,2.44,2.44
2,512,10000,0.06,0.21,0.23,0.35,0.40,9994,4.87,4.87
2,512,50000,0.09,0.31,0.34,0.42,1.02,49873,24.35,24.35
2,512,100000,0.10,0.54,0.58,0.74,2.82,99474,48.57,48.56
3,512,10,0.15,0.16,0.28,0.29,0.31,10,0.00,0.00
3,512,100,0.07,0.07,0.08,0.09,0.11,100,0.04,0.04
3,512,1000,0.06,0.08,0.09,0.12,0.13,1000,0.48,0.48
3,512,5000,0.06,0.15,0.21,0.27,0.28,4999,2.44,2.44
3,512,10000,0.07,0.22,0.34,0.35,0.41,9994,4.87,4.87
3,512,50000,0.09,0.34,0.51,0.55,2.68,49866,24.34,24.34
3,512,100000,0.08,0.56,0.60,0.81,4.07,99476,48.57,48.57
1,1024,10,0.15,0.28,0.28,0.29,0.29,10,0.00,0.00
1,1024,100,0.07,0.08,0.13,0.14,0.20,100,0.09,0.09
1,1024,1000,0.06,0.20,0.33,0.33,0.34,1000,0.97,0.97
1,1024,5000,0.06,0.21,0.27,0.35,0.41,4999,4.88,4.88
1,1024,10000,0.08,0.20,0.21,0.26,0.37,9995,9.76,9.76
1,1024,50000,0.11,0.40,0.48,0.57,0.86,49873,48.70,48.70
2,1024,10,0.10,0.15,0.21,0.22,0.23,10,0.00,0.00
2,1024,100,0.07,0.09,0.09,0.10,0.12,100,0.09,0.09
2,1024,1000,0.06,0.08,0.09,0.21,0.34,1000,0.97,0.97
2,1024,5000,0.07,0.21,0.22,0.35,0.40,4999,4.88,4.88
2,1024,10000,0.06,0.20,0.26,0.34,0.42,9995,9.76,9.76
2,1024,50000,0.11,0.39,0.42,0.59,2.11,49872,48.70,48.69
3,1024,10,0.09,0.33,0.34,0.35,0.36,10,0.00,0.00
3,1024,100,0.14,0.28,0.28,0.28,0.29,100,0.09,0.09
3,1024,1000,0.06,0.09,0.13,0.33,0.33,1000,0.97,0.97
3,1024,5000,0.07,0.21,0.33,0.35,0.39,4998,4.88,4.88
3,1024,10000,0.08,0.34,0.34,0.40,0.52,9995,9.76,9.75
3,1024,50000,0.08,0.55,0.57,0.74,3.72,49869,48.70,48.70
1,4096,10,0.15,0.28,0.29,0.29,0.30,10,0.03,0.03
1,4096,100,0.08,0.19,0.33,0.33,0.35,100,0.39,0.39
1,4096,1000,0.07,0.17,0.33,0.34,0.36,1000,3.90,3.90
1,4096,5000,0.08,0.27,0.28,0.31,0.46,4999,19.52,19.52
1,4096,10000,0.08,0.28,0.35,0.45,0.60,9994,39.03,39.03
2,4096,10,0.09,0.11,0.11,0.14,0.20,10,0.03,0.03
2,4096,100,0.08,0.09,0.09,0.16,0.17,100,0.39,0.39
2,4096,1000,0.07,0.09,0.12,0.15,0.31,1000,3.90,3.90
2,4096,5000,0.07,0.22,0.34,0.37,0.52,4999,19.52,19.52
2,4096,10000,0.08,0.34,0.41,0.45,1.19,9994,39.03,39.03
3,4096,10,0.10,0.11,0.12,0.15,0.17,10,0.03,0.03
3,4096,100,0.08,0.21,0.33,0.34,0.36,100,0.39,0.39
3,4096,1000,0.07,0.09,0.11,0.15,0.26,1000,3.90,3.90
3,4096,5000,0.07,0.34,0.35,0.41,0.72,4999,19.52,19.52
3,4096,10000,0.07,0.35,0.36,0.53,3.28,9995,39.04,39.03
1,16384,10,0.16,0.21,0.23,0.24,0.38,10,0.15,0.15
1,16384,100,0.11,0.16,0.17,0.20,0.33,100,1.56,1.56
1,16384,1000,0.10,0.36,0.41,0.44,0.55,1000,15.62,15.62
1,16384,5000,0.13,0.43,0.49,0.62,1.58,4998,78.09,78.09
2,16384,10,0.17,0.39,0.43,0.45,0.47,10,0.15,0.15
2,16384,100,0.17,0.24,0.25,0.29,0.31,100,1.56,1.56
2,16384,1000,0.10,0.24,0.34,0.39,0.54,1000,15.62,15.62
