Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.25,0.39,0.46,0.47,0.48,10,0.00,0.00
1,16,100,0.11,0.25,0.29,0.33,0.43,100,0.00,0.00
1,16,1000,0.09,0.15,0.22,0.35,0.35,1000,0.01,0.01
1,16,5000,0.09,0.17,0.21,0.33,0.42,4998,0.07,0.07
1,16,10000,0.09,0.18,0.20,0.23,0.27,9994,0.15,0.15
1,16,50000,0.10,0.33,0.36,0.45,0.54,49877,0.76,0.76
1,16,100000,0.12,0.49,0.51,0.57,0.76,99475,1.51,1.51
1,16,250000,0.17,0.81,0.87,1.00,5.44,246716,3.76,3.76
1,16,500000,0.34,1.46,2.08,5.48,20.42,487703,7.44,7.44
2,16,10,0.16,0.24,0.25,0.27,0.29,10,0.00,0.00
2,16,100,0.11,0.24,0.28,0.31,0.33,100,0.00,0.00
2,16,1000,0.08,0.13,0.15,0.20,0.27,1000,0.01,0.01
2,16,5000,0.09,0.20,0.28,0.41,0.41,4999,0.07,0.07
2,16,10000,0.08,0.18,0.22,0.27,0.38,9995,0.15,0.15
2,16,50000,0.09,0.32,0.34,0.40,0.50,49873,0.76,0.76
2,16,100000,0.12,0.47,0.49,0.53,0.73,99475,1.51,1.51
2,16,250000,0.12,0.85,0.90,1.05,5.34,246764,3.76,3.76
2,16,500000,0.26,1.39,1.53,5.21,20.40,487431,7.43,7.43
3,16,10,0.16,0.29,0.31,0.34,0.36,10,0.00,0.00
3,16,100,0.09,0.22,0.24,0.28,0.28,100,0.00,0.00
3,16,1000,0.09,0.15,0.21,0.22,0.35,1000,0.01,0.01
3,16,5000,0.08,0.14,0.17,0.21,0.23,4998,0.07,0.07
3,16,10000,0.08,0.18,0.22,0.25,0.30,9995,0.15,0.15
3,16,50000,0.09,0.31,0.33,0.40,0.50,49874,0.76,0.76
3,16,100000,0.12,0.67,0.68,0.73,0.95,99466,1.51,1.51
3,16,250000,0.23,0.95,1.11,1.19,5.50,246737,3.76,3.76
3,16,500000,0.29,1.46,2.04,5.34,19.82,487678,7.44,7.44
1,64,10,0.17,0.28,0.29,0.30,0.31,10,0.00,0.00
1,64,100,0.13,0.22,0.24,0.27,0.29,100,0.00,0.00
1,64,1000,0.08,0.15,0.15,0.19,0.25,1000,0.06,0.06
1,64,5000,0.09,0.27,0.35,0.41,0.41,4999,0.30,0.30
1,64,10000,0.09,0.21,0.27,0.40,0.41,9994,0.60,0.60
1,64,50000,0.10,0.35,0.40,0.55,0.60,49882,3.04,3.04
1,64,100000,0.12,0.48,0.52,0.72,0.79,99499,6.07,6.07
1,64,250000,0.16,0.92,1.00,1.18,5.51,246796,15.06,15.06
1,64,500000,0.33,1.92,2.58,7.41,19.53,488199,29.79,29.79
2,64,10,0.19,0.25,0.26,0.27,0.28,10,0.00,0.00
2,64,100,0.09,0.22,0.24,0.27,0.29,100,0.00,0.00
2,64,1000,0.08,0.13,0.15,0.24,0.36,1000,0.06,0.06
2,64,5000,0.09,0.17,0.22,0.36,0.43,4999,0.30,0.30
2,64,10000,0.09,0.18,0.21,0.26,0.36,9995,0.61,0.61
2,64,50000,0.09,0.58,0.60,0.63,0.76,49874,3.04,3.04
2,64,100000,0.13,0.59,0.64,0.67,0.89,99478,6.07,6.07
2,64,250000,0.15,1.06,1.14,1.27,5.55,246780,15.06,15.06
2,64,500000,0.15,1.73,2.56,6.98,19.55,488224,29.79,29.79
3,64,10,0.14,0.25,0.26,0.27,0.29,10,0.00,0.00
3,64,100,0.10,0.19,0.21,0.24,0.26,100,0.00,0.00
3,64,1000,0.08,0.10,0.12,0.16,0.21,1000,0.06,0.06
3,64,5000,0.09,0.15,0.18,0.25,0.30,4999,0.30,0.30
3,64,10000,0.08,0.20,0.21,0.28,0.40,9995,0.61,0.61
3,64,50000,0.09,0.34,0.35,0.40,0.52,49876,3.04,3.04
3,64,100000,0.11,0.53,0.64,0.74,0.95,99503,6.07,6.07
3,64,250000,0.14,0.95,1.04,1.15,5.67,246818,15.06,15.06
3,64,500000,0.38,1.81,2.49,6.76,19.41,488221,29.79,29.79
1,256,10,0.20,0.27,0.28,0.30,0.33,10,0.00,0.00
1,256,100,0.10,0.20,0.23,0.26,0.28,100,0.02,0.02
1,256,1000,0.09,0.15,0.15,0.18,0.22,1000,0.24,0.24
1,256,5000,0.09,0.18,0.21,0.28,0.32,4999,1.22,1.22
1,256,10000,0.09,0.20,0.23,0.37,0.41,9995,2.44,2.43
1,256,50000,0.09,0.39,0.45,0.62,0.69,49880,12.17,12.17
1,256,100000,0.14,0.55,0.64,0.80,1.14,99484,24.28,24.28
1,256,250000,0.34,1.00,1.12,1.41,5.58,246825,60.26,60.25
2,256,10,0.18,0.29,0.30,0.31,0.32,10,0.00,0.00
2,256,100,0.15,0.28,0.28,0.28,0.29,100,0.02,0.02
2,256,1000,0.09,0.21,0.22,0.34,0.35,1000,0.24,0.24
2,256,5000,0.09,0.17,0.21,0.29,0.43,4998,1.22,1.22
2,256,10000,0.09,0.20,0.23,0.36,0.39,9995,2.44,2.44
