Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.25,0.30,0.35,0.36,0.46,10,0.00,0.00
1,16,100,0.11,0.22,0.24,0.27,0.38,100,0.00,0.00
1,16,1000,0.09,0.18,0.21,0.28,0.36,1000,0.01,0.01
1,16,5000,0.09,0.27,0.40,0.47,0.48,4999,0.07,0.07
1,16,10000,0.10,0.40,0.41,0.41,0.66,9994,0.15,0.15
1,16,50000,0.10,0.39,0.43,0.54,1.59,49873,0.76,0.76
1,16,100000,0.12,0.62,0.69,0.84,1.59,99497,1.51,1.51
1,16,250000,0.17,1.15,1.37,2.36,12.86,246850,3.76,3.76
1,16,500000,1.30,26.43,30.48,33.24,43.44,349361,5.33,5.32
2,16,10,0.14,0.24,0.25,0.26,0.27,10,0.00,0.00
2,16,100,0.10,0.20,0.22,0.25,0.32,100,0.00,0.00
2,16,1000,0.09,0.21,0.22,0.34,0.35,1000,0.01,0.01
2,16,5000,0.09,0.22,0.40,0.47,0.47,4999,0.07,0.07
2,16,10000,0.09,0.37,0.45,0.52,1.17,9995,0.15,0.15
2,16,50000,0.10,0.40,0.44,0.50,0.69,49873,0.76,0.76
2,16,100000,0.13,0.57,0.67,0.82,1.32,99511,1.51,1.51
2,16,250000,0.17,1.14,1.32,6.33,93.05,246847,3.76,3.76
2,16,500000,1.55,99.69,106.96,117.80,127.00,349042,5.32,5.30
3,16,10,0.25,0.28,0.28,0.30,0.34,10,0.00,0.00
3,16,100,0.11,0.22,0.25,0.29,0.41,100,0.00,0.00
3,16,1000,0.09,0.15,0.18,0.23,0.34,1000,0.01,0.01
3,16,5000,0.10,0.27,0.40,0.41,0.55,4998,0.07,0.07
3,16,10000,0.09,0.42,0.48,0.57,0.77,9994,0.15,0.15
3,16,50000,0.09,0.40,0.45,0.63,0.79,49874,0.76,0.76
3,16,100000,0.12,0.57,0.65,0.81,1.46,99504,1.51,1.51
3,16,250000,0.13,1.25,1.46,7.49,85.40,246950,3.76,3.76
3,16,500000,0.62,47.07,49.28,53.29,56.86,352884,5.38,5.37
1,64,10,0.26,0.35,0.46,0.47,0.48,10,0.00,0.00
1,64,100,0.11,0.23,0.24,0.28,0.41,100,0.00,0.00
1,64,1000,0.09,0.18,0.21,0.28,0.36,1000,0.06,0.06
1,64,5000,0.09,0.35,0.41,0.47,0.52,4999,0.30,0.30
1,64,10000,0.10,0.25,0.31,0.44,0.73,9994,0.60,0.60
1,64,50000,0.10,0.41,0.50,0.65,1.33,49871,3.04,3.04
1,64,100000,0.13,0.59,0.66,0.80,1.55,99479,6.07,6.07
1,64,250000,0.21,1.07,1.24,2.18,10.22,246926,15.07,15.06
1,64,500000,1.54,28.63,31.06,34.56,43.46,322987,19.71,19.68
2,64,10,0.15,0.26,0.27,0.28,0.32,10,0.00,0.00
2,64,100,0.27,0.28,0.28,0.33,0.56,100,0.00,0.00
2,64,1000,0.09,0.21,0.22,0.34,0.35,1000,0.06,0.06
2,64,5000,0.09,0.35,0.41,0.49,0.64,4998,0.30,0.30
2,64,10000,0.10,0.30,0.40,0.49,0.85,9994,0.60,0.60
2,64,50000,0.11,0.41,0.47,0.54,0.81,49873,3.04,3.04
2,64,100000,0.12,0.63,0.73,0.86,1.71,99501,6.07,6.07
2,64,250000,0.25,1.31,1.59,25.12,40.85,247077,15.08,15.07
2,64,500000,0.76,16.46,18.05,20.70,25.59,338918,20.68,20.66
3,64,10,0.19,0.25,0.26,0.29,0.60,10,0.00,0.00
3,64,100,0.12,0.23,0.25,0.29,0.37,100,0.00,0.00
3,64,1000,0.12,0.35,0.35,0.35,0.36,1000,0.06,0.06
3,64,5000,0.09,0.28,0.40,0.41,0.62,4999,0.30,0.30
3,64,10000,0.11,0.35,0.42,0.48,0.73,9994,0.60,0.60
3,64,50000,0.10,0.39,0.44,0.58,0.79,49874,3.04,3.04
3,64,100000,0.11,0.64,0.73,0.91,2.15,99509,6.07,6.07
3,64,250000,0.16,1.21,1.40,3.60,50.48,246948,15.07,15.07
3,64,500000,0.64,29.48,31.80,35.07,38.56,362256,22.11,22.07
1,256,10,0.13,0.25,0.28,0.32,0.35,10,0.00,0.00
1,256,100,0.11,0.22,0.24,0.27,0.34,100,0.02,0.02
1,256,1000,0.09,0.34,0.35,0.35,0.44,1000,0.24,0.24
1,256,5000,0.08,0.35,0.39,0.47,0.54,4998,1.22,1.22
1,256,10000,0.10,0.40,0.41,0.42,0.67,9995,2.44,2.43
1,256,50000,0.10,0.48,0.64,0.68,0.94,49871,12.17,12.17
1,256,100000,0.14,0.65,0.77,0.93,1.84,99493,24.29,24.28
1,256,250000,0.33,1.37,2.06,6.78,19.03,247034,60.31,60.30
2,256,10,0.13,0.27,0.28,0.30,0.36,10,0.00,0.00
2,256,100,0.10,0.22,0.24,0.29,0.39,100,0.02,0.02
2,256,1000,0.09,0.22,0.34,0.35,0.36,1000,0.24,0.24
2,256,5000,0.09,0.28,0.41,0.42,0.66,4999,1.22,1.22
2,256,10000,0.09,0.41,0.47,0.53,0.79,9994,2.43,2.43
2,256,50000,0.09,0.42,0.55,0.64,0.84,49875,12.17,12.17
2,256,100000,0.15,0.78,0.82,1.02,2.16,99472,24.28,24.28
2,256,250000,0.31,1.35,2.02,17.04,26.38,246994,60.30,60.29
3,256,10,0.13,0.25,0.26,0.29,0.41,10,0.00,0.00
3,256,100,0.10,0.21,0.23,0.28,0.58,100,0.02,0.02
3,256,1000,0.09,0.21,0.34,0.35,0.37,1000,0.24,0.24
3,256,5000,0.10,0.35,0.38,0.43,0.85,4999,1.22,1.22
3,256,10000,0.09,0.27,0.34,0.48,0.79,9994,2.43,2.43
3,256,50000,0.10,0.48,0.60,0.67,0.88,49875,12.17,12.17
3,256,100000,0.15,0.89,1.02,1.14,3.90,99498,24.29,24.29
3,256,250000,0.23,1.34,1.64,14.11,20.52,246968,60.29,60.29
1,512,10,0.12,0.25,0.26,0.29,0.34,10,0.00,0.00
1,512,100,0.11,0.23,0.25,0.28,0.32,100,0.04,0.04
1,512,1000,0.09,0.17,0.21,0.37,0.47,1000,0.48,0.48
1,512,5000,0.09,0.24,0.31,0.45,0.58,4999,2.44,2.44
1,512,10000,0.09,0.38,0.43,0.50,0.61,9995,4.88,4.87
1,512,50000,0.13,0.65,0.69,0.81,1.86,49871,24.35,24.35
1,512,100000,0.17,0.90,1.03,22.80,45.56,99508,48.58,48.58
2,512,10,0.20,0.28,0.28,0.29,0.32,10,0.00,0.00
2,512,100,0.10,0.22,0.23,0.26,0.34,100,0.04,0.04
2,512,1000,0.09,0.20,0.24,0.31,0.65,1000,0.48,0.48
2,512,5000,0.10,0.28,0.41,0.42,0.48,4998,2.44,2.44
2,512,10000,0.09,0.33,0.41,0.50,0.62,9994,4.87,4.87
2,512,50000,0.10,0.59,0.71,1.01,4.58,49876,24.35,24.35
2,512,100000,0.17,0.80,0.96,1.20,2.44,99482,48.57,48.57
3,512,10,0.13,0.28,0.29,0.32,0.35,10,0.00,0.00
3,512,100,0.10,0.21,0.23,0.26,0.36,100,0.04,0.04
3,512,1000,0.09,0.17,0.20,0.29,0.52,1000,0.48,0.48
3,512,5000,0.09,0.35,0.41,0.43,0.50,4999,2.44,2.44
3,512,10000,0.10,0.36,0.41,0.51,0.83,9994,4.87,4.87
3,512,50000,0.11,0.64,0.70,0.81,1.71,49871,24.35,24.35
3,512,100000,0.16,0.70,0.80,0.97,2.15,99492,48.58,48.57
1,1024,10,0.15,0.28,0.30,0.33,0.48,10,0.00,0.00
1,1024,100,0.12,0.24,0.26,0.32,0.60,100,0.09,0.09
1,1024,1000,0.10,0.17,0.22,0.34,0.81,1000,0.97,0.97
1,1024,5000,0.14,0.41,0.41,0.42,0.60,4999,4.88,4.88
1,1024,10000,0.09,0.40,0.44,0.57,1.10,9994,9.75,9.75
1,1024,50000,0.12,0.77,0.84,1.01,5.14,49873,48.70,48.70
2,1024,10,0.28,0.35,0.54,0.55,0.89,10,0.00,0.00
2,1024,100,0.11,0.21,0.23,0.27,0.42,100,0.09,0.09
2,1024,1000,0.09,0.17,0.20,0.27,0.39,1000,0.97,0.97
2,1024,5000,0.14,0.35,0.41,0.44,0.57,4998,4.88,4.88
2,1024,10000,0.10,0.41,0.42,0.48,0.83,9994,9.75,9.75
2,1024,50000,0.15,0.85,0.94,1.04,1.70,49874,48.70,48.70
3,1024,10,0.24,0.29,0.31,0.33,0.43,10,0.00,0.00
3,1024,100,0.12,0.35,0.39,0.41,0.46,100,0.09,0.09
3,1024,1000,0.09,0.18,0.22,0.29,0.42,1000,0.97,0.97
3,1024,5000,0.12,0.40,0.41,0.47,0.80,4998,4.88,4.88
3,1024,10000,0.12,0.41,0.41,0.50,0.82,9994,9.75,9.75
3,1024,50000,0.11,0.74,0.82,0.97,2.06,49871,48.70,48.69
1,4096,10,0.28,0.30,0.31,0.35,0.40,10,0.03,0.03
1,4096,100,0.15,0.37,0.40,0.43,0.60,100,0.39,0.39
1,4096,1000,0.11,0.18,0.22,0.38,0.54,1000,3.90,3.90
1,4096,5000,0.12,0.38,0.41,0.54,0.68,4998,19.52,19.52
1,4096,10000,0.13,0.45,0.64,0.70,1.26,9994,39.03,39.02
2,4096,10,0.29,0.33,0.36,0.56,0.57,10,0.03,0.03
2,4096,100,0.15,0.28,0.29,0.54,0.55,100,0.39,0.39
2,4096,1000,0.12,0.28,0.38,0.43,0.51,1000,3.90,3.90
2,4096,5000,0.11,0.35,0.46,0.66,0.89,4998,19.52,19.52
2,4096,10000,0.12,0.42,0.52,0.68,1.84,9993,39.03,39.03
3,4096,10,0.26,0.32,0.34,0.40,0.92,10,0.03,0.03
3,4096,100,0.13,0.25,0.27,0.31,0.39,100,0.39,0.39
3,4096,1000,0.11,0.24,0.27,0.39,0.45,1000,3.90,3.90
3,4096,5000,0.12,0.38,0.41,0.64,0.99,4999,19.52,19.52
3,4096,10000,0.15,0.42,0.46,0.68,1.42,9994,39.03,39.03
1,16384,10,0.33,0.45,0.46,0.53,0.58,10,0.15,0.15
1,16384,100,0.20,0.33,0.36,0.41,0.48,100,1.56,1.56
1,16384,1000,0.17,0.42,0.43,0.55,1.25,1000,15.62,15.62
1,16384,5000,0.23,0.83,0.92,1.06,2.07,4998,78.09,78.09
2,16384,10,0.36,0.38,0.43,0.63,0.64,10,0.15,0.15
2,16384,100,0.23,0.43,0.43,0.50,0.69,100,1.56,1.56
2,16384,1000,0.15,0.38,0.49,0.69,1.46,1000,15.62,15.62
2,16384,5000,0.20,0.83,0.94,1.07,2.04,4998,78.09,78.09
3,16384,10,0.26,0.42,0.45,0.49,0.60,10,0.15,0.15
3,16384,100,0.20,0.36,0.39,0.46,0.69,100,1.56,1.56
3,16384,1000,0.15,0.36,0.43,0.49,0.75,1000,15.62,15.62
3,16384,5000,0.23,0.75,0.79,0.93,1.89,4998,78.09,78.09
1,65536,10,0.49,0.59,0.62,0.68,0.96,10,0.62,0.62
1,65536,100,0.33,0.51,0.55,0.67,1.72,100,6.25,6.25
1,65536,1000,0.30,0.50,0.57,0.74,1.86,1000,62.50,62.50
2,65536,10,0.44,0.55,0.60,0.71,1.03,10,0.62,0.62
2,65536,100,0.38,0.52,0.57,0.74,1.76,100,6.25,6.25
2,65536,1000,0.33,0.63,0.70,0.84,2.05,1000,62.50,62.50
3,65536,10,0.48,0.57,0.62,0.80,2.71,10,0.62,0.62
3,65536,100,0.31,0.52,0.59,0.73,1.79,100,6.25,6.25
3,65536,1000,0.31,0.61,0.71,0.84,1.97,1000,62.50,62.50
