Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.27,0.34,0.38,0.42,0.43,10,0.00,0.00
1,16,100,0.17,0.28,0.29,0.32,0.33,100,0.00,0.00
1,16,1000,0.14,0.20,0.22,0.26,0.29,1000,0.01,0.01
1,16,5000,0.21,0.41,0.41,0.42,0.42,4998,0.07,0.07
1,16,10000,0.16,0.27,0.30,0.35,0.40,9994,0.15,0.15
1,16,50000,0.17,0.42,0.45,0.54,0.66,49873,0.76,0.76
1,16,100000,0.15,0.58,0.61,0.67,0.90,99483,1.51,1.51
1,16,250000,0.20,0.93,0.98,1.14,5.76,246743,3.76,3.76
1,16,500000,0.35,2.19,3.01,7.13,19.07,488269,7.45,7.45
2,16,10,0.22,0.32,0.32,0.34,0.35,10,0.00,0.00
2,16,100,0.18,0.28,0.30,0.33,0.35,100,0.00,0.00
2,16,1000,0.16,0.34,0.35,0.35,0.36,1000,0.01,0.01
2,16,5000,0.14,0.28,0.30,0.41,0.42,4998,0.07,0.07
2,16,10000,0.19,0.41,0.41,0.66,0.67,9994,0.15,0.15
2,16,50000,0.16,0.43,0.46,0.66,0.71,49873,0.76,0.76
2,16,100000,0.15,0.55,0.58,0.65,1.06,99496,1.51,1.51
2,16,250000,0.30,1.14,1.21,1.37,5.60,246840,3.76,3.76
2,16,500000,0.22,1.71,2.31,6.53,19.72,488005,7.44,7.44
3,16,10,0.26,0.49,0.51,0.53,0.54,10,0.00,0.00
3,16,100,0.19,0.32,0.33,0.35,0.40,100,0.00,0.00
3,16,1000,0.21,0.34,0.34,0.35,0.35,1000,0.01,0.01
3,16,5000,0.15,0.41,0.41,0.42,0.67,4998,0.07,0.07
3,16,10000,0.15,0.28,0.30,0.41,0.42,9994,0.15,0.15
3,16,50000,0.15,0.41,0.44,0.53,0.69,49874,0.76,0.76
3,16,100000,0.16,0.73,0.76,0.96,1.45,99483,1.51,1.51
3,16,250000,0.21,1.08,1.14,1.30,5.83,246739,3.76,3.76
3,16,500000,0.47,2.26,2.52,6.92,20.64,488094,7.44,7.44
1,64,10,0.25,0.32,0.34,0.35,0.38,10,0.00,0.00
1,64,100,0.17,0.30,0.32,0.34,0.36,100,0.00,0.00
1,64,1000,0.14,0.22,0.26,0.35,0.36,1000,0.06,0.06
1,64,5000,0.15,0.24,0.29,0.46,0.50,4998,0.30,0.30
1,64,10000,0.17,0.41,0.41,0.42,0.59,9994,0.60,0.60
1,64,50000,0.16,0.42,0.44,0.51,0.65,49875,3.04,3.04
1,64,100000,0.16,0.56,0.60,0.73,1.28,99484,6.07,6.07
1,64,250000,0.18,1.16,1.25,1.40,5.68,246858,15.06,15.06
1,64,500000,0.44,2.20,3.39,17.97,27.16,488356,29.80,29.80
2,64,10,0.23,0.32,0.34,0.35,0.37,10,0.00,0.00
2,64,100,0.18,0.29,0.30,0.32,0.34,100,0.00,0.00
2,64,1000,0.14,0.20,0.24,0.28,0.30,1000,0.06,0.06
2,64,5000,0.14,0.22,0.26,0.29,0.33,4998,0.30,0.30
2,64,10000,0.16,0.27,0.30,0.35,0.40,9994,0.60,0.60
2,64,50000,0.17,0.44,0.49,0.69,0.73,49874,3.04,3.04
2,64,100000,0.17,0.67,0.70,0.76,1.32,99482,6.07,6.07
2,64,250000,0.23,1.15,1.25,1.39,6.07,246838,15.06,15.06
2,64,500000,1.14,37.78,42.91,46.69,51.80,489677,29.88,29.81
3,64,10,0.32,0.41,0.41,0.55,0.55,10,0.00,0.00
3,64,100,0.18,0.29,0.31,0.33,0.35,100,0.00,0.00
3,64,1000,0.15,0.20,0.22,0.28,0.42,1000,0.06,0.06
3,64,5000,0.15,0.41,0.41,0.42,0.42,4998,0.30,0.30
3,64,10000,0.15,0.35,0.41,0.42,0.43,9994,0.60,0.60
3,64,50000,0.15,0.65,0.67,0.69,0.86,49869,3.04,3.04
3,64,100000,0.16,0.56,0.60,0.66,0.94,99485,6.07,6.07
3,64,250000,0.28,0.99,1.17,1.26,5.83,246804,15.06,15.06
3,64,500000,0.61,2.34,4.59,8.22,19.07,488614,29.82,29.81
1,256,10,0.20,0.40,0.54,0.55,0.56,10,0.00,0.00
1,256,100,0.20,0.29,0.31,0.33,0.35,100,0.02,0.02
1,256,1000,0.16,0.24,0.27,0.33,0.43,1000,0.24,0.24
