Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.18,0.20,0.21,0.23,0.24,10,0.00,0.00
1,16,100,0.14,0.16,0.16,0.17,0.18,100,0.00,0.00
1,16,1000,0.13,0.18,0.23,0.24,0.25,1000,0.01,0.01
1,16,5000,0.13,0.20,0.21,0.25,0.26,4998,0.07,0.07
1,16,10000,0.12,0.22,0.27,0.41,0.43,9992,0.15,0.15
1,16,50000,0.13,0.40,0.47,0.51,0.61,49813,0.76,0.76
1,16,100000,0.14,0.28,0.33,0.60,2.39,99192,1.51,1.51
1,16,250000,0.13,0.21,0.37,13.89,67.18,244433,3.72,3.72
1,16,500000,0.14,2.17,4.53,29.05,63.84,481794,7.35,7.35
2,16,10,0.19,0.22,0.23,0.24,0.26,10,0.00,0.00
2,16,100,0.14,0.16,0.16,0.18,0.19,100,0.00,0.00
2,16,1000,0.13,0.18,0.18,0.23,0.24,1000,0.01,0.01
2,16,5000,0.13,0.19,0.21,0.23,0.26,4998,0.07,0.07
2,16,10000,0.13,0.20,0.21,0.23,0.26,9993,0.15,0.15
2,16,50000,0.13,0.26,0.29,0.43,0.55,49810,0.76,0.76
2,16,100000,0.13,0.30,0.40,0.74,2.70,99189,1.51,1.51
2,16,250000,0.13,0.57,1.36,48.49,80.46,244688,3.73,3.73
2,16,500000,0.14,0.22,0.24,4.53,19.17,246644,3.76,3.76
3,16,10,0.17,0.23,0.23,0.25,0.25,10,0.00,0.00
3,16,100,0.15,0.16,0.16,0.18,0.20,100,0.00,0.00
3,16,1000,0.13,0.14,0.17,0.21,0.27,1000,0.01,0.01
3,16,5000,0.14,0.19,0.21,0.23,0.26,4998,0.07,0.07
3,16,10000,0.13,0.25,0.29,0.40,0.42,9993,0.15,0.15
3,16,50000,0.13,0.24,0.27,0.40,0.50,49800,0.75,0.75
3,16,100000,0.14,0.42,0.55,0.72,2.91,99207,1.51,1.51
3,16,250000,0.13,0.55,0.72,4.56,11.98,245228,3.74,3.74
3,16,500000,0.14,0.41,0.57,10.00,53.71,328880,5.01,5.01
1,64,10,0.19,0.21,0.22,0.24,0.26,10,0.00,0.00
1,64,100,0.14,0.16,0.16,0.19,0.21,100,0.00,0.00
1,64,1000,0.12,0.16,0.20,0.21,0.22,1000,0.06,0.06
1,64,5000,0.14,0.19,0.20,0.28,0.41,4998,0.30,0.30
1,64,10000,0.13,0.20,0.21,0.24,0.26,9992,0.60,0.60
1,64,50000,0.13,0.26,0.29,0.43,0.58,49808,3.04,3.04
1,64,100000,0.15,0.42,0.54,0.76,3.50,99234,6.05,6.05
1,64,250000,0.14,0.59,0.75,23.39,64.37,245276,14.97,14.97
1,64,500000,0.13,0.25,4.86,21.90,80.80,330093,20.14,20.14
2,64,10,0.19,0.21,0.22,0.24,0.25,10,0.00,0.00
2,64,100,0.15,0.16,0.17,0.18,0.19,100,0.00,0.00
2,64,1000,0.13,0.14,0.20,0.22,0.23,1000,0.06,0.06
2,64,5000,0.12,0.21,0.22,0.25,0.27,4998,0.30,0.30
2,64,10000,0.13,0.20,0.22,0.25,0.27,9992,0.60,0.60
2,64,50000,0.13,0.26,0.33,0.50,0.61,49803,3.03,3.03
2,64,100000,0.18,0.40,0.51,0.62,3.63,99259,6.05,6.05
2,64,250000,0.14,0.65,1.35,51.64,87.02,245259,14.96,14.96
2,64,500000,0.18,7.02,10.72,19.44,34.82,483482,29.50,29.50
3,64,10,0.21,0.23,0.24,0.26,0.28,10,0.00,0.00
3,64,100,0.16,0.17,0.17,0.19,0.20,100,0.00,0.00
3,64,1000,0.13,0.15,0.19,0.21,0.22,1000,0.06,0.06
3,64,5000,0.14,0.22,0.30,0.43,0.44,4998,0.30,0.30
3,64,10000,0.12,0.17,0.20,0.23,0.26,9992,0.60,0.60
3,64,50000,0.13,0.25,0.29,0.40,0.54,49798,3.03,3.03
3,64,100000,0.13,0.32,0.38,0.79,3.47,99256,6.05,6.05
3,64,250000,0.15,0.49,0.73,16.68,77.44,244875,14.94,14.94
3,64,500000,0.15,2.46,5.86,11.47,42.81,340086,20.75,20.75
1,256,10,0.18,0.20,0.21,0.24,0.26,10,0.00,0.00
1,256,100,0.15,0.17,0.19,0.20,0.22,100,0.02,0.02
1,256,1000,0.13,0.18,0.21,0.23,0.24,1000,0.24,0.24
1,256,5000,0.14,0.22,0.27,0.41,0.44,4998,1.22,1.22
1,256,10000,0.13,0.22,0.26,0.41,0.45,9992,2.43,2.43
1,256,50000,0.13,0.28,0.33,0.47,3.11,49805,12.15,12.15
1,256,100000,0.16,0.49,0.58,0.79,5.47,99230,24.22,24.22
1,256,250000,0.14,0.77,1.45,13.98,28.42,245400,59.91,59.90
2,256,10,0.19,0.23,0.24,0.25,0.28,10,0.00,0.00
2,256,100,0.14,0.16,0.16,0.18,0.19,100,0.02,0.02
2,256,1000,0.13,0.15,0.18,0.23,0.27,1000,0.24,0.24
2,256,5000,0.14,0.21,0.24,0.26,0.29,4998,1.22,1.22
2,256,10000,0.13,0.22,0.25,0.38,0.45,9992,2.43,2.43
2,256,50000,0.14,0.31,0.40,0.53,3.14,49801,12.15,12.15
2,256,100000,0.14,0.36,0.48,1.06,5.32,99231,24.22,24.22
2,256,250000,0.16,0.75,1.43,22.20,59.24,245353,59.90,59.89
3,256,10,0.17,0.20,0.21,0.23,0.25,10,0.00,0.00
3,256,100,0.15,0.16,0.17,0.18,0.20,100,0.02,0.02
3,256,1000,0.14,0.15,0.16,0.22,0.24,1000,0.24,0.24
3,256,5000,0.13,0.19,0.21,0.24,0.27,4998,1.22,1.22
3,256,10000,0.14,0.31,0.41,0.44,0.48,9992,2.43,2.43
3,256,50000,0.14,0.30,0.35,0.49,3.15,49813,12.16,12.16
3,256,100000,0.16,0.50,0.57,1.13,5.51,99265,24.23,24.23
3,256,250000,0.16,1.33,6.59,39.05,72.25,245535,59.94,59.94
1,512,10,0.18,0.21,0.22,0.24,0.26,10,0.00,0.00
1,512,100,0.15,0.17,0.17,0.19,0.21,100,0.04,0.04
