Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.14,0.20,0.26,0.28,0.29,10,0.00,0.00
1,16,100,0.11,0.13,0.37,0.38,0.38,100,0.00,0.00
1,16,1000,0.11,0.15,0.16,0.22,0.22,1000,0.01,0.01
1,16,5000,0.10,0.15,0.21,0.40,0.41,4998,0.07,0.07
1,16,10000,0.11,0.23,0.36,0.37,0.38,9995,0.15,0.15
1,16,50000,0.10,0.26,0.28,0.39,0.41,49866,0.76,0.76
1,16,100000,0.13,0.59,0.61,0.62,0.90,99458,1.51,1.51
1,16,250000,0.15,0.64,0.67,0.87,5.66,246624,3.76,3.76
1,16,500000,0.15,1.03,1.13,2.76,21.97,486542,7.42,7.42
2,16,10,0.12,0.28,0.38,0.40,0.41,10,0.00,0.00
2,16,100,0.11,0.12,0.18,0.18,0.19,100,0.00,0.00
2,16,1000,0.11,0.18,0.36,0.38,0.38,1000,0.01,0.01
2,16,5000,0.12,0.28,0.40,0.41,0.42,4998,0.07,0.07
2,16,10000,0.11,0.23,0.24,0.37,0.38,9994,0.15,0.15
2,16,50000,0.10,0.35,0.36,0.42,0.45,49866,0.76,0.76
2,16,100000,0.13,0.61,0.62,0.64,0.84,99453,1.51,1.51
2,16,250000,0.16,0.64,0.67,0.88,5.09,246685,3.76,3.76
2,16,500000,0.14,1.08,1.14,3.06,21.09,486642,7.42,7.42
3,16,10,0.15,0.28,0.29,0.29,0.30,10,0.00,0.00
3,16,100,0.12,0.13,0.18,0.19,0.20,100,0.00,0.00
3,16,1000,0.10,0.15,0.16,0.22,0.22,1000,0.01,0.01
3,16,5000,0.11,0.24,0.37,0.38,0.38,4999,0.07,0.07
3,16,10000,0.11,0.24,0.36,0.37,0.38,9994,0.15,0.15
3,16,50000,0.14,0.41,0.41,0.43,0.48,49862,0.76,0.76
3,16,100000,0.13,0.59,0.61,0.62,0.85,99465,1.51,1.51
3,16,250000,0.21,0.64,0.67,0.89,5.17,246667,3.76,3.76
3,16,500000,0.24,1.03,1.13,3.19,22.00,486628,7.42,7.42
1,64,10,0.13,0.24,0.25,0.26,0.27,10,0.00,0.00
1,64,100,0.10,0.12,0.12,0.13,0.14,100,0.00,0.00
1,64,1000,0.10,0.11,0.17,0.23,0.24,1000,0.06,0.06
1,64,5000,0.11,0.28,0.40,0.41,0.42,4998,0.30,0.30
1,64,10000,0.11,0.24,0.25,0.38,0.39,9994,0.60,0.60
1,64,50000,0.11,0.39,0.41,0.46,0.57,49871,3.04,3.04
1,64,100000,0.13,0.46,0.59,0.62,0.85,99480,6.07,6.07
1,64,250000,0.19,0.62,0.67,0.85,5.30,246636,15.05,15.05
1,64,500000,0.21,0.99,1.12,2.99,21.35,486665,29.70,29.70
2,64,10,0.15,0.16,0.19,0.28,0.29,10,0.00,0.00
2,64,100,0.20,0.28,0.28,0.29,0.29,100,0.00,0.00
2,64,1000,0.13,0.35,0.35,0.35,0.36,1000,0.06,0.06
2,64,5000,0.11,0.23,0.36,0.37,0.38,4998,0.30,0.30
2,64,10000,0.11,0.28,0.34,0.41,0.41,9994,0.60,0.60
2,64,50000,0.10,0.35,0.36,0.43,0.59,49865,3.04,3.04
2,64,100000,0.13,0.45,0.47,0.50,0.72,99474,6.07,6.07
2,64,250000,0.12,0.62,0.68,0.86,5.60,246682,15.05,15.05
2,64,500000,0.23,1.09,1.17,3.22,21.92,486663,29.70,29.70
3,64,10,0.19,0.38,0.38,0.39,0.40,10,0.00,0.00
3,64,100,0.11,0.12,0.18,0.24,0.25,100,0.00,0.00
3,64,1000,0.11,0.12,0.16,0.17,0.17,1000,0.06,0.06
3,64,5000,0.11,0.24,0.37,0.38,0.39,4999,0.30,0.30
