Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,714327,714231,10.89,10.89
1,64,671002,671000,40.95,40.95
1,256,636214,636212,155.32,155.32
1,512,530446,530443,259.00,259.00
1,1024,398524,397401,389.18,388.08
1,4096,100160,100032,391.25,390.75
1,16384,25150,25144,392.96,392.87
1,65536,6301,6299,393.81,393.68
2,16,704145,704142,10.74,10.74
2,64,683495,683489,41.71,41.71
2,256,636730,636728,155.45,155.45
2,512,555249,555237,271.11,271.11
2,1024,398185,397967,388.85,388.63
2,4096,100177,100049,391.31,390.81
2,16384,25151,25144,392.98,392.87
2,65536,6300,6299,393.75,393.68
3,16,720259,720256,10.99,10.99
3,64,670833,670552,40.94,40.92
3,256,592416,592414,144.63,144.63
3,512,530350,530347,258.95,258.95
3,1024,393704,393226,384.47,384.00
3,4096,100088,100040,390.96,390.78
3,16384,25156,25151,393.06,392.98
3,65536,6299,6298,393.68,393.62
