Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,567003,566804,8.65,8.64
1,64,533318,533221,32.55,32.54
1,256,406062,405958,99.13,99.11
1,512,350023,349978,170.90,170.88
1,1024,249599,249521,243.74,243.67
1,4096,89910,89894,351.21,351.14
1,16384,27184,27179,424.75,424.67
1,65536,7126,7124,445.37,445.25
2,16,567919,567659,8.66,8.66
2,64,526231,526147,32.11,32.11
2,256,433144,433051,105.74,105.72
2,512,333501,333467,162.84,162.82
2,1024,228019,227987,222.67,222.64
2,4096,90056,90036,351.78,351.70
2,16384,29130,29126,455.15,455.09
2,65536,7781,7780,486.31,486.25
3,16,557190,556929,8.50,8.49
3,64,528885,528696,32.28,32.26
3,256,428411,428344,104.59,104.57
3,512,343328,343231,167.64,167.59
3,1024,253813,253739,247.86,247.79
3,4096,90105,90097,351.97,351.94
3,16384,24198,24196,378.09,378.06
3,65536,7607,7606,475.43,475.37
