Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,371756,371567,5.67,5.66
1,64,343490,343382,20.96,20.95
1,256,317837,317780,77.59,77.58
1,512,287007,286964,140.14,140.11
1,1024,180854,180840,176.61,176.60
1,4096,65975,65969,257.71,257.69
1,16384,20841,20838,325.64,325.59
1,65536,4695,4695,293.43,293.43
2,16,376093,375909,5.73,5.73
2,64,370743,370609,22.62,22.62
2,256,259329,259281,63.31,63.30
2,512,219844,219806,107.34,107.32
2,1024,144982,144964,141.58,141.56
2,4096,57423,57416,224.30,224.28
2,16384,14825,14822,231.64,231.59
2,65536,3604,3603,225.25,225.18
3,16,371287,371043,5.66,5.66
3,64,374778,374638,22.87,22.86
3,256,271424,271372,66.26,66.25
3,512,199538,199498,97.43,97.41
3,1024,123287,123267,120.39,120.37
3,4096,42432,42422,165.75,165.71
3,16384,12194,12196,190.53,190.56
3,65536,2831,2830,176.93,176.87
