Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.16,0.25,0.26,0.27,0.28,10,0.00,0.00
1,16,100,0.14,0.16,0.16,0.17,0.20,100,0.00,0.00
1,16,1000,0.12,0.16,0.17,0.17,0.19,1000,0.01,0.01
1,16,5000,0.12,0.18,0.21,0.25,0.26,4998,0.07,0.07
1,16,10000,0.12,0.22,0.24,0.25,0.29,9992,0.15,0.15
1,16,50000,0.14,0.28,0.30,0.34,0.44,49803,0.75,0.75
1,16,100000,0.12,0.51,0.69,0.88,1.81,99141,1.51,1.51
1,16,250000,0.13,0.85,1.72,40.93,79.80,245120,3.74,3.72
1,16,500000,1.68,93.68,112.95,146.44,164.46,334948,5.11,5.08
2,16,10,0.14,0.23,0.24,0.25,0.26,10,0.00,0.00
2,16,100,0.14,0.16,0.16,0.17,0.19,100,0.00,0.00
2,16,1000,0.12,0.14,0.17,0.18,0.20,1000,0.01,0.01
2,16,5000,0.12,0.20,0.24,0.25,0.26,4998,0.07,0.07
2,16,10000,0.12,0.24,0.25,0.29,0.30,9992,0.15,0.15
2,16,50000,0.14,0.31,0.38,0.52,0.60,49799,0.75,0.75
2,16,100000,0.14,0.34,0.41,1.05,1.81,99234,1.51,1.51
2,16,250000,0.21,30.48,146.47,256.15,299.34,246395,3.75,3.74
2,16,500000,2.48,134.95,155.95,201.37,224.64,396797,6.05,6.02
3,16,10,0.14,0.26,0.27,0.27,0.29,10,0.00,0.00
3,16,100,0.14,0.16,0.19,0.21,0.22,100,0.00,0.00
3,16,1000,0.12,0.14,0.15,0.16,0.17,1000,0.01,0.01
3,16,5000,0.12,0.18,0.21,0.23,0.26,4998,0.07,0.07
3,16,10000,0.12,0.21,0.23,0.25,0.28,9992,0.15,0.15
3,16,50000,0.12,0.28,0.31,0.48,0.65,49803,0.75,0.75
3,16,100000,0.13,0.50,0.73,0.96,1.68,99178,1.51,1.51
3,16,250000,0.12,0.84,7.47,28.39,53.60,245697,3.74,3.74
3,16,500000,6.90,130.46,145.10,169.15,183.81,443270,6.76,6.72
1,64,10,0.16,0.26,0.27,0.28,0.29,10,0.00,0.00
1,64,100,0.14,0.16,0.17,0.17,0.19,100,0.00,0.00
1,64,1000,0.11,0.16,0.17,0.19,0.22,1000,0.06,0.06
1,64,5000,0.13,0.20,0.22,0.26,0.27,4998,0.30,0.30
1,64,10000,0.12,0.21,0.24,0.25,0.28,9992,0.60,0.60
1,64,50000,0.12,0.33,0.47,0.62,0.68,49811,3.04,3.04
1,64,100000,0.14,0.40,0.45,1.32,1.71,99222,6.05,6.05
1,64,250000,0.18,0.74,0.96,21.61,51.19,245229,14.96,14.96
1,64,500000,2.25,39.61,44.68,57.27,71.15,356961,21.78,21.75
2,64,10,0.16,0.25,0.26,0.28,0.29,10,0.00,0.00
2,64,100,0.15,0.17,0.17,0.18,0.20,100,0.00,0.00
2,64,1000,0.11,0.17,0.17,0.18,0.22,1000,0.06,0.06
2,64,5000,0.13,0.20,0.22,0.26,0.27,4998,0.30,0.30
2,64,10000,0.12,0.21,0.23,0.25,0.28,9992,0.60,0.60
2,64,50000,0.13,0.30,0.34,0.46,0.54,49797,3.03,3.03
2,64,100000,0.12,0.41,0.70,1.47,2.49,99228,6.05,6.05
2,64,250000,0.12,20.47,67.74,142.83,172.07,246058,15.01,15.01
2,64,500000,4.26,65.42,71.09,77.25,86.24,426461,26.02,25.96
3,64,10,0.15,0.25,0.26,0.28,0.29,10,0.00,0.00
3,64,100,0.15,0.16,0.17,0.17,0.20,100,0.00,0.00
3,64,1000,0.12,0.14,0.16,0.17,0.19,1000,0.06,0.06
3,64,5000,0.12,0.19,0.21,0.25,0.25,4998,0.30,0.30
3,64,10000,0.13,0.21,0.24,0.27,0.30,9992,0.60,0.60
3,64,50000,0.14,0.29,0.32,0.39,0.54,49810,3.04,3.04
3,64,100000,0.14,0.40,0.50,0.83,1.20,99190,6.05,6.05
3,64,250000,0.12,1.84,14.54,46.60,72.44,245747,14.99,14.99
3,64,500000,2.35,35.78,39.14,46.52,55.71,409784,25.01,24.97
1,256,10,0.15,0.25,0.26,0.28,0.29,10,0.00,0.00
1,256,100,0.15,0.16,0.17,0.19,0.21,100,0.02,0.02
1,256,1000,0.12,0.16,0.18,0.22,0.23,1000,0.24,0.24
1,256,5000,0.12,0.21,0.24,0.25,0.26,4998,1.22,1.22
1,256,10000,0.12,0.20,0.23,0.25,0.29,9993,2.43,2.43
1,256,50000,0.16,0.33,0.36,0.41,0.56,49805,12.15,12.15
1,256,100000,0.12,0.57,0.88,2.38,5.58,99259,24.23,24.23
1,256,250000,0.12,1.12,8.30,40.31,77.60,245562,59.95,59.93
2,256,10,0.16,0.26,0.27,0.30,0.31,10,0.00,0.00
2,256,100,0.15,0.17,0.17,0.20,0.22,100,0.02,0.02
2,256,1000,0.12,0.16,0.18,0.20,0.23,1000,0.24,0.24
2,256,5000,0.13,0.19,0.22,0.24,0.27,4998,1.22,1.22
2,256,10000,0.12,0.22,0.25,0.26,0.29,9992,2.43,2.43
2,256,50000,0.14,0.39,0.53,0.64,0.77,49802,12.15,12.15
2,256,100000,0.13,0.52,0.79,1.39,4.22,99253,24.23,24.23
2,256,250000,0.12,1.22,6.40,35.08,76.43,245640,59.97,59.83
3,256,10,0.15,0.26,0.27,0.29,0.29,10,0.00,0.00
3,256,100,0.15,0.17,0.18,0.20,0.21,100,0.02,0.02
3,256,1000,0.13,0.17,0.18,0.19,0.22,1000,0.24,0.24
3,256,5000,0.12,0.20,0.21,0.23,0.26,4998,1.22,1.22
3,256,10000,0.12,0.21,0.23,0.25,0.29,9992,2.43,2.43
3,256,50000,0.13,0.29,0.33,0.50,0.68,49804,12.15,12.15
3,256,100000,0.15,0.38,0.44,0.49,1.29,99219,24.22,24.22
3,256,250000,0.13,1.18,4.54,33.44,64.57,245619,59.96,59.94
1,512,10,0.16,0.26,0.27,0.29,0.30,10,0.00,0.00
1,512,100,0.14,0.16,0.16,0.19,0.20,100,0.04,0.04
1,512,1000,0.12,0.15,0.17,0.19,0.21,1000,0.48,0.48
