Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,514785,514599,7.85,7.85
1,64,494151,494046,30.16,30.15
1,256,439959,439909,107.41,107.39
1,512,323484,323422,157.95,157.92
1,1024,249216,249197,243.37,243.35
1,4096,113871,113866,444.80,444.78
1,16384,34971,34969,546.42,546.39
1,65536,8379,8378,523.68,523.62
2,16,511790,511596,7.80,7.80
2,64,490902,490792,29.96,29.95
2,256,414890,414836,101.29,101.27
2,512,311813,311789,152.25,152.24
2,1024,255767,255752,249.77,249.75
2,4096,109093,109086,426.14,426.11
2,16384,31063,31061,485.35,485.32
2,65536,8245,8244,515.31,515.25
3,16,510579,510408,7.79,7.78
3,64,499923,499840,30.51,30.50
3,256,366016,365975,89.35,89.34
3,512,371363,371337,181.32,181.31
3,1024,265970,265958,259.73,259.72
3,4096,114019,114013,445.38,445.36
3,16384,32869,32868,513.57,513.56
3,65536,8118,8118,507.37,507.37
