Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.27,0.32,0.33,0.35,0.37,10,0.00,0.00
1,16,100,0.15,0.30,0.31,0.35,1.02,100,0.00,0.00
1,16,1000,0.14,0.21,0.24,0.30,0.36,1000,0.01,0.01
1,16,5000,0.14,0.25,0.28,0.33,0.45,4998,0.07,0.07
1,16,10000,0.14,0.26,0.28,0.38,0.60,9994,0.15,0.15
1,16,50000,0.14,0.41,0.45,0.65,0.73,49875,0.76,0.76
1,16,100000,0.14,0.56,0.59,0.68,1.74,99501,1.51,1.51
1,16,250000,0.27,0.96,1.05,1.39,11.29,246756,3.76,3.76
1,16,500000,0.52,1.72,2.26,6.27,20.12,487795,7.44,7.44
2,16,10,0.28,0.34,0.35,0.39,0.49,10,0.00,0.00
2,16,100,0.16,0.30,0.32,0.35,0.42,100,0.00,0.00
2,16,1000,0.14,0.20,0.23,0.29,0.42,1000,0.01,0.01
2,16,5000,0.14,0.23,0.28,0.33,0.45,4998,0.07,0.07
2,16,10000,0.14,0.41,0.41,0.42,0.67,9993,0.15,0.15
2,16,50000,0.14,0.38,0.40,0.47,0.66,49873,0.76,0.76
2,16,100000,0.14,0.60,0.62,0.72,1.74,99487,1.51,1.51
2,16,250000,0.23,1.06,1.15,1.29,7.33,246778,3.76,3.76
2,16,500000,0.55,2.46,26.36,63.18,73.28,487160,7.43,7.41
3,16,10,0.21,0.33,0.34,0.38,0.79,10,0.00,0.00
3,16,100,0.15,0.28,0.30,0.34,0.46,100,0.00,0.00
3,16,1000,0.13,0.21,0.24,0.37,0.44,1000,0.01,0.01
3,16,5000,0.13,0.27,0.31,0.41,0.43,4998,0.07,0.07
3,16,10000,0.14,0.28,0.34,0.41,0.66,9994,0.15,0.15
3,16,50000,0.14,0.39,0.42,0.48,0.62,49873,0.76,0.76
3,16,100000,0.15,0.65,0.74,0.81,2.16,99508,1.51,1.51
3,16,250000,0.18,0.95,1.07,1.34,9.86,246833,3.76,3.76
3,16,500000,0.45,44.20,51.86,59.60,64.45,489489,7.46,7.46
1,64,10,0.22,0.30,0.31,0.35,0.43,10,0.00,0.00
1,64,100,0.17,0.40,0.50,0.52,0.60,100,0.00,0.00
1,64,1000,0.13,0.19,0.22,0.27,0.33,1000,0.06,0.06
1,64,5000,0.14,0.23,0.26,0.30,0.39,4998,0.30,0.30
1,64,10000,0.13,0.34,0.41,0.42,0.68,9994,0.60,0.60
1,64,50000,0.13,0.42,0.47,0.59,0.74,49877,3.04,3.04
1,64,100000,0.14,0.63,0.66,0.73,1.65,99493,6.07,6.07
1,64,250000,0.19,1.00,1.09,1.41,7.22,246856,15.06,15.06
1,64,500000,1.83,28.86,32.67,35.77,42.81,450173,27.47,27.44
2,64,10,0.27,0.32,0.34,0.37,0.43,10,0.00,0.00
