Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,1048596,1048359,16.00,15.99
1,64,1006320,1006141,61.42,61.40
1,256,813890,813815,198.70,198.68
1,512,637604,637547,311.33,311.30
1,1024,456690,456640,445.98,445.93
1,4096,149090,149005,582.38,582.05
1,16384,37683,37680,588.79,588.75
1,65536,2160,2160,135.00,135.00
2,16,1070472,1070138,16.33,16.32
2,64,972443,972341,59.35,59.34
2,256,790792,790716,193.06,193.04
2,512,660806,660745,322.65,322.62
2,1024,481338,481307,470.05,470.02
2,4096,148127,148112,578.62,578.56
2,16384,37698,37695,589.03,588.98
2,65536,2159,2159,134.93,134.93
3,16,127600,50659,1.94,.77
3,64,80024,0,4.88,0
3,256,67861,0,16.56,0
3,512,45145,0,22.04,0
3,1024,25309,0,24.71,0
3,4096,5347,0,20.88,0
3,16384,1327,0,20.73,0
3,65536,348,0,21.75,0
