Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,1062663,1062272,16.21,16.20
1,64,986088,985028,60.18,60.12
1,256,779126,779060,190.21,190.20
1,512,621245,621197,303.34,303.31
1,1024,398512,398458,389.17,389.11
1,4096,100093,100078,390.98,390.92
1,16384,25155,25154,393.04,393.03
1,65536,6832,6831,427.00,426.93
2,16,1026054,1025807,15.65,15.65
2,64,964729,964580,58.88,58.87
2,256,794174,794113,193.89,193.87
2,512,629224,629157,307.23,307.20
2,1024,398889,398871,389.54,389.52
2,4096,100102,100094,391.02,390.99
2,16384,25153,25151,393.01,392.98
2,65536,6840,6839,427.50,427.43
3,16,1031593,1031447,15.74,15.73
3,64,992375,990827,60.56,60.47
3,256,791470,791446,193.22,193.22
3,512,631158,631097,308.18,308.15
3,1024,398776,398753,389.42,389.40
3,4096,100090,100083,390.97,390.94
3,16384,25155,25153,393.04,393.01
3,65536,6839,6838,427.43,427.37
