Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.36,0.40,0.42,0.46,0.46,10,0.00,0.00
1,16,100,0.48,0.57,0.59,0.61,0.74,100,0.00,0.00
1,16,1000,0.65,1.57,1.70,2.06,3.82,1000,0.01,0.01
1,16,5000,1.29,6.14,6.35,7.08,8.02,4999,0.07,0.07
1,16,10000,1.71,9.53,12.02,13.72,16.81,9997,0.15,0.15
1,16,50000,4.28,26.03,29.14,34.66,37.86,49922,0.76,0.76
1,16,100000,4.12,29.17,33.33,39.21,42.98,99658,1.52,1.52
1,16,250000,2.86,28.51,29.36,32.72,35.44,247545,3.77,3.77
1,16,500000,3.91,20.88,22.02,25.81,38.37,488782,7.45,7.45
2,16,10,0.31,0.37,0.39,0.49,0.53,10,0.00,0.00
2,16,100,0.53,0.55,0.58,0.61,0.78,100,0.00,0.00
2,16,1000,0.61,1.81,1.91,2.12,5.02,1000,0.01,0.01
2,16,5000,0.96,6.07,6.27,7.21,7.59,4999,0.07,0.07
2,16,10000,1.59,8.38,11.14,14.90,18.00,9997,0.15,0.15
2,16,50000,0.84,22.07,25.44,30.46,33.34,49918,0.76,0.76
2,16,100000,3.27,29.70,32.56,38.55,41.98,99664,1.52,1.52
2,16,250000,7.30,42.16,44.78,48.67,51.00,247615,3.77,3.77
2,16,500000,3.56,23.32,28.58,32.29,39.92,489229,7.46,7.46
3,16,10,0.34,0.39,0.42,0.42,0.43,10,0.00,0.00
3,16,100,0.46,0.54,0.56,0.64,0.74,100,0.00,0.00
3,16,1000,0.64,1.72,1.83,1.92,1.95,1000,0.01,0.01
3,16,5000,2.92,5.25,5.43,6.12,6.48,4999,0.07,0.07
3,16,10000,2.22,8.96,11.98,14.43,15.59,9997,0.15,0.15
3,16,50000,4.67,23.62,27.16,33.23,34.46,49917,0.76,0.76
3,16,100000,3.95,22.62,26.90,31.21,35.85,99630,1.52,1.52
3,16,250000,1.79,23.48,26.95,31.69,35.97,247394,3.77,3.77
3,16,500000,2.65,20.29,21.87,25.92,37.38,488928,7.46,7.46
1,64,10,0.24,0.36,0.38,0.41,0.41,10,0.00,0.00
1,64,100,0.46,0.59,0.61,1.03,1.51,100,0.00,0.00
1,64,1000,0.64,1.63,1.73,1.87,2.00,1000,0.06,0.06
1,64,5000,1.43,4.43,5.73,7.29,9.16,4999,0.30,0.30
1,64,10000,2.08,7.36,9.74,12.28,13.44,9997,0.61,0.61
1,64,50000,3.74,12.49,15.26,17.76,19.28,49912,3.04,3.04
1,64,100000,4.03,13.04,16.85,21.93,24.53,99610,6.07,6.07
1,64,250000,3.52,16.08,16.96,21.36,24.97,247418,15.10,15.10
1,64,500000,3.97,18.69,20.94,24.60,31.24,449737,27.44,27.42
2,64,10,0.27,0.38,0.40,0.43,0.47,10,0.00,0.00
2,64,100,0.51,0.60,0.61,0.66,1.01,100,0.00,0.00
2,64,1000,0.68,1.78,2.00,2.31,3.08,1000,0.06,0.06
2,64,5000,2.07,5.19,6.96,7.69,9.61,4999,0.30,0.30
2,64,10000,1.34,7.67,10.62,13.31,16.06,9997,0.61,0.61
2,64,50000,3.97,14.50,16.74,20.02,21.06,49914,3.04,3.04
2,64,100000,3.88,15.15,16.38,19.41,21.53,99608,6.07,6.07
2,64,250000,3.96,16.21,17.71,20.36,23.86,247435,15.10,15.10
2,64,500000,1.35,16.57,17.89,21.34,31.08,488477,29.81,29.78
