Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,266830,133346,4.07,2.03
1,64,278466,139297,16.99,8.50
1,256,301998,150978,73.72,36.85
1,512,292982,146817,143.05,71.68
1,1024,269940,130176,263.61,127.12
2,16,272400,136582,4.15,2.08
2,64,301046,150520,18.37,9.18
2,256,261638,131223,63.87,32.03
2,512,212784,106200,103.89,51.85
2,1024,209372,104666,204.46,102.21
3,16,206168,103111,3.14,1.57
3,64,249280,124702,15.21,7.61
3,256,186348,93125,45.49,22.73
3,512,274398,137376,133.98,67.07
3,1024,199804,99994,195.12,97.65
