Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.15,0.22,0.23,0.30,0.36,10,0.00,0.00
1,16,100,0.12,0.34,0.35,0.43,0.49,100,0.00,0.00
1,16,1000,0.63,0.90,0.96,1.10,1.15,1000,0.01,0.01
1,16,5000,2.06,3.04,3.14,3.28,3.37,4999,0.07,0.07
1,16,10000,1.25,5.86,6.05,6.21,6.30,9996,0.15,0.15
1,16,50000,4.57,17.62,26.09,30.33,30.92,49915,0.76,0.76
1,16,100000,3.75,40.57,54.23,60.40,61.79,99686,1.52,1.52
1,16,250000,5.04,44.44,65.27,110.53,142.22,247961,3.78,3.78
1,16,500000,0.56,32.64,51.93,83.44,94.27,490561,7.48,7.48
2,16,10,0.10,0.15,0.16,0.21,0.30,10,0.00,0.00
2,16,100,0.10,0.25,0.27,0.36,0.37,100,0.00,0.00
2,16,1000,0.59,0.87,0.91,0.97,1.03,1000,0.01,0.01
2,16,5000,0.96,2.97,3.06,3.20,4.06,4999,0.07,0.07
2,16,10000,2.08,6.02,6.16,6.33,6.46,9996,0.15,0.15
2,16,50000,4.45,28.64,29.87,30.92,31.30,49914,0.76,0.76
2,16,100000,2.54,44.51,55.91,61.05,61.94,99665,1.52,1.52
2,16,250000,1.04,35.65,63.18,95.05,104.84,247369,3.77,3.77
2,16,500000,0.62,32.65,56.23,85.02,100.62,490445,7.48,7.48
3,16,10,0.10,0.15,0.23,0.26,0.28,10,0.00,0.00
3,16,100,0.10,0.32,0.34,0.35,0.56,100,0.00,0.00
3,16,1000,0.59,0.93,0.98,1.06,1.11,1000,0.01,0.01
3,16,5000,2.65,2.96,3.04,3.17,3.75,4998,0.07,0.07
3,16,10000,0.43,5.99,6.21,6.58,6.67,9995,0.15,0.15
3,16,50000,4.31,27.69,29.66,30.82,31.01,49914,0.76,0.76
3,16,100000,2.95,25.97,46.01,60.05,61.55,99688,1.52,1.52
3,16,250000,5.32,47.79,67.44,87.76,117.75,247850,3.78,3.78
3,16,500000,0.80,34.11,52.26,87.27,97.98,490256,7.48,7.48
1,64,10,0.10,0.14,0.16,0.22,0.31,10,0.00,0.00
1,64,100,0.16,0.41,0.47,0.48,0.64,100,0.00,0.00
1,64,1000,0.60,0.96,1.04,1.18,1.22,1000,0.06,0.06
1,64,5000,1.42,3.07,3.18,3.38,4.19,4999,0.30,0.30
1,64,10000,3.08,6.21,6.34,6.49,6.59,9996,0.61,0.61
1,64,50000,0.19,10.02,11.85,21.00,29.60,49902,3.04,3.04
1,64,100000,1.61,14.75,21.10,27.41,31.52,99600,6.07,6.07
1,64,250000,0.28,10.38,12.51,17.42,28.46,247548,15.10,15.10
1,64,500000,1.34,11.25,13.18,23.23,31.31,489061,29.84,29.84
2,64,10,0.09,0.13,0.14,0.20,0.21,10,0.00,0.00
2,64,100,0.13,0.32,0.39,0.42,0.55,100,0.00,0.00
2,64,1000,0.57,0.75,0.79,0.88,0.97,1000,0.06,0.06
2,64,5000,2.87,3.21,3.30,3.42,3.87,4999,0.30,0.30
2,64,10000,3.97,6.27,6.38,6.53,6.65,9996,0.61,0.61
2,64,50000,2.12,11.99,13.81,28.50,30.47,49890,3.04,3.04
2,64,100000,2.87,14.30,16.92,38.95,58.98,99612,6.07,6.07
2,64,250000,2.42,10.41,11.75,15.76,20.14,247349,15.09,15.09
2,64,500000,0.96,12.38,14.90,24.90,35.72,489230,29.86,29.86
3,64,10,0.15,0.17,0.21,0.21,0.23,10,0.00,0.00
3,64,100,0.10,0.25,0.28,0.30,0.47,100,0.00,0.00
3,64,1000,0.60,0.76,0.83,0.97,1.11,1000,0.06,0.06
3,64,5000,2.95,3.23,3.32,3.52,4.34,4999,0.30,0.30
3,64,10000,0.83,6.49,6.62,6.97,7.15,9996,0.61,0.61
3,64,50000,0.51,9.50,10.78,14.84,17.35,49890,3.04,3.04
3,64,100000,0.56,12.01,13.30,16.20,18.80,99605,6.07,6.07
3,64,250000,1.46,17.74,56.19,90.72,96.87,247477,15.10,15.10
3,64,500000,0.22,11.12,14.04,27.27,36.16,489361,29.86,29.86
