Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.30,0.36,0.39,0.42,0.43,10,0.00,0.00
1,16,100,0.38,0.55,0.57,0.64,0.77,100,0.00,0.00
1,16,1000,0.61,1.46,1.51,1.68,1.83,1000,0.01,0.01
1,16,5000,1.17,4.59,5.83,6.45,7.36,4999,0.07,0.07
1,16,10000,2.66,9.20,12.28,13.88,15.96,9997,0.15,0.15
1,16,50000,4.54,28.79,33.32,39.44,45.92,49914,0.76,0.76
1,16,100000,4.07,28.52,31.07,35.48,42.48,99653,1.52,1.52
1,16,250000,3.40,29.97,33.14,37.86,40.95,247591,3.77,3.77
1,16,500000,5.60,23.23,25.16,29.65,37.27,489757,7.47,7.47
2,16,10,0.17,0.31,0.32,0.35,0.35,10,0.00,0.00
2,16,100,0.42,0.52,0.55,0.58,0.76,100,0.00,0.00
2,16,1000,0.66,1.63,1.74,1.90,1.94,1000,0.01,0.01
2,16,5000,2.92,5.06,5.89,7.72,12.69,4999,0.07,0.07
2,16,10000,1.56,8.50,11.44,14.63,16.91,9997,0.15,0.15
2,16,50000,3.71,25.67,30.68,35.29,37.05,49920,0.76,0.76
2,16,100000,2.42,43.69,52.22,61.54,64.28,99670,1.52,1.52
2,16,250000,5.00,29.04,31.65,34.71,37.86,247613,3.77,3.77
2,16,500000,3.54,21.84,24.01,27.87,37.15,489621,7.47,7.47
3,16,10,0.27,0.42,0.43,0.57,0.57,10,0.00,0.00
3,16,100,0.46,0.68,0.69,0.75,0.89,100,0.00,0.00
3,16,1000,0.74,1.78,1.91,2.05,2.14,1000,0.01,0.01
3,16,5000,2.90,4.86,5.78,8.53,11.10,4999,0.07,0.07
3,16,10000,3.09,8.51,11.78,13.04,15.26,9997,0.15,0.15
3,16,50000,0.96,25.24,30.74,35.15,38.28,49921,0.76,0.76
3,16,100000,4.80,31.23,36.27,42.49,46.77,99662,1.52,1.52
3,16,250000,3.65,34.00,39.20,43.24,46.90,247635,3.77,3.77
3,16,500000,5.59,28.34,31.28,37.16,43.41,474577,7.24,7.23
1,64,10,0.27,0.34,0.36,0.38,0.43,10,0.00,0.00
1,64,100,0.38,0.51,0.53,0.57,0.58,100,0.00,0.00
1,64,1000,0.65,1.46,1.51,1.59,1.74,1000,0.06,0.06
1,64,5000,2.57,5.22,6.98,7.90,8.49,4999,0.30,0.30
1,64,10000,4.06,8.14,11.07,14.25,16.14,9997,0.61,0.61
1,64,50000,3.22,14.58,16.12,18.30,20.69,49917,3.04,3.04
1,64,100000,0.89,20.47,23.14,26.18,28.65,99646,6.08,6.08
1,64,250000,1.53,14.26,15.33,17.84,21.17,247418,15.10,15.10
1,64,500000,3.14,16.70,17.84,21.36,31.47,483562,29.51,29.49
2,64,10,0.35,0.37,0.43,0.43,0.44,10,0.00,0.00
2,64,100,0.50,0.54,0.56,0.59,0.60,100,0.00,0.00
2,64,1000,0.67,1.67,1.80,2.12,2.31,1000,0.06,0.06
2,64,5000,3.11,5.68,7.22,10.22,41.35,4999,0.30,0.30
2,64,10000,1.76,8.99,12.67,15.07,16.59,9996,0.61,0.61
2,64,50000,2.28,13.38,14.69,16.64,18.63,49915,3.04,3.04
2,64,100000,0.80,18.42,21.21,24.18,27.53,99638,6.08,6.08
2,64,250000,1.50,13.77,14.82,17.26,20.68,247421,15.10,15.10
2,64,500000,3.67,14.52,15.59,18.47,29.59,488281,29.80,29.77
3,64,10,0.31,0.37,0.42,1.92,2.77,10,0.00,0.00
3,64,100,0.45,0.70,0.72,0.76,0.82,100,0.00,0.00
3,64,1000,0.64,1.81,2.01,3.08,8.16,1000,0.06,0.06
3,64,5000,1.54,4.80,6.28,10.57,26.40,4999,0.30,0.30
3,64,10000,0.95,9.02,12.80,15.22,16.92,9997,0.61,0.61
3,64,50000,3.71,13.15,15.06,17.68,19.83,49909,3.04,3.04
3,64,100000,3.30,14.77,16.04,18.62,20.94,99624,6.08,6.08
3,64,250000,2.71,13.82,15.29,18.58,21.22,247402,15.10,15.10
3,64,500000,3.01,12.21,13.13,15.84,28.11,488907,29.84,29.84
