Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,363468,180601,5.54,2.75
1,64,342508,171245,20.90,10.45
1,256,323588,161725,79.00,39.48
1,512,331334,165243,161.78,80.68
1,1024,347384,173964,339.24,169.88
2,16,347104,173553,5.29,2.64
2,64,345712,172806,21.10,10.54
2,256,321722,160902,78.54,39.28
2,512,341694,170838,166.84,83.41
2,1024,337950,169350,330.02,165.38
3,16,355740,177188,5.42,2.70
3,64,337468,168669,20.59,10.29
3,256,327084,163573,79.85,39.93
3,512,344308,172042,168.11,84.00
3,1024,332070,166430,324.28,162.52
