Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,347882,173932,5.30,2.65
1,64,282712,141424,17.25,8.63
1,256,319948,159970,78.11,39.05
1,512,318804,159584,155.66,77.92
1,1024,323718,162091,316.13,158.29
2,16,337880,168858,5.15,2.57
2,64,331230,165550,20.21,10.10
2,256,338502,168387,82.64,41.11
2,512,337318,168734,164.70,82.38
2,1024,316400,158245,308.98,154.53
3,16,324000,162028,4.94,2.47
3,64,324090,162061,19.78,9.89
3,256,268214,134134,65.48,32.74
3,512,318812,159491,155.66,77.87
3,1024,324998,162518,317.38,158.70
