Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.10,0.22,0.23,0.25,0.28,10,0.00,0.00
1,16,100,0.14,0.32,0.45,0.47,0.66,100,0.00,0.00
1,16,1000,0.58,0.84,1.02,1.09,1.20,1000,0.01,0.01
1,16,5000,0.85,2.91,3.00,3.11,3.18,4999,0.07,0.07
1,16,10000,2.24,5.93,6.08,6.18,6.24,9997,0.15,0.15
1,16,50000,3.17,27.39,29.22,30.70,31.14,49924,0.76,0.76
1,16,100000,4.64,40.43,54.62,60.32,61.44,99658,1.52,1.52
1,16,250000,1.70,41.97,59.39,87.47,97.60,247644,3.77,3.77
1,16,500000,0.94,55.56,73.72,123.26,214.18,490591,7.48,7.48
2,16,10,0.14,0.19,0.21,0.22,0.23,10,0.00,0.00
2,16,100,0.09,0.34,0.35,0.39,0.53,100,0.00,0.00
2,16,1000,0.59,0.84,0.91,1.19,2.38,1000,0.01,0.01
2,16,5000,1.49,2.93,3.02,3.15,3.58,4999,0.07,0.07
2,16,10000,2.52,5.91,6.04,6.25,7.56,9996,0.15,0.15
2,16,50000,2.02,28.02,29.61,30.75,31.03,49918,0.76,0.76
2,16,100000,3.20,38.85,55.06,60.63,61.85,99692,1.52,1.52
2,16,250000,7.66,42.34,62.15,96.36,120.17,247739,3.78,3.78
2,16,500000,1.37,51.47,68.76,85.44,98.09,491016,7.49,7.49
3,16,10,0.09,0.16,0.21,0.27,0.28,10,0.00,0.00
3,16,100,0.09,0.28,0.29,0.42,0.54,100,0.00,0.00
3,16,1000,0.59,0.95,1.03,1.26,2.41,1000,0.01,0.01
3,16,5000,0.32,2.95,3.04,3.18,3.28,4999,0.07,0.07
3,16,10000,2.59,5.83,5.98,6.12,6.28,9997,0.15,0.15
3,16,50000,3.33,27.75,29.42,30.76,31.02,49925,0.76,0.76
3,16,100000,4.63,40.58,55.69,60.38,61.49,99671,1.52,1.52
3,16,250000,3.36,39.49,58.73,86.66,95.63,247899,3.78,3.78
3,16,500000,3.91,50.16,65.63,94.71,114.97,490955,7.49,7.49
1,64,10,0.09,0.15,0.16,0.23,0.35,10,0.00,0.00
1,64,100,0.09,0.29,0.45,0.48,0.61,100,0.00,0.00
1,64,1000,0.58,0.92,1.05,1.14,1.29,1000,0.06,0.06
1,64,5000,1.45,3.09,3.19,3.35,3.43,4999,0.30,0.30
1,64,10000,0.53,6.29,6.46,6.71,7.04,9996,0.61,0.61
1,64,50000,2.01,19.27,29.83,31.78,32.14,49912,3.04,3.04
1,64,100000,2.12,30.83,43.56,61.01,62.63,99625,6.08,6.08
1,64,250000,0.30,13.86,16.34,84.28,90.94,247452,15.10,15.10
1,64,500000,0.27,27.28,49.11,79.45,94.55,490246,29.92,29.92
2,64,10,0.09,0.17,0.22,0.36,0.36,10,0.00,0.00
2,64,100,0.09,0.27,0.30,0.36,0.37,100,0.00,0.00
2,64,1000,0.62,0.98,1.04,1.20,1.99,1000,0.06,0.06
2,64,5000,1.41,3.12,3.22,3.35,3.69,4999,0.30,0.30
2,64,10000,0.79,6.22,6.33,6.44,6.50,9997,0.61,0.61
2,64,50000,4.22,28.42,30.38,31.75,32.08,49915,3.04,3.04
2,64,100000,0.22,29.78,54.05,61.84,63.38,99637,6.08,6.08
2,64,250000,1.53,45.62,85.50,130.72,144.76,247618,15.11,15.11
2,64,500000,0.71,43.79,60.48,83.00,94.18,490481,29.93,29.93
3,64,10,0.09,0.17,0.17,0.23,0.27,10,0.00,0.00
3,64,100,0.09,0.36,0.46,0.50,0.50,100,0.00,0.00
3,64,1000,0.60,0.80,0.88,1.11,1.69,1000,0.06,0.06
3,64,5000,1.36,2.99,3.09,3.22,3.47,4999,0.30,0.30
3,64,10000,0.20,6.24,6.37,6.51,6.62,9996,0.61,0.61
3,64,50000,0.68,28.40,30.46,31.77,32.21,49912,3.04,3.04
3,64,100000,3.04,38.34,53.04,61.37,63.05,99660,6.08,6.08
3,64,250000,0.23,39.04,62.54,101.48,113.24,247580,15.11,15.11
3,64,500000,0.64,49.14,73.00,120.48,184.94,490583,29.94,29.94
1,256,10,0.09,0.15,0.16,0.20,0.30,10,0.00,0.00
1,256,100,0.16,0.29,0.31,0.35,0.37,100,0.02,0.02
1,256,1000,0.50,0.80,0.93,1.19,1.43,1000,0.24,0.24
1,256,5000,1.19,3.55,3.65,3.87,3.99,4999,1.22,1.22
1,256,10000,1.23,5.14,5.58,7.04,7.56,9996,2.44,2.44
1,256,50000,0.55,12.30,22.82,34.60,36.06,49901,12.18,12.18
1,256,100000,0.28,6.32,9.81,33.60,44.95,99523,24.29,24.29
1,256,250000,0.46,5.83,6.90,15.19,63.60,247229,60.35,60.35
2,256,10,0.09,0.23,0.24,0.26,0.28,10,0.00,0.00
2,256,100,0.10,0.28,0.32,0.38,0.40,100,0.02,0.02
2,256,1000,0.69,0.83,0.93,1.17,1.60,1000,0.24,0.24
2,256,5000,1.67,3.52,3.68,3.90,4.07,4999,1.22,1.22
2,256,10000,0.79,7.01,7.44,7.70,8.20,9996,2.44,2.44
2,256,50000,0.12,4.92,6.98,19.28,26.85,49890,12.18,12.18
2,256,100000,0.27,5.34,6.06,8.96,11.25,99548,24.30,24.30
2,256,250000,0.36,6.64,8.50,25.18,44.00,247196,60.35,60.35
3,256,10,0.09,0.14,0.16,0.18,0.19,10,0.00,0.00
3,256,100,0.10,0.26,0.29,0.37,0.39,100,0.02,0.02
3,256,1000,0.70,0.86,0.95,1.23,2.14,1000,0.24,0.24
3,256,5000,2.87,3.57,3.65,3.86,4.16,4999,1.22,1.22
3,256,10000,0.36,5.48,6.65,7.69,8.20,9996,2.44,2.44
3,256,50000,0.35,5.03,5.57,7.95,13.38,49874,12.17,12.17
3,256,100000,0.37,7.81,16.43,62.83,68.00,99605,24.31,24.31
3,256,250000,0.45,5.36,6.89,14.23,60.65,247134,60.33,60.33
1,512,10,0.09,0.23,0.24,0.29,0.31,10,0.00,0.00
1,512,100,0.11,0.42,0.47,0.69,0.75,100,0.04,0.04
1,512,1000,0.80,0.99,1.05,1.34,1.71,1000,0.48,0.48
1,512,5000,0.89,3.14,3.52,4.44,4.87,4999,2.44,2.44
