Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,345034,172057,5.26,2.62
1,64,347596,189600,21.21,11.57
1,256,350754,180330,85.63,44.02
1,512,299850,147439,146.41,71.99
1,1024,238958,119976,233.35,117.16
2,16,287000,143345,4.37,2.18
2,64,359422,217642,21.93,13.28
2,256,355092,182264,86.69,44.49
2,512,289860,144742,141.53,70.67
2,1024,261940,131417,255.80,128.33
3,16,356342,183505,5.43,2.80
3,64,351812,202766,21.47,12.37
3,256,347118,175780,84.74,42.91
3,512,288130,145786,140.68,71.18
3,1024,264546,131463,258.34,128.38
