Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.13,0.15,0.16,0.18,0.19,10,0.00,0.00
1,16,100,0.10,0.13,0.15,0.17,0.18,100,0.00,0.00
1,16,1000,0.09,0.12,0.15,0.20,0.21,1000,0.01,0.01
1,16,5000,0.09,0.16,0.18,0.23,0.27,4998,0.07,0.07
1,16,10000,0.09,0.16,0.17,0.31,0.37,9993,0.15,0.15
1,16,50000,0.09,0.20,0.23,0.41,0.52,49803,0.75,0.75
1,16,100000,0.10,0.28,0.36,0.97,2.48,99217,1.51,1.51
1,16,250000,0.09,0.54,0.69,10.75,50.34,245169,3.74,3.74
1,16,500000,0.09,0.94,5.97,35.41,59.51,482097,7.35,7.35
2,16,10,0.14,0.16,0.16,0.18,0.20,10,0.00,0.00
2,16,100,0.10,0.12,0.15,0.16,0.17,100,0.00,0.00
2,16,1000,0.09,0.12,0.16,0.17,0.21,1000,0.01,0.01
2,16,5000,0.09,0.15,0.19,0.34,0.37,4998,0.07,0.07
2,16,10000,0.09,0.16,0.18,0.25,0.37,9992,0.15,0.15
2,16,50000,0.09,0.21,0.30,0.48,0.57,49805,0.75,0.75
2,16,100000,0.10,0.33,0.44,0.84,2.98,99172,1.51,1.51
2,16,250000,0.08,0.64,1.26,39.76,80.37,245017,3.73,3.73
2,16,500000,0.09,1.79,6.08,28.20,61.34,483028,7.37,7.36
3,16,10,0.14,0.17,0.17,0.19,0.21,10,0.00,0.00
3,16,100,0.10,0.11,0.12,0.13,0.14,100,0.00,0.00
3,16,1000,0.09,0.10,0.11,0.21,0.35,1000,0.01,0.01
3,16,5000,0.09,0.15,0.17,0.19,0.21,4998,0.07,0.07
3,16,10000,0.09,0.16,0.18,0.20,0.22,9992,0.15,0.15
3,16,50000,0.10,0.29,0.39,0.47,0.58,49811,0.76,0.76
3,16,100000,0.11,0.27,0.37,0.77,2.34,99204,1.51,1.51
3,16,250000,0.08,0.18,0.32,11.26,57.16,236094,3.60,3.60
3,16,500000,0.10,1.89,4.74,27.43,53.16,482774,7.36,7.36
1,64,10,0.14,0.17,0.18,0.19,0.20,10,0.00,0.00
1,64,100,0.10,0.12,0.15,0.16,0.17,100,0.00,0.00
1,64,1000,0.09,0.12,0.16,0.17,0.21,1000,0.06,0.06
1,64,5000,0.09,0.12,0.15,0.19,0.32,4998,0.30,0.30
1,64,10000,0.09,0.23,0.36,0.38,0.41,9993,0.60,0.60
1,64,50000,0.10,0.20,0.29,0.46,0.62,49809,3.04,3.04
1,64,100000,0.10,0.32,0.56,1.29,3.59,99230,6.05,6.05
1,64,250000,0.09,0.18,0.37,10.84,56.57,244673,14.93,14.93
1,64,500000,0.09,0.42,5.00,16.38,40.28,462427,28.22,28.22
