Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,329748,164513,5.03,2.51
1,64,340428,170003,20.77,10.37
1,256,333334,166645,81.38,40.68
1,512,331120,165759,161.67,80.93
1,1024,338984,169527,331.03,165.55
2,16,344486,172284,5.25,2.62
2,64,339904,169939,20.74,10.37
2,256,322532,161284,78.74,39.37
2,512,340182,169962,166.10,82.98
2,1024,246344,123128,240.57,120.24
3,16,328240,164102,5.00,2.50
3,64,321050,160607,19.59,9.80
3,256,334960,167485,81.77,40.88
3,512,298552,149282,145.77,72.89
3,1024,341550,170775,333.54,166.77
