Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,366616,193502,5.59,2.95
1,64,328826,164401,20.06,10.03
1,256,334948,167387,81.77,40.86
1,512,350064,177346,170.92,86.59
1,1024,281410,140816,274.81,137.51
2,16,328628,164357,5.01,2.50
2,64,338327,167930,20.64,10.24
2,256,328880,165431,80.29,40.38
2,512,341960,170534,166.97,83.26
2,1024,275108,137088,268.66,133.87
3,16,341238,170618,5.20,2.60
3,64,353076,167929,21.55,10.24
3,256,331994,172263,81.05,42.05
3,512,350624,175617,171.20,85.75
3,1024,289234,145024,282.45,141.62
